"company","description","externalApplyLink","id","jobType","jobType/0","jobType/1","location","positionName","postedAt","rating","reviewsCount","salary","scrapedAt","url"
"BTI Solutions","
 Role and Responsibilities 
 
  Responsible for the verification, certification and validation of device chipsets, mobile device products and applications 
  Perform and execute test to validate 2G, 3G, 4G, & LTE mobile devices in live networks and also executed operator-specific field testing in various markets 
  Perform Sanity, Regression, Stress and Reproduction testing on mobile devices. 
  Perform mobile interoperability tests on a live network to check device and network stability, Test include DCR (Dropped Call Rate), KPI, Throughput, Handovers (Inter and Intra Frequency, Inter RAT), Power Consumption, MRAB test etc. 
  Perform testing on new technologies like Firstnet, 1 Gbps TP Test, 4CA, 4x4 MIMO (12 Layers),256 QAM, 4RxD, Band 14, Band 71(600 MHz) and LAA (Licensed Assisted Access). 
  Perform various throughput test using Mobile applications like Ooakla, Datum (Spirent), Iperf on different AT&T and T-Mobile carriers and analyzes data throughput from application and Physical layers. 
  Run ADB (Android Debug Bridge) Shell scripts to Automate Test cases for Regression Testing. 
  Report software issues and collaborate with R&D to fix it , Collect various logs and provide with reported bugs 
  Understanding of Wireless Network Architecture, technologies (GSM/GPRS/EDGE, W-CDMA/HSPA+, LTE, Bluetooth®, Wi-Fi) and concept with focus on Handsets and radio networks. 
  Good knowledge of IMS architecture / SIP Call Flow and entities such as HSS, SPR, AAA, P-CSCF, S-CSCF, I-CSCF, MGCF, MFR 
  Perform VoLTE Call testing , VoWiFi testing ,ViLTE Testing, RCS , IPME ,EVS ,ePDG and IMS Stack Integration Testing 
  Good Interpersonal, Project Management and Team Management skills 
  Candidate must have a valid driver’s license to support frequent business trips 
  
  
 Required Skills 
 
  Candidate must be technically sound on hardware/software development and release cycle 
  Good Understanding of Cellular technologies and industry standards and techniques. 
  Knowledge of wireless protocol log capturing and diagnosis tools for various chipsets such as QXDM, QPST, QCAT, Shannon DM, Wireshark, Air Logging tool 
  High level of oral and written communication skills 
  (2)+ years of relevant experience with at least BSCS or equivalent degree in EE/Computer Science or similar engineering degree, or equivalent experience 
  
  
 Why Work for Us?
  Established in 2006, continues to grow dramatically within the IT/telecommunications/Automobility and SCM industry. We encourage our employees in personal development with a passion to succeed and we offer an excellent benefit package. Every employee has access to Medical, Vision, Dental, Life and 401K plus many more. 
  
  401K with Employer Match
  Company Paid Dental, Vision, Life and Medical up to 100%
  Paid Sick Leave
  Chance for VISA sponsoring
","https://www.indeed.com/applystart?jk=af5a94a0736f5222&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXidqXQt-QtYXuL-fya4lbcSMIfcMu539kP3i1FMxIq2rA&vjfrom=serp&astse=03c60986d0bb3e99&assa=8659","af5a94a0736f5222",,,,"Dallas, TX","Mobile Device Test Engineer / Dallas, TX / Mobile / SHQ","Posted today","2.4","26",,"2022-11-14T23:17:19.027Z","https://www.indeed.com/rc/clk?jk=af5a94a0736f5222&fccid=432c4c76533d86c8&vjs=3"
"American Unit Inc","title-Hardware Engineer
Location-(Plano, TX) 
Here I am sharing updated JD from Customer, please do validate candidate for this new JD
Must Have Skill Set
Troubleshooting of wireless network issues through the systematic test and debugging of hardware and software systems
Design of RAN hardware site solutions including dimensioning of hardware components including baseband processing elements as well as radio units
Interface between customers and Samsung R&D center for product design, implementation, and issue resolution
It is important to have hands on experience with cellular RAN equipment like baseband units and radio units and a good understanding of the hardware specs/features/functions.
Job Type: Full-time
Salary: $90,000.00 - $95,000.00 per year
Benefits:

 401(k)
 Dental insurance
 Health insurance
 Paid time off

Schedule:

 8 hour shift

Ability to commute/relocate:

 Plano, TX 75023: Reliably commute or planning to relocate before starting work (Required)

Experience:

 RAN hardware: 1 year (Preferred)
 wireless network: 1 year (Preferred)
 systematic test: 1 year (Preferred)
 cellular RAN: 1 year (Preferred)

Willingness to travel:

 100% (Preferred)

Work Location: One location",,"9241cc0eb7abe6b9",,"Full-time",,"American Unit Inc in Plano, TX 75023","Hardware Engineer","Posted today",,,"$90,000 - $95,000 a year","2022-11-14T23:17:19.237Z","https://www.indeed.com/company/American-Unit-Inc/jobs/Hardware-Engineer-9241cc0eb7abe6b9?fccid=af6d991369e90121&vjs=3"
"Purple Drive Technologies","Hardware Engineer– (Plano, TX)
Here I am sharing updated JD from Customer, please do validate candidate for this new JD
Must Have Skill Set
Troubleshooting of wireless network issues through the systematic test and debugging of hardware and software systems
Design of RAN hardware site solutions including dimensioning of hardware components including baseband processing elements as well as radio units
Interface between customers and Samsung R&D center for product design, implementation, and issue resolution
It is important to have hands on experience with cellular RAN equipment like baseband units and radio units and a good understanding of the hardware specs/features/functions.
Job Type: Full-time
Schedule:

 8 hour shift

Work Location: One location",,"51e906fea450df34",,"Full-time",,"Plano, TX 75023","Hardware Engineer","Posted today",,,,"2022-11-14T23:17:19.265Z","https://www.indeed.com/company/Purple-Drive-Technologies/jobs/Hardware-Engineer-51e906fea450df34?fccid=b50885016c495d25&vjs=3"
"BCVS GROUP","Desired Skills: 

 Drive overall quality performance and compliance throughout the global organization by defining, implementing, and maintaining the CSV project plan.
 Build CSV project schedules, track deliverables, update stakeholders and ensure projects stay within budget.
 Develop strategies and plans to close the gaps in an efficient and technical manner.
 Develop and communicate expectations for quality performance, continuous improvement, quality systems, process controls infrastructure for critical sustaining parts and new products.
 Monitor and drive corrective action and continuous improvement activities that directly impact performance measures.
 Provide day-to-day support to development, engineering and manufacturing for design control planning and design transfer activities.
 Proficient communication skills in English (verbal and written).

Requirements
You Will Have: 
Experience with CSV and DeltaV is a must.

 3-5+ years of relevant industry experience as a project manager.
 MBA, MSC degree in relevant field, or PMP certification.
 Degree in Engineering or Science discipline. Preferably in Electrical Engineering, Computer Science/Information Technology, or Chemical/Biochemical/Mechanical Engineering.

Desired Skills: 

 Drive overall quality performance and compliance throughout the global organization by defining, implementing, and maintaining the CSV project plan.
 Build CSV project schedules, track deliverables, update stakeholders and ensure projects stay within budget.
 Develop strategies and plans to close the gaps in an efficient and technical manner.
 Develop and communicate expectations for quality performance, continuous improvement, quality systems, process controls infrastructure for critical sustaining parts and new products.
 Monitor and drive corrective action and continuous improvement activities that directly impact performance measures.
 Provide day-to-day support to development, engineering and manufacturing for design control planning and design transfer activities.
 Proficient communication skills in English (verbal and written).

Job Type: Contract
Salary: From $45.00 per hour
Schedule:

 8 hour shift
 Monday to Friday

Ability to commute/relocate:

 Woburn, MA 01801: Reliably commute or planning to relocate before starting work (Required)

Experience:

 Validation: 1 year (Preferred)

Work Location: One location
Speak with the employer+91 +12013669483",,"a65da4d611139f3a",,"Contract",,"Arlington, TX 76001","CSV Validation Engineer","Posted today",,,"From $45 an hour","2022-11-14T23:17:19.324Z","https://www.indeed.com/company/BCVS-Group/jobs/Csv-Validation-Engineer-a65da4d611139f3a?fccid=c88c32eb9e01f8f9&vjs=3"
"Bell Textron Inc.","
 
  Eng Mfg Planning N/C III
  
   308160
  
 
 
 
   We are pioneers. We were the first to break the sound barrier and to design the first functional jetpack. We were aboard NASA’s first lunar mission and brought advanced tiltrotor systems to market. Today, we are defining the future of on-demand mobility. At Bell, we are proud to work for an iconic company with superb talent, rapidly creating novel and coveted vertical lift experiences. 
  Under general supervision, determines from Engineering information the most efficient and expedient method of machining parts or assemblies, including gears, splined shafts and other toothed parts, where dimensional sequencing of operation is required on general or specialized machine shop equipment. Such determination must be related to the rate of production required and requires that the Engineer determine: 
  
   
    Starting material size, form and condition.
    
   
    Sequence of fabrication operations and their relation to operational processes of treatment and finish.
    
   
    Selection of machines and accessories available and capable of securing required tolerances dimensions and shape.
    
   
    Orders, by word description and/or sketch (Tool Orders), special, perishable, and gage tooling sufficient for purchase, make, or design and make of such items.
    
   
    Sequence and method of assembly of predominately machined parts such as transmissions, gearboxes, drive shafts, rotor heads and engines.
    
   
  The Engineer’s work comprises: 
  
   
    The setting of initial speeds and feeds of machine tools based on available data and experience.
    
   
    The creation of operation sheets, tool orders, sketches, dimensional charts, material operation diagrams and lists.
    
   
    The analysis of shop operations to: 
     
      
       Correct for heat treat distortion.
       
      
       Adjust dimensions for fit and function and to secure Engineering change when required.
       
      
       Correct machine selections, operation, definition or tooling to reduce scrap or cost.
       
     
   
   
    Analyze and processes planning paper related to drawings, designs, specifications, and changes to same.
    
   
    Plans heat treated weldments or machined weldments.
    
   
    Directs and instructs lower classified Planners.
    
   
    Maintains records and schedules of work assigned.
    
   
    Duties may involve miscellaneous functions such as analyzing, investigating and preparing facility studies relative to plant areas, man-hour, machinery and equipment cost, and specifying proper machines to be purchased, reviewing work to be sub-contracted and advising and assisting sub-contractors on Production Engineering and Manufacturing problems.
   
  
 
 
 
   Desirable Qualifications: 
  
   
    Two (2) years college or equivalent, with preferred courses in: 
     
      
       Math through Trigonometry and Analytical Geometry.
       
      
       Engineering Material.
       
      
       Metallurgy of aircraft type materials.
       
     
   
   
    Must have sufficient education to be able to: 
     
      
       Solve mathematical problems as related to machine shop practices.
       
      
       To communicate either orally or in writing with personnel at Engineering level, as well as personnel at machine operator level.
       
     
   
  
  Minimum experience of: 
  
   
    
     
      Six (6) years general machine shop experience, or
      
     
      Three (3) years general machine shop experience with recent machine planning experiences in a lower classification of at least two years, or
      
     
      Three (3) years of machine trade school plus one (1) year of machine shop direct experience.
      
    
   
  
  Don’t miss the chance to join a diverse, inclusive environment that embodies one of our core values, Lift Each Other Up. As a member of our global workforce, you will collaborate with dedicated, enthusiastic teams where differences in experiences, backgrounds and ideas combined with a strong passion for our products take us above and beyond flight. 
  This position requires use of information which is subject to the International Traffic in Arms Regulations (ITAR). All applicants must be U.S. persons within the meaning of ITAR. ITAR defines a U.S. person as a U.S. Citizen, U.S. Permanent Resident (i.e. 'Green Card Holder'), Political Asylee, or Refugee.
  
  
    
  
 
 
   EEO Statement
   
   Textron is committed to providing Equal Opportunity in Employment, to all applicants and employees regardless of, race, color, religion, gender, age, national origin, military status, veteran status, handicap, physical or mental disability, sexual orientation, gender identity, genetic information or any other characteristic protected by law.
   
  
 
 
   This position requires use of information which is subject to the International Traffic in Arms Regulations (ITAR) and/or the Export Administration Regulations (EAR)., Non-U.S. persons selected must meet eligibility requirements for access to export-restricted information. , The ITAR/EAR defines a U.S. person as a U.S. Citizen, U.S. Permanent Resident (i.e. 'Green Card Holder'), Political Asylee, or Refugee.
   
  
 
 
   Pay Transparency Policy Statement
   
   The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise, have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information.
   
  
 
 
   Applicants selected will be subject to a government security investigation and must meet eligibility requirements, including US Citizenship, for access to classified information.
 
 
 
  
    
  
 
 
   Job Field Manufacturing
 
 
   Primary Location US-Texas-Grand Prairie
 
 
   Recruiting Company Bell Textron Inc.
 
 
   Schedule Full-time
 
 
   Job Level Individual Contributor
 
 
   Shift First Shift
 
 
   Job Posting 11/14/2022, 3:29:31 PM
 
 
   Textron (and its subsidiaries) participates in E-Verify. We will provide the U.S. Social Security Administration (SSA) and, if necessary, the U.S. Department of Homeland Security (DHS) with information from each new employer’s Form I-9 to confirm work authorization.
 

","https://www.indeed.com/applystart?jk=59c87ceae064a135&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXg8krmCepE63SA-vDtNSKxrpsjbKTpre7P5gvPU7rdPPQ&vjfrom=serp&astse=11966bce9e8e6aa6&assa=9980","59c87ceae064a135",,"Full-time",,"Grand Prairie, TX","Eng Mfg Planning N/C III","Posted today","3.9","747",,"2022-11-14T23:17:20.376Z","https://www.indeed.com/rc/clk?jk=59c87ceae064a135&fccid=0c201367cb03df15&vjs=3"
"Leeward Renewable Energy, LLC","Company Overview: 
Leeward Renewable Energy is a growth-oriented renewable energy company that owns and operates a portfolio of 21 wind farms across nine states, with 20 in operation and one under construction, totaling more than 2,000 MW of installed capacity. We are developing new wind, solar, and energy storage projects in energy markets across the U.S.
Job Summary: 
Leeward Renewable Energy is currently seeking an experienced Plant Manager to be responsible for all aspects of daily plant operations. This includes but is not limited to supervision of employees and contractors maintaining the turbines and performing balance of plant equipment operations. The Plant Manager is further responsible to ensure a safe work environment and is the primary interface with local landowners. This position is available at various locations and provides a perfect opportunity for a professional looking for interesting work within a small team, the ability to expand their experience, work with all levels of the organization, and contribute to the company's success.
Essential Functions: 

 Operates site in a manner that promotes the highest levels of safety, compliance, and productivity
 Able to understand the project financials and perform cost benefit analysis proposals to support site operation improvements
 Carries out management responsibilities in accordance with Company Policies, Project Agreements and applicable laws.
 Coordinates the overall logistics and activities for the project in respect to turbine and field repairs, maintenance and other work required.
 Participates in daily preparation as it relates to manpower, special project and maintenance of the site and all related equipment.
 Supervises the work of Turbine Technicians and Project Subcontractors to stimulate maximum efficiency.
 Strategically establish working schedules for turbine and balance of plant maintenance, repairs and any or other contractual obligations during low wind periods while maximizing production and minimizing down time for yield contracts.
 Ensures that all daily work reports for the project sites are submitted in a timely manner as well as correct.
 Insures efficient and economical utilization of materials, responsible for improvement of methods and elimination of wasteful practices within departments.
 Takes proper and judicious disciplinary measures when required.
 Assists the Asset Management Group with annual budgets preparation.
 Prepare monthly and annual reports as required for the plant to internal and external agencies.
 Serves as a member of relevant company committees as assigned.
 Adheres to all applicable laws, company policies, safety standards and good housekeeping practices.
 Insures the appropriate use and proper care of assets, company vehicles, tools, and equipment.
 Has P&L responsibilities pertaining to Project & Company budgets.
 Effectively and efficiently be able to communicate all details with internal & external support groups for the purpose of keeping the project operating within legal, regulatory, and good industry practices. Communication with Legal, HR, Engineering, Safety, Asset Management, Purchasing, CMMS, IT, Data Analytics, Operation Control (OCC), Accounting, Regulatory, Senior Management and other professionals is required.
 Interpterion of data to determine trends of equipment to plan repairs and determine responsibility for lost energy and equipment down time.
 Must be able to attend training and achieve company Qualified Electrical Worker status for Balance of Plant within 1 year of employment.
 Respond as needed for outages and other repairs critical to the operation and reliability of the plant.
 Must become familiar with all contracts related to the operation of the plant and ensure compliance.

Qualifications: 

 Minimum 5 years industry experience
 Must have a safety mindset and be able to ensure a safe working environment for those employed at the plant.
 Mechanical or Electrical engineering degree is a plus or related experience
 Proficient in use of personal computers (i.e., Windows environment, word processing and spreadsheet applications).
 Experience working with turbine brands at job location preferred.
 Ability to read and understand schematics, prints, and diagrams.
 Turbine and balance of plant troubleshooting expertise preferred
 High voltage switching & inspection experience preferred
 Inventory control experience preferred
 Ability to speak effectively before groups of customers or employees of the company.
 Ability to exercise critical thinking skills to solve practical problems and deal with a variety of concrete variables in situations where only limited standardization exists.
 Ability to interpret a variety of instructions furnished in written, oral, diagram or schedule form.
 Ability to interact effectively with upper management, peer and subordinate personnel.
 Ability to plan and supervise the work of others, thereby coordinating project work efficiency.
 Intermediate math skills.
 Ability to interpret financial P&L statements
 Excellent written and verbal communication skills.
 High attention to detail.
 Demonstrated use of initiative, common sense approach.
 Ability to work well under pressure and to juggle multiple tasks simultaneously.
 Ability to manage employees and/or contractors to maintain and repair all equipment and property owned or leased by the project LLC or holding company.

Job Type: Full-time
Benefits:

 401(k)
 Dental insurance
 Health insurance
 Life insurance
 Paid time off
 Vision insurance

Schedule:

 8 hour shift
 Monday to Friday

Work Location: One location",,"7d0ba0b103c85abf",,"Full-time",,"Dallas, TX 75206","Plant Manager","Posted today","3","4",,"2022-11-14T23:17:20.783Z","https://www.indeed.com/company/Leeward-Renewable-Energy,-LLC/jobs/Plant-Manager-7d0ba0b103c85abf?fccid=27df12a203aa458c&vjs=3"
"Printpack Inc","
 Apply today to be with one of the most innovative and trusted packaging companies in the world!
  
  Printpack, an essential company and leading manufacturer of flexible packaging products, is seeking a qualified candidate to fill the position of a Process Engineer for the Films plant in Grand Prairie, TX. The position will report to the Plant Manager.
  
  This position is responsible for driving process reliability improvement and waste reduction. An ideal candidate will have skills including the ability to work in a cross-functional team environment, provide technical leadership, and troubleshooting complex processes. This role will focus on process improvement and project management to achieve increased process control and a reduction in process variation.
 
 
   Minimum Requirements:
 
 
  
   
     2-5 years of direct manufacturing experience
   
  
   
     A Bachelor of Science Degree in Engineering (mechanical, chemical, industrial); or related Packaging Science
   
  
   
     Strong communication skills and ability to handle multiple projects / assignments
   
  
   
     Lean Six Sigma certification or experience is preferred.
   
 
 
 
   Skills Needed:
 
 
  
   
     Proficiency with ERP systems (Prism preferred) and Microsoft Products
   
  
   
     Ability to prioritize multiple tasks and manage time effectively
   
  
   
     Strong capacity to learn quickly and understand complex information.
   
  
   
     Ability to communicate effectively in variety of settings and strict time constraints.
   
  
   
     Strong information gathering and analysis ability
   
  
   
     Ability to perform and communicate complex calculations and data
   
  
   
     Ability to effectively use numerical data to make decisions
   
  
   
     Demonstrates high initiative and pro-activity
   
 
 
 
   Key Responsibilities:
 
 
  
   
     Responsible for maintaining a safe and secure work environment.
   
  
   
     Manage small to medium capital installation and start up projects.
   
  
   
     Troubleshooting real time production problems for the extrusion process.
   
  
   
     Assist in the development of standard operating conditions and standard work procedures.
   
  
   
     Coordinate improvement/root cause corrective action activities in order to meet the quality expectations of the customer.
   
  
   
     Create recipes and maintain camera inspection system to current quality standards.
   
  
   
     Lead improvement projects for waste, quality, and productivity through Six Sigma and Lean manufacturing techniques including Kaizen.
   
  
   
     Analyze downtime data and apply statistical methods to identify processes causing downtime, or trends in overall performance.
   
  
   
     Work with a cross-functional team (Quality, Maintenance, Production and Product Development) to support plant operations and improving product quality and customer satisfaction.
   
  
   
     Contributes to the design, specification, installation, start up, troubleshooting, and improvement of processing and utility systems
   
  
   
     Provide support of plant operations with miscellaneous engineering and capital project management.
   
 
 
  
    Benefits:
  
 
 
  
   
    
     
      
       
         Medical/Dental/Vision Coverage
       
      
       
         Life Insurance
       
      
       
         Health Savings Account
       
      
       
         Short/Long Term Disability
       
      
       
         401(k) plan with employer contributions/match
       
      
       
         Employee Assistance Programs
       
      
       
         Educational Assistance
       
      
       
         Fitness Center Reimbursement Program
       
      
       
         Service Awards
       
      
       
         Paid Holidays
       
      
       
         Paid Time Off
       
      
       
         Paid Parental Leave
       
     
    
   
  
 
 
 
   Printpack is proudly an equal opportunity employer. We are committed to creating an inclusive environment. Embracing diversity not only enhances our work culture – it is vital to our success. We do not discriminate based on race, color, religion, sex (including pregnancy), national origin, gender identity, sexual orientation, marital/parental status, genetic information, age, national origin, ancestry, ethnicity, disability, marital status, military or veteran status or affiliation, or any other characteristic protected under applicable law.
 
 
 
  
    EEO
   – 
  
   EEO (Spanish)
   – 
  
   EEO Supplement
   – 
  
   EEO Supplement (Spanish)
   – 
  
   E-Verify
   – 
  
   USERRA Rights
   – 
  
   FMLA
   – 
  
   FMLA (Spanish)
   – 
  
   Pay Transparency
   – 
  
   Polygraph Protection
   – 
  
   Right to Work
   – 
  
   Right to Work (Spanish)
  
 
 
 
   Printpack is committed to help individuals with disabilities participate in the workforce and ensure equal opportunity to compete for jobs. If you need a reasonable accommodation to assist you with your application for employment or job search, please contact us by sending an email to 
  
   CorpRecruiting@Printpack.com
  . Please include in your email a brief description of the accommodation you are requesting and the position for which you are interested in applying.
 
","https://www.indeed.com/applystart?jk=f05517cb7361d281&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXgXAr-IlaQTp2y_9VMjYwnq2Lr7DfU83qy6ilMSvPFMEw&vjfrom=serp&astse=f2e95349acae2a4b&assa=135","f05517cb7361d281",,"Full-time",,"Grand Prairie, TX 75051","Process Engineer I","Posted today","3.5","367",,"2022-11-14T23:17:20.948Z","https://www.indeed.com/rc/clk?jk=f05517cb7361d281&fccid=94eedac4316f3537&vjs=3"
"AR Val services","Manufacturing Engineer (Medical Device Reporting)
Woburn, MA 01801
Rate: $55
Primary Responsibilities

 In preparation for MDR submissions review IQ/OQ protocols and correct any gaps to bring in compliance.
 Referencing BSI guidance, review technical documentation and complete additional details to address compliance issues.
 Develop and execute required validations in line with regulatory requirements to include Equipment, Process & Product validations.
 Develop Specification, Procurement, Installation, and Validation of Manufacturing Equipment, including on site Factory Acceptance Testing of equipment.
 Provide ongoing day to day support to Production; continually seek to drive improvement in operation performance while also maintaining highest levels of regulatory conformance.
 Establish and maintain appropriate Manufacturing documentation including, Equipment documentation, pFMEAs, TMVs, Bills of Materials, Part Numbers, Product routings, Manufacturing procedures and Logs.
 Drive FAT (Factory Acceptance Test) for Mfg. equipment necessary for internal/external Mfg. process in which client owns the product/process design.
 Partner with R&D, Quality and Operations to ensure that the transition of products through R&D, product approval and manufacturing scale up are smooth, timely and cost effective
 Analyze product designs for best method of manufacture.
 Work collaboratively in the design, development, and/or improvement of manufacturing processes and equipment.
 Ensure that manufacturing has accurate and detailed information on specifications.
 Participate in projects to improve cost, quality, and performance of post market products throughout cross functional teams such as Design Assurance, Regulatory Affairs, Legal, Clinical Affairs, Marketing and Sales ensuring the timing and effective development, planning and implementation of product/process design changes, with Quality and Design for Manufacturing (DFM).

Qualifications

 5-10 years' experience in a similar role
 Strong technical understanding of set up and maintenance of manufacturing processes.
 Has supported medical device qualification and validation efforts.
 Strong problem-solving capabilities through tools and techniques to implement systematic solutions internal/external processes.
 Thorough knowledge of the current quality and regulatory requirements for medical devices required; knowledge of isotopes/radiation desired

Education & Certifications

 Bachelor's Degree in engineering or equivalent.

Job Types: Contract, Full-time
Pay: $55.00 per hour
Schedule:

 8 hour shift
 Day shift
 Monday to Friday

Ability to commute/relocate:

 Allen, TX 75013: Reliably commute or planning to relocate before starting work (Required)

Work Location: One location",,"7a287f687c6499e7",,"Full-time","Contract","Allen, TX 75013","Manufacturing Engineer (Medical Device Reporting)","Posted today",,,"$55 an hour","2022-11-14T23:17:20.565Z","https://www.indeed.com/company/arval-services/jobs/Manufacturing-Engineer-7a287f687c6499e7?fccid=db51c22a28800529&vjs=3"
"Astrix Technology Group","Work as a product development leader to provide innovative services for a global leading manufacturing company!
Pay: 130-145K DOE + 20% yearly target bonus
Schedule:  Mon-Fri 8a-5p
Type of Job: Direct hire
SUMMARY: Provide technical development leadership and expertise to lead the research and development team for lubrication, anti-seize, drilling compounds, and related product lines
ESSENTIAL FUNCTIONS: 

 Leads the product development team including lubricants, drilling compounds, anti-seize products and other specialty chemicals
 Leads the team of research and development and analytical lab chemists.
 Develops and implements growth strategies for the product lines in conjunction with operations, marketing, sales, and other functions. Assigns technical team members to specific projects in conjunction with other technical directors and ensures development deliverables have been met.
 Establishes and oversees the development agenda for continuous improvement including cost reductions, quality, and product improvements.
 Supports the new product development process and helps develop project management and technical formulation skills among the team members.
 Plans, implements, and directs the development and testing of field application simulation and test equipment.
 Participates in investigation and resolution of manufacturing process problems and recommend improvements. Approves new product and pilot batches as needed.
 Participates in investigation and resolution of customer product performance complaints.
 Supports technical service department in the technical presentations/education courses and in answering distributor/end user technical questions regarding product selection and/or suitability for use.
 Oversees relationships with raw material suppliers from a technical standpoint
 Develops and oversees the annual budget for the product development group in lubricants

QUALIFICATIONS: B.S. in science or engineering with at least 15 years’ related experience
At least 10 years’ experience in lubricant or oil drilling compound formulation and development
At least 10 years’ experience in managing a technical team of chemists
Benefits: 

 Medical, Dental, Vision insurance
 Disability insurance
 Life insurance
 Flexible Spending Account & Health Savings Account
 Paid time off (PTO)
 Maternity & Paternity leave
 Employee Assistance Program
 Tuition reimbursement
 401(k) $1-$1 match, up to 6% - vest immediately
 401(k) additional profit sharing – up to 3%
 Employee Stock Ownership Plan (ESOP)

#INDSE1
Job Type: Full-time
Pay: $130,000.00 - $145,000.00 per year
Benefits:

 401(k)
 Dental insurance
 Health insurance
 Life insurance
 Paid time off
 Tuition reimbursement
 Vision insurance

Schedule:

 Monday to Friday
 No weekends

Supplemental pay types:

 Bonus pay

Ability to commute/relocate:

 Rockwall, TX 75087: Reliably commute or planning to relocate before starting work (Required)

Experience:

 oil drilling compound fabrication: 10 years (Preferred)
 lubricant: 10 years (Preferred)
 Chemical engineering: 10 years (Preferred)

Work Location: One location",,"962b4a9b04bae48b",,"Full-time",,"Rockwall, TX 75087","Director of Research and Development","Posted today",,,"$130,000 - $145,000 a year","2022-11-14T23:17:21.183Z","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bdf2G6TVYnM3fOk-UrBKrzK2-CbjNnMVxP8eQQ09BKeSsj-KQfImToFkRIikYnEacrZsnv68MEtMDWXoM69Bat5gqkQCqBJPiyOb4fFgj9gNapFRUIG22JxiAouL-Ge5p5nDMAvngO1xIiyQm8lRXLS_LWDsEjDV3h5SeeH-CDlvHcRf9LnkdT0Tf6nZ1ptC8CCs2rWd_8kmAGYfUCxI7WCR1G_Zf8QyGLnJHWhhfXPwFURaY9_l4WgvQlkZH9SLqMRnOhvriUIkcDOfdJYSvU3EqvojRzLUU9T8450JXzj_XUvIzRXRFxeCmNGMR8OmK47boUSr5LBKLvxl1xqaIfoD94W6Bhn67se5VMA6kgaw4BFfmnzCeBbByTdaP33Umv8hCtR1xWsP4h-ts6M2luZTfeLrTbqQPFhAcNkLgBxzijpLhK3C5q4l1qXOOtx8DXE1VvmfP_Kgl1XQUigGoxZqAKt5M7UtzBuoR_bpXlqJZ4P-g8pZmWlmIFhvgI7t7kdQ6XS6fQTH2TPBUU-O8c&xkcb=SoAV-_M3X8F577gOVb0PbzkdCdPP&p=6&fvj=1&vjs=3"
"BTI Solutions","
 We are looking for Mobile Device Tester with all different level of experience. Entry level, experienced candidates are all welcome!   Summary:   Duties and Responsibilities: 
 
  Design test plans, processes, case and test-product documentation 
  Test mobile device by following case file by using QXDM, QCAT, Qualcomm systems to collect Proficient with MS Office (Outlook, Excel, Word, Power Point) is essential for creating test reports 
  General understanding for telecommunication knowledge and Android platform device 
  Knowledge of Wireless Technology – LTE, GSM, WCDMA, CDMA, Wi-Fi, Bluetooth, GPS, 4G/5G 
  Understanding of TCP/UDP, IP Packet 
  Combination of education, training or experience is acceptable 
  Solid understanding of Software testing techniques and methodologies 
  Responsible to manage and handle critical and major customer/carrier reported issues and
 
  
  
  
 Requirements and Qualifications 
 
  Bachelor’s degree in Engineering, computer science, or equivalent related experience 
   1+ Years experience with mobile device chipset testing or related experience in telecommunication industry 
   Knowledge with QXDM, QCAT, Wireshark preferred 
   Telecommunication knowledge such as 3G, 4G, 5G, LTE, VoLTE, CDMA, GSD, and etc.
 
  
    Why Work for Us? Established in 2006, continues to grow dramatically within the IT/telecommunications/Automobility and SCM industry. We encourage our employees in personal development with a passion to succeed and we offer an excellent benefit package. Every employee has access to Medical, Vision, Dental, Life and 401K plus many more.   401K with Employer Match Company Paid Dental, Vision, Life and Medical up to 100% Paid Sick Leave Chance for VISA sponsoring
","https://www.indeed.com/applystart?jk=155536f3c2a69c6c&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXgI960NuZFzy2CBlUtzpntCkiS-2XS_43VyhyRGICpJaw&vjfrom=serp&astse=de9f51ae37557b24&assa=2584","155536f3c2a69c6c",,,,"Plano, TX","Entry Level Mobile Device Test Engineer / Plano, TX / Mobile / SHQ","Posted today","2.4","26",,"2022-11-14T23:17:22.852Z","https://www.indeed.com/rc/clk?jk=155536f3c2a69c6c&fccid=432c4c76533d86c8&vjs=3"
