"company","description","externalApplyLink","id","jobType","jobType/0","jobType/1","location","positionName","postedAt","rating","reviewsCount","salary","scrapedAt","url"
"Embassy Suites DFW Airport North","Primary Purpose: 
The primary purpose of the Sales Manager is generation of revenue through direct sales activities for assigned market segment of the hotel.
Work Performed: 
The Sales Manager will be tasked with the following duties, responsibilities, and assignments:

 Solicit, negotiate and confirm new and repeat business through various efforts to maximize revenues to meet/exceed individual revenue goals;


 Prepare and execute sales contracts, event orders, group resumes to ensure quality product delivery and customer satisfaction;


 Coordinate all function details with clients to include but not limited to space requirements, meeting times, equipment, menus, billing, etc.;


 Develop and complete monthly SMART plan documenting measurable goals and action plans to ensure access;


 Identify potential customers, accounts and markets, develop new business, and cultivate existing relationships using sales activities to achieve the assigned revenue goal;


 Navigate through the sales process including qualifying, negotiating, closing and detailing group and/or catering leads;


 Review, evaluate and execute sales contracts with customers;


 Develop and maintain a file and trace system to ensure all sales call activity is defined, traced, and updated in an organized manner;


 Any and all other work as required to complete the primary purpose of the position.

Qualifications: 
Required Prior Experience: 
1-2 years of experience in Event Services, Banquet, Hotel Sales, Marketing or equivalent education and experience
Required Education: 
High School Diploma or Equivalent
Preferred Education: 
2+ years of college or 2+ years in a sales& marketing, front office, or other supervisory position
Required Technology: 
Proficient in Microsoft Office
Preferred Technology: 
Experience with Delphi, FDC, and/or Marriott CI/TY
Physical: 
8+ hours sitting at a desk and computer
Other: 
Excellent written and oral communication skills
Competencies: 
(38) Organizational Agility
Knowledgeable about how organizations work; knows how to get things done both through formal channels and the informal network; understands the origin and reasoning behind key policies, practices, and procedures; understands the cultures of organizations.
(37) Negotiating
Can negotiate skillfully in tough situations with both internal and external groups; can settle differences with minimum noise; can win concessions without damaging relationships, can be both direct and forceful as well as diplomatic; gains trust quickly of other parties to the negotiations; has a good sense of timing.
(15) Customer Focus
Is dedicated to meeting the expectations and requirements of internal and external customers; gets first-hand customer information and uses it for improvements in products and services; acts with customers in mind; establishes and maintains effective relationships with customers and gains their trust and respect.
Job Type: Full-time
Pay: From $50,000.00 per year
Benefits:

 401(k)
 Dental insurance
 Health insurance
 Paid time off
 Vision insurance

Weekly day range:

 Monday to Friday

Experience:

 Hospitality: 2 years (Required)
 Sales Manager: 2 years (Required)

Work Location: One location",,"1a8c1cab4b676265",,"Full-time",,"Grapevine, TX 76051","Sales Manager","Posted today","3.7","3402","From $50,000 a year","2022-11-14T23:22:53.207Z","https://www.indeed.com/company/Embassy-Suites-by-Hilton/jobs/Sales-Manager-1a8c1cab4b676265?fccid=96d96aff1577e973&vjs=3"
"SetSchedule","SetSchedule is now hiring for Local Inside Sales Representatives for our BRAND NEW office in Texas. SetSchedule values talented, self motivated people who are passionate about their accomplishments and the work that they do. With tools, technology and support from peers and management you will become very successful in this uncapped role within SetSchedule. We strongly believe in internal growth at SetSchedule, people who have started in this role are now helping to make decisions to help shape and grow SetSchedule.
Now is a great time to join our team as our industry and product is rapidly growing. We are a recognizable brand in our space with more and more users downloading and subscribing to our product. If you’re passionate about building strong partnerships with clients and coworkers, love to share ideas, solve problems and collaborate, we’d love to talk to you.
What we offer and some of the perks: 

 Base pay + Uncapped Commission
 2 Week paid training to get you set up for success. Continuous training afterwards
 Benefits include health, dental, vision, chiropractic, life
 Opportunities for career advancement. NEW office, lots of boots to fill
 A competitive, supportive work environment
 Rewards for top performers: bonuses (monthly, quarterly up to 21k)
 We offer exceptional employee benefits including; Medical, Dental, Vision, Chiropractic Insurance
 SetSchedule Team Events every month! (You do not want to miss out!)
 Monthly catered lunches

What will you do as an Inside Sales Representative?

 Facilitate steps of the sale, such as presenting our value proposition, learning their long term and short-term goals, submitting finance applications, and sticking with the customer through the process
 Maintaining a working knowledge of our products and appropriately recommending them to our valued clients
 Create and initiate Sales opportunities through cold communications
 Present SetSchedule Products and Promotions, through training and demonstrations for optimal customer understanding
 Working with the company and other sales reps in ongoing training and development with the goals of raising both individual and group performance.

Who is SetSchedule?
SetSchedule as a company creates a positive and energetic work environment for all our staff that allows you to advance and continue to add value. We thrive and evolve off feedback from our employees to help set everyone up for success in their role. We work in a team environment, with an emphasis on open dialog, transparency, constructive feedback, and quick action. Our proven success by believing in investing in our employees, is one of the reasons we were named Best Workplaces three years in a row.
Honored in the top 200 of INC Magazines 5000 fastest-growing companies, and Entrepreneur Magazine's 360 companies to watch in America, SetSchedule provides a comprehensive, global tech solution for the real estate industry. We use machine learning, and AI tech to improve business and enhance the experience of our customer base. We are always striving to be better, and we are looking for the best and brightest talent to help us shape this new Role!
You will need: 

 Enjoy learning, as well as being coached and challenged
 Enthusiastic self-starter, with a strong drive to succeed
 Strong technological skills
 Must possess outstanding communication and interpersonal skills
 Hunter Mentality
 Experience in Cold communications, Client limitations, and inside sales a PLUS!

Welcome to SetSchedule, we appreciate your consideration and look forward to your application.
*Please be sure you have an up-to-date email on your resume, as our first communications will be via email.
* We generally reach out to all candidates within the first 3 days, Should you not hear from us please check spam.
**There is mandatory of at least 2 weeks of paid training. The training will be held in our new Plano office.**
Job Type: Full-time
Pay: $65,000.00 - $85,000.00 per year
Benefits:

 401(k)
 Dental insurance
 Health insurance
 Paid time off
 Vision insurance

Schedule:

 8 hour shift
 Day shift
 Monday to Friday

Work Location: One location",,"a4d8d514014f01ea",,"Full-time",,"Carrollton, TX 75006","Real Estate Tech Sales- Uncapped Commission and Base","Posted today","4.8","255","$65,000 - $85,000 a year","2022-11-14T23:22:53.478Z","https://www.indeed.com/company/SetSchedule/jobs/Real-Estate-Tech-Sales-a4d8d514014f01ea?fccid=9b975a25aa08718a&vjs=3"
"Stroke Scan","Are you a sales hustler looking to work in a fast-paced environment?
We are looking for a passionate go-getter who is interested in joining our growing team of Account Executives. In this position, you will work directly with existing clients and new prospects to better understand their individual needs and pitch how our products and services can help them meet and exceed their goals and expectations.
As a successful Account Executive, you must be proactive in addressing client’s needs through excellent communication and negotiations skills.
Account Executive Responsibilities: 

 Organize regular client meetings to ensure excellent customer service and identify additional opportunities for the company to provide products, services, or solutions.


 Make cold calls and actively reach out to prospects and referrals from existing clients.


 Monitor sales account representatives and conduct performance audits.


 Establish best practices and consistently monitor and report sales performance analytics.


 Maintaining a database of contact information.

What’s in it for you: 

 Competitive comp plan and performance-based incentives.


 Flexible work hours.


 Career advancement opportunities.


 Best-in-class training, extensive support, and mentorship program.

Account Executive Requirements: 

 A successful track record of hitting and exceeding weekly, monthly, and annual quotas.


 Flexible and open to change in a fast-paced environment.


 Strong ability to work independently, solve client issues, and make decisions.


 Excellent communication, presentation, organizational, and time management skills.


 Computer savvy and capable of learning new computer applications.

Are you ready to explore a career with us as an Account Executive? We'd be delighted to have you on board! Send your application today to secure your spot.
Job Type: Full-time
Pay: $45,000.00 - $65,000.00 per year
Benefits:

 Work from home

Schedule:

 Monday to Friday

Work Location: One location",,"22b720b91a695ee0",,"Full-time",,"Dallas, TX","Account Executive","Posted today",,,"$45,000 - $65,000 a year","2022-11-14T23:22:53.789Z","https://www.indeed.com/company/Stroke-Scan/jobs/Account-Executive-22b720b91a695ee0?fccid=7363eebc91c6bb45&vjs=3"
"Audi Dallas","
 We are company that cares about our employees and we work to ensure your continued growth and success. We are a family owned and operated dealership in Dallas for over 30 years with an outstanding culture and growing team. If you feel you would be a great fit with our amazing team, please carefully review what we have to offer, and what we expect from our employees below: 
 Why Audi Dallas: 
 
  Family Owned and Operated – We Treat You As A Member Of The Family, Not A Number 
  Outstanding Culture, Facilities and Work Environment 
  Your Work/Life Balance Is Very Important To Us 
  Hands On Management Staff 
  We Believe In Promoting From Within 
  Opportunity for Your Career Growth 
 
 
 Benefits: 
 
  Excellent Medical, Dental & Vision Plans With Company Contribution Towards Premiums 
  401k Company Match (Fully Vested After 5 Years Of Employment) 
  Referral / Bonus Program 
  Paid Vacation 
  Paid Training for Technicians 
  Ongoing Training and Development 
  Competitive Compensation 
  Annual Bonuses Paid At End Of Year 
  Company Provided Life Insurance 
  Company Provided Long Term Disability 
  Discounts On Vehicle Purchases, Parts and Service 
  Length Of Company Service Recognition Includes Rings, Diamonds & Even A Rolex Watch For 25 Years Of Service 
 
 
 RESPONSIBILITIES: 
 
  Approach, Greet, and Offer Assistance or Direction To Any Customer Who Enters The Dealership Showroom or Sales Lot 
  Maintain and/or Exceed Sales Goals As Required By Dealer 
  Assist Customers In Selecting The Right Vehicle By Asking Open-Ended Questions and Listening Carefully To Their Needs 
  Explain Product Performance, The Application Process, Technology and Dealership Benefits To All Prospects 
  Take All Guests On A Tour Of The Facility 
  Describe Upgrades, Accessories and Optional Equipment Available for Customer Purchase 
  Build Strong Rapport With Customers and Work To Develop Long-Term Relationships 
  Work To Efficiently and Successfully Overcome Objections, Close Sales, and Perform All Steps Of The Sales Process In Accordance With Dealership Requirements 
  Report To Your Sales Manager On A Daily Basis Regarding Your Contact and Sales Objectives, Planned Activities, Reviews, and Analysis Of Prospects 
  Manage Your Customer Database and Contact In The Provided CRM (Client Relationship Management) Tools 
  Maintain Requirements for Acura CSI (Customer Satisfaction Index) 
  Other Duties or Tasks As Requested or Required 
 
 
 REQUIREMENTS: 
 
  Prior Automotive Experience Preferred 
  Comfort Level With Commission Based Pay Structure 
  Minimum High School Diploma or GED Equivalent Required 
  Valid Driver’s License 
  Proficiency With Standard Microsoft Software and Ability To Learn Other Computer-Based Tools for Client-Facing and A Majority Of Roles 
  Excellent Communication and Customer Service Skills 
  Professional Appearance and Work Ethic 
  Self-Motivated 
  Ability To Work In A Fast Paced Environment 
  Solid Work Ethic Around Attendance and Punctuality 
  Complete A Pre-Employment Drug Screen and Background Check
 
",,"58429832c6387fcc",,"Full-time",,"Dallas, TX 75209","Sales Consultant - Audi Dallas","Posted today","4.3","10",,"2022-11-14T23:22:54.374Z","https://www.indeed.com/rc/clk?jk=58429832c6387fcc&fccid=d89e40a543954701&vjs=3"
"Southern Botanical, Inc.","Southern Botanical is looking for an experienced Landscape Account Manager to join the Southern Botanical in the Carrollton area.
Summary: 
A successful candidate will direct production and ensure quality control for assigned accounts. The candidate is result-oriented, organized and client-focused.
Responsibilities: 
· Manage and motivate assigned frontline team members to meet company standards
· Ensure the timely and successful delivery of solutions according to client needs and objectives
· Maintain contracts and renewal of all managed accounts
· Identify and recommend upgrades in client gardens to improve aesthetics and function
· Serve as the primary contact and respond to our client's requests and concerns
· Responsible for sales goals which include landscape enhancements, agronomy, irrigation, and tree care
· Must be able to negotiate and provide excellent customer service
· Understand mechanics of a basic irrigation system, know how to program and accurately adjust schedules for a controller and make basic repairs (drip, heads, nozzles, troubleshooting)
· Understand common terms, operations, and procedures for agronomy, arboriculture, enhancements, & irrigation
Requirements: 
· Bachelor’s degree and or 3 years of experience (preferably in the landscape industry)
· Valid Driver's License
· Proficiency with Microsoft Office Suite
· Must be able to lift 30 lbs and walk, stand, kneel or bend for extended periods of time
Perks: 
· 401K with company match
· Health, Vision, and Dental Insurance
· Paid-Time Off
· Holiday Pay
· Recognition programs and performance bonuses
· Continuing education and industry involvement opportunities
Why SoBo: 
For more than two decades Southern Botanical ""SoBo"" has built a reputation for creativity, quality and integrity throughout North Texas and beyond. Behind every signature landscape, you'll find our total dedication to client satisfaction and the people who achieve it. We've experienced explosive growth as a result and enjoy sharing that success with our team members. We pride ourselves in having a national reputation for quality and extraordinary customer service.
Landscape Laborer | Landscape Technician | Landscape Crew Member | Landscape Spray Tech | Lawn Care Specialist | Landscape Maintenance | Foreman and Crew | Lead | Lawn Team Member | Landscape Construction Laborer | Landscaper | Lawn | Residential | Tree Climber | Tree Care | Irrigation | Construction | Enhancement | Agronomy | Construction | Superintendent | Account Manager | Branch Manager |
Job Type: Full-time
Pay: $65,000.00 - $85,000.00 per year
Benefits:

 401(k)
 401(k) matching
 Company car
 Dental insurance
 Health insurance
 Paid time off
 Vision insurance

Schedule:

 Monday to Friday

Ability to commute/relocate:

 Carrollton, TX 75006: Reliably commute or planning to relocate before starting work (Required)

Work Location: One location",,"9d1cf7789c70a42a",,"Full-time",,"Carrollton, TX 75006","Commercial Landscape Account Manager","Posted today","3.4","37","$65,000 - $85,000 a year","2022-11-14T23:22:54.393Z","https://www.indeed.com/company/Southern-Botanical,-Inc./jobs/Commercial-Landscape-Account-Manager-9d1cf7789c70a42a?fccid=cdbb1db750de114a&vjs=3"
"Home Buyers Group","Are you looking for a way to make some extra cash?
Our growing real estate team is looking for qualified candidates to fill the role of “Property Locators”, finding us vacant houses all over Dallas.

 ​No real estate license required.
 ​No previous real estate experience required.
 ​Work as much as you want or as little as you want.

Join our team today!
Qualifications: 

 Must have 2-3 hours a week to do the work
 P/T and F/T Positions Available
 Reliable Transportation and Phone with Internet connection required.
 Must have a positive mental attitude and a desire to be successful.
 Serious inquiries only please.

Job Types: Part-time, Full-time
Pay: $500.00 - $1,000.00 per month
Benefits:

 Flexible schedule

Work Location: On the road",,"e5acb3f43f5d2d8f",,"Full-time","Part-time","Dallas, TX","Real Estate Hunter","Posted today",,,,"2022-11-14T23:22:54.594Z","https://www.indeed.com/company/RISE-REAL-ESTATE-GROUP,-LLC/jobs/Real-Estate-Hunter-e5acb3f43f5d2d8f?fccid=e883135368694581&vjs=3"
"DevLab bio","Clinical Sales Account Manager
The Clinical Sales Account Manager will focus on building new business for the Clincial Diagnostics laboratory. They will be able to achieve individual and team revenue and sales objectives through proactive communication. Previous Medical/Diagnostics sales experience required.
· Implement the strategic sales plan for the DFW region to meet/advance the company's objective, to develop new business and maintain/grow key client business relationships, to support the growth of the organization
· Make sales calls to prospective new clients (clinicians, hospitals and clinics) to initiate new business relationships
· Create business opportunities through client needs identification and relationship building
· Develop and implement individual, territory, and key account strategies that are specifically geared to the growth and retention of our client base.
· Building and maintaining meaningful long-lasting business relationships with current and potential clients.
· Prove quick and timely response and updates to customers with a high focus on customer service.
· Serving as a trusted advisor to clients to ensure their satisfaction and loyalty, and to maximize retention
· Must be able to design and deliver powerful solution-driven capabilities and proposal presentations in collaboration with clinical and operations personnel
· Provide continuous general intelligence on all key competitors, their services, acquisitions, and pricing
· Maintaining a deep knowledge of DevLab bio’s products and services, keeping up with industry trends and standards, changes, and competitors’ actions that might affect clients.
· Provide daily updates to the CRM system
· Provide weekly sales reports outlining major client visits, phone calls, and accomplishments, and objectives/goals achieved or missed
· Determine new approaches to problem-solving and devise solutions within the scope of responsibility
· Able and willing to work from the office and travel throughout the DFW territory
Job Type: Full-time
Schedule:

 Monday to Friday

Ability to commute/relocate:

 Coppell, TX 75019: Reliably commute or planning to relocate before starting work (Required)

Work Location: Hybrid remote in Coppell, TX 75019",,"2623ea6916a9da31",,"Full-time",,"Coppell, TX 75067","Medical Sales Representative","Posted today",,,,"2022-11-14T23:22:54.845Z","https://www.indeed.com/company/DevLab-bio/jobs/Medical-Sales-Representative-2623ea6916a9da31?fccid=2356dec66fcc88ce&vjs=3"
"Southern Botanical, Inc.","Residential Account Manager
A successful candidate will direct production and ensure quality control for assigned accounts. The candidate is result oriented, organized and client focused.
Responsibilities
· Manage and motivate assigned frontline team members to meet company standards
· Ensure the timely and successful delivery of solutions according to client needs and objectives
· Maintain contracts and renewal of all managed accounts
· Identify and recommend upgrades in client gardens to improve aesthetics and function
· Serve as the primary contact and respond to our clients’ requests and concerns
· Responsible for sales goals which include landscape enhancements, agronomy, irrigation and tree care
· Must be able to negotiate and provide excellent customer service
· Understand mechanics of a basic irrigation system, know how to program and accurately adjust schedules for a controller and make basic repairs (drip, heads, nozzles, troubleshooting)
· Understand common terms, operations, and procedures for agronomy, arboriculture, enhancements, & irrigation
Requirements: 
· Bachelor’s degree and or 3 years of experience (preferably in the landscape industry)
· Valid Driver's License
· Proficiency with Microsoft Office Suite
· Must be able to lift 30 lbs and walk, stand, kneel or bend for extended periods of time
Why Work at Southern Botanical?
Southern Botanical (SoBo) is family owned and operated. We have built a reputation for creativity, quality and integrity throughout North Texas for the past 25 years. Behind every signature landscape we have a successful team dedicated to our clients and community.
Benefits
· Company vehicle
· 401K (100% company match up to 4%, after 6 months of employment)
· Health, Dental, and Vision Insurance
· Paid-Time Off
· Holiday Pay
· Short Term Disability Insurance
· Long Term Disability Insurance
· Life Insurance
· Performance Bonus opportunities
· Continuing Education opportunities
Job Type: Full-time
Pay: $60,000.00 - $80,000.00 per year
Benefits:

 401(k)
 401(k) matching
 Company car
 Dental insurance
 Health insurance
 Paid time off
 Vision insurance

Schedule:

 8 hour shift
 Monday to Friday

Ability to commute/relocate:

 Dallas, TX 75247: Reliably commute or planning to relocate before starting work (Required)

Work Location: One location",,"132de8e069416de6",,"Full-time",,"Dallas, TX 75247","Residential Landscape Account Manager","Posted today","3.4","37","$60,000 - $80,000 a year","2022-11-14T23:22:55.162Z","https://www.indeed.com/company/Southern-Botanical,-Inc./jobs/Residential-Landscape-Account-Manager-132de8e069416de6?fccid=cdbb1db750de114a&vjs=3"
"Esperanto Developments","
 Position: Director of Sales - Holiday Inn Bedford, TX
  Mission Statement
  Esperanto Developments is a dynamic hospitality management company which brings success to all its stakeholders.
  We achieve this with a diverse and talented team by exceeding expectations of guests, associates and owners.
  We bridge the gap between risk and reward providing tools and confidence to take on bigger and bolder opportunities.
  We pride ourselves on building strong partnerships never losing sight that profitability begins with people and relationships.
  Vision Statement 
 Esperanto Developments Vision is to be recognized as an innovative market leader changing the hospitality industry. We lead on a path to meaningful growth and make positive impact in the lives of all. 
 Esperanto Development LLC. Is a leading hotel management company with a premier track record of maximizing profitability and improving asset values for hotel owners. From hotel operations and property management to electronic distribution and interactive marketing, Esperanto Development achieves superior operating results through its strong commitment to guests, associates and owners.
  Job Description: 
 The Director of Sales is responsible for all sales efforts and supports revenue management initiatives. This position is the revenue driver through the delivery and execution of the strategic plan, leadership of the sales department, and developing and strengthening alliances and relationships within the marketplace.
  Required Skills and Requisites:
 
   Excellent communication skills. Ability to convey information and ideas through a variety of media; engaging the audience and helping them understand and retain the message. Skilled at establishing effective relationships with customers and internal partners; promoting openness, trust and confidence in one's intentions. Requires effective reading, writing and oral comprehension.
   Driven sales and marketing acumen. Energetic, proactive, takes calculated risks, and perseveres to attain goals. Possess an extensive knowledge of sales, marketing, revenue management and budget analysis capabilities with a demonstrated ability to apply these principles and methods through strategy and tactics.
   Thorough understanding of hotel revenue management. Knowledge of total hotel revenue management concepts, processes and strategies (including sales cycles and trends, account management, pricing, and inventory management).
   Administration and management capabilities with fiduciary responsibilities. - Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.
   Leadership qualities. Skilled at building a cohesive team and facilitating goal accomplishment by aligning individual and team actions with strategies and plans to drive business results. Requires the ability to inspire confidence and gain respect of hotel team, industry partners, competitors, and owners.
   Service orientation. Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.
   Applied business knowledge including bachelor's degree in Business Administration, Marketing, Hotel, and Restaurant Management, or related major plus three or more years experience in hotel sales and marketing.
 
  Responsibilities and Duties:
 
   Functions as the strategic business leader of the hotel's sales and marketing department and is responsible for all property-related reactive sales activity, proactive account sales and targeted segmentation, local and social catering sales and business travel sales, as well as positioning and promotional planning and activities. The position shares responsibility for achieving revenue goals, guest and associate satisfaction and the financial performance of the department.
   Develops and implements the sales and marketing business plan and annual budget. Analyze competition, market trends and customer needs and comments, forecasts, etc. to continually assess the productivity against budget, plan, and market.
   Direct the sales operation to meet / exceed revenue goals while ensuring a positive guest experience. Holds sales team accountable for achievement of revenue performance and activity goals.
   Develop and continually enhance relationships with key corporate, business and travel accounts, community organizations and professional associations to maintain visibility and market share. Continually targets and prospects new business through individual creativity and innovation
   Represents the Hotel positively and effectively in the marketplace.
   Proactively position and market the property. Manages the marketing budget to enable development of hotel specific campaigns, promotions and collateral to drive revenue and meet property objectives. Interfaces with brand support services and regional sales and marketing communications to ensure promotions pull through.
 
  At Esperanto Developments, we are dedicated to creating and sustaining meaningful hospitality careers for our associates. We support our associates with highly competitive salaries, outstanding health, benefits, extensive training and development programs, promotion within the organization, and a positive team-based culture where people make the difference. 
 Esperanto Developments, is an equal opportunity employer with policies prohibiting unlawful discrimination on the basis of any protected classification under applicable local, state and/or federal laws, which can include race, color, creed, sex, national origin, age, veteran status or physical or mental disability unrelated to job requirements. 
 Esperanto Development policies also provide for a drug-free workplace, where the use, possession, or influence of illegal drugs or alcohol while on company time is generally prohibited. An employee's use (or abuse) of legally prescribed medication may also implicate company policy, where it impairs judgment or work performance or otherwise creates workplace safety risks.
",,"80c7a76ad8af456a",,"Full-time",,"Bedford, TX 76021","Director of Sales - Holiday Inn Bedford, TX","Posted Just posted","3.2","13",,"2022-11-14T23:22:55.401Z","https://www.indeed.com/rc/clk?jk=80c7a76ad8af456a&fccid=b60ec644957335cc&vjs=3"
"Stroke Scan","We are looking to fill an immediate opening for a highly organized and experienced Independent Sales Associate with a passion for preparing, negotiating, and closing deals. As an Independent Sales Associate, you'll be responsible for adjusting your selling strategy to meet sales goals, look for clients through networking and cold calling, and offer outstanding after-sales and support assistance.
Independent Sales Associate Responsibilities: 

 Generate leads, build a personal network, and schedule appointments for product presentations and pitches.


 Customize sales presentations to suit the client’s needs and highlight specific benefits of our products and services.


 Understand the client’s pain points and offer solutions from the company’s product line and services.


 Nurture prospective customers by following up with high-quality referrals from existing clients.

What’s in it for you: 

 Competitive pay and performance-based incentives.


 Flexible work hours.


 Career advancement opportunities.


 Free sales training, extensive support, and mentorship program.

Who we are looking for: 

 Strong interpersonal skills with a proven ability to effectively communicate and share information.


 Maintain a professional attitude, with sincerity and enthusiasm, when dealing with clients.


 Excellent negotiation and consultative sales skills.


 Strong organizational and time management skills

Intrigued? We’d love to hear from you. Start your application for the Independent Sales position to join an award-winning employer today!
Job Type: Full-time
Pay: $85,000.00 - $105,000.00 per year
Benefits:

 Work from home

Schedule:

 Monday to Friday

Work Location: One location",,"f16d35d58cf87956",,"Full-time",,"Dallas, TX","Independent Sales Associate","Posted today",,,"$85,000 - $105,000 a year","2022-11-14T23:22:55.944Z","https://www.indeed.com/company/Stroke-Scan/jobs/Independent-Sales-Associate-f16d35d58cf87956?fccid=7363eebc91c6bb45&vjs=3"
