"company","description","externalApplyLink","id","jobType/0","jobType/1","jobType/2","location","positionName","postedAt","rating","reviewsCount","salary","scrapedAt","url"
"Sweet Me Photography","Sweet Me Photography is a national leader in providing studio-quality newborn photography in the convenience of client homes. We hire experienced newborn photographers across the country looking to set their own schedules, grow with a community of passionate photographers, and focus on photographing newborns while we manage all the rest. We handle all pre-session (marketing, booking) and post-session (editing, retouching) responsibilities for our photographers so they can focus and get paid for photographing newborns. We share best practices in newborn posing, safety, and workflow. Our photographers set their own days, times, and areas for sessions and can work on a part-time or full-time basis. Independent contractor relationship. Photographers must own a full-frame digital SLR or mirrorless camera and a 50mm or 24-70mm camera lens which must be capable of 2.8 aperture.
Job Types: Full-time, Part-time, Contract
Pay: $40,000.00 - $70,000.00 per year
Benefits:

 Flexible schedule
 Referral program

Schedule:

 Day shift
 Self-determined schedule

Supplemental pay types:

 Tips

COVID-19 considerations:Health check, masks, full sanitation, etc.
Application Question(s):

 Provide links to your newborn work or example newborn galleries (Website, IG Handle, Facebook Page):
 What is the make and model of your professional DSLR camera and lens?
 Describe your newborn posing experience (newborn experience is a requirement for all applicants):
 What is your current zip code from where you would be traveling to sessions?
 How many days per week on average are you available for newborn sessions?

Work Location: One location",,"043cb62756404e66","Full-time","Part-time","Contract","Dallas, TX","Newborn Photographer","Posted today",,,"$40,000 - $70,000 a year","2022-11-14T22:32:26.176Z","https://www.indeed.com/company/Sweet-Me-Photography/jobs/Newborn-Photographer-043cb62756404e66?fccid=c471ad1e9a6eaf1c&vjs=3"
"Suntex Marinas","Suntex Marinas is a high growth real-estate company investing exclusively in mixed-use marinas and their operating platforms. Over the last 20 years, we have acquired, developed, and operated more than 65 full-service marinas which also include retail spaces, office buildings, resorts, hotels, and restaurants in the United States. Over these years, we have developed a solid reputation by being dedicated to our customers, clients, guests, communities, employees, and investors.
Suntex Marinas is looking for a Graphic Designer to join our growing organization and work with the Marketing Team at our Home Office in Dallas, TX.
Job Functions

 Work collaboratively in a fast-paced, creative team environment
 Demonstrate a strong understanding and application of brand guidelines and brand identity principles
 Design creative across multiple platforms, including:

Logos and brand identity
Print collateral and advertisements
Digital ads, websites, and landing pages
Social media post templates
Signage and banners
Uniforms
Powerpoint presentations
Magazines
Booth graphics

 Ensure photography and videography library is complete, organized and meets the needs of the organization
 Keep design files organized and accessible to the team
 Communicate effectively with teams to ensure design output meets the requirements of the job
 Collaborate effectively across multiple teams, departments, and individuals to ideate innovative designs
 Take ownership of results

Qualification

 Advanced education in Graphic Design, Advertising or similar discipline is preferred
 1-3 years’ experience in graphic design or marketing
 Portfolio demonstrating a variety of design work and the ability to take a project from concept to completion
 A collaborative approach to projects with the ability to respond professionally to creative direction and constructive feedback
 Self-motivated with the ability to work with minimal supervision
 High level of time management, organizational skills, and attention to detail
 Ability to multitask and meet deadlines
 Strong understanding of digital platforms with the ability to provision design solutions across multiple digital platforms, light html experience preferred
 Experience with a wide range of design platforms, including Adobe Creative Suite
 A high level of professionalism and champion of company values is required

Job Type: Full-time
Pay: From $50,000.00 per year
Benefits:

 401(k)
 401(k) matching
 Dental insurance
 Employee discount
 Flexible schedule
 Health insurance
 Health savings account
 Life insurance
 Paid time off
 Professional development assistance
 Vision insurance

Schedule:

 8 hour shift
 Monday to Friday

Supplemental pay types:

 Bonus pay

Ability to commute/relocate:

 Dallas, TX 75252: Reliably commute or planning to relocate before starting work (Required)

Work Location: One location",,"cf47529405c09b4b","Full-time",,,"Dallas, TX 75252","Graphic Designer","Posted today",,,"From $50,000 a year","2022-11-14T22:32:26.582Z","https://www.indeed.com/company/Suntex-Marinas/jobs/Graphic-Designer-cf47529405c09b4b?fccid=fa7cb9157195cb35&vjs=3"
"PhotoBooth Deals","We are very focused on customer satisfaction. We are looking for someone who thinks the same way we do and our main goal is to make our clients' day very special.
PHOTOBOOTH ATTENDANT JOB DESCRIPTION:

 Attending events on time,
 Setting up the booth,
 Interacting with the client and their guests,
 Cleaning and sorting the props
 Sending Digital Albums to Clients
 Creating and designing graphics for Photo strip
 Solve technical issues (Photobooth Training will be provided)
 Handling difficult and/or demanding clients.

WHAT TO EXPECT OUT OF A GREAT PHOTOBOOTH ATTENDANT:
Timeliness – Arrive promptly and set-up photo booth equipment quickly and efficiently.
Dress Code – The attendant should dress according to established dress code, which should advisably include business-casual attire.
Friendliness – The photo booth attendant should smile, welcome guests, and invite them to the booth.
Patience – Things do not always go as planned. When crises arises, the attendant should continue handling customers and guests courteously, while remedying technical problems with patience.
Tech-Savy – The attendant should know how to solve general computer issues, and he or she should not be startled when something minor arises. The attendant should think through difficult problems and invoke a step-by-step methodology to fix technical issues.
PAY OUT: Weekly (Every Friday)
Though challenging, photo booth attendant positions are also exciting. The position requires excellent customer service skills, a savvy knowledge of technology, and the ability to engage in physical labor. It is ideal for applicants searching for weekend jobs and experience in the entertainment industry.
Job Types: Part-time, Contract
Pay: $19.00 - $20.00 per hour
Benefits:

 Flexible schedule

Schedule:

 Monday to Friday
 Weekend availability

Supplemental pay types:

 Tips

License/Certification:

 Driver's License (Required)

Work Location: Multiple Locations",,"1be1caaaa69bfe16","Part-time","Contract",,"Dallas, TX","Photo Booth Attendant (Dallas)","Posted 3 days ago",,,"$19 - $20 an hour","2022-11-14T22:32:28.144Z","https://www.indeed.com/company/PhotoBooth-Deals/jobs/Photo-Booth-Attendant-1be1caaaa69bfe16?fccid=99cefc5f0c59bd3c&vjs=3"
"Delivery Limited, LLC","We are looking for expert Fine art installers, Movers & Furniture Delivery Drivers. An average day consists of hanging art work, installing furniture and home furnishings in a client’s home, but also could include pick-ups and deliveries between designer showrooms and residents all over the metroplex. With a legendary reputation for dedicated “white glove” service when relocating, transferring and storing our exclusive clientele’s estate quality furnishings, we’re passionate about our client’s possessions. We bring the same passion to selecting our employees as well!
Qualities:

 are fanatical about “getting it right” for the client
 are passionate about your career path
 have professional communication and mature etiquette skills
 enjoy a physical challenge
 possess an exceptional work ethic
 enjoy being part of a successful team yet can think on your feet
 are honest, presentable and dependable
 are available to travel nationwide out of town 15% of the time

Responsibilities include: 

 home relocation
 partner on daily deliveries and pick ups
 assembly and disassembly of furniture
 hanging of art work
 specialty installation (sculpture, chandelier, grandfather clocks, etc.)

Job Type: Full-time
Job Type: Full-time
Pay: $17.00 - $19.00 per hour
Benefits:

 401(k)
 Dental insurance
 Employee discount
 Health insurance
 Life insurance
 Paid time off
 Paid training
 Vision insurance

Schedule:

 8 hour shift
 Monday to Friday
 Overtime
 Weekend availability
 Year round work

Supplemental pay types:

 Bonus pay
 Tips

Ability to commute/relocate:

 Dallas, TX 75247: Reliably commute or planning to relocate before starting work (Required)

Work Location: One location",,"777454d4071f4ed2","Full-time",,,"Dallas, TX 75247","Fine Art handler & Installer/ White Glove Mover/Delivery Drivers","Posted today",,,"$17 - $19 an hour","2022-11-14T22:32:28.208Z","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DAwgduWqBP7ymGN-lTADpinz2i-23XbRAyg5ywqS-MDQO7uNyPnsLxbJC4IJQDjIQhLo5KjvDmLqkr6wBz6OPK0KkDeu8Rz8YAjBG2ayvLbkU4mWWVLutzxbRSHKY2zOjvwUk1zsoLbi99Foen37dXGMQXwt_xMyj5o9HlKqFacQmh0OCqee8pBHxZ5Es_-oDoCtavMlsShHdLLRB8cunyhCN7T5cIj9GPxhu-MK13_NIu1kCkq6obxR4PF-YPMFysz35vFBEAPcI1lhbljepqTMqEhfUHprP7Qj9Ap3oSs_NkIHOt3A_-qwy2sBGoWI_1JkTGwigvOw8PnznPB-YlOSzZPWPtHeP2jscxQDNE-E12-xhw3sbhO3C6ZbFfO1OvkelTJBhM0vSlT_xGzYr24yI49K3D7qg_rY_kJ0YCrOAkbUYszHl41DVtDLAwrUKDiPLZAi3LBHACD9ZRsiNYQBpHsFt_xS6mGf4r80XVTg==&xkcb=SoCR-_M3X8AiUYA64L0LbzkdCdPP&p=0&fvj=1&vjs=3"
"King Architectural Metals","Job Description and Responsibilities: 
This candidate will be responsible for the creation of customer proofs and CNC production files for our custom plasma cutting division. Additionally, this artist will join our New Product Development team in creating and bringing new architectural interior designs to market.
Equally creative and artistic, this professional works in conjunction with our sales department and plasma cutting tables to provide the following:
1. Customer proofs of the project, with appropriate measurements and dimensions for a sign-off;
2. Makes adjustments and customer new proof versions;
3. After obtaining customer approval, the artist exports a file from the proof’s art which is run through a CNC plasma machine; and
Additionally, the artist will contribute to the New Product Development team by designing new types of architectural balusters and accessories, fence components and product lines from their pursuits. From there, she/he/they will also be responsible for supplying vendors with production files in their respective international locations.
We are looking for a professional who is self-motivated and looking to create a career with a construction industry leader in North America. The professional we’d like to joining our team for a fulfilling career will need to have 3-5 years’ experience using AutoCAD or any other applicable anchor-point outline tool. Certificates of Education in Interior Design, Drafting, or other CAD or 3D modeling programs will be highly desired. Also desired will be a working knowledge of Adobe Illustrator, interior design trends and a great attitude to bring to an exciting position.
Programs: 
AutoCAD
ProNest
Excel (or similar)
Task Management Software (Trello, Asana, or similar)
Bonus Points: 
Adobe Creative Cloud
Photography
Daily Work: 
Plasma Design & Nesting
DWG Requests
Creating New Product Design
Job Type: Full-time
Pay: $50,000.00 - $60,000.00 per year
Benefits:

 401(k)
 Dental insurance
 Health insurance
 Paid time off
 Vision insurance

Schedule:

 8 hour shift
 Monday to Friday

Supplemental pay types:

 Bonus pay

Ability to commute/relocate:

 Dallas, TX 75228: Reliably commute or planning to relocate before starting work (Preferred)

Work Location: One location",,"dbbe3abab78b3130","Full-time",,,"Dallas, TX 75228","CNC Plasma Production Artist","Posted today","3.1","42","$50,000 - $60,000 a year","2022-11-14T22:32:27.370Z","https://www.indeed.com/company/King-Architectural-Metals/jobs/CNC-Plasma-Production-Artist-dbbe3abab78b3130?fccid=abd30b72d142b993&vjs=3"
"Hummingbird","Hiring WordPress website designer to build two websites for an art gallery.
CANDIDATES MUST BE LOCAL TO THE DALLAS FORT WORTH AREA. ONLY candidates who are located in the Dallas - Fort Worth area will be considered.
Please have a high level of familiarity with hardcoding...our websites will be custom made.
The developer will be asked to meet in person on a few occasions with the client during the process of creating the websites to discuss the structure of the websites and changes, updates to the sites.
Candidates will be expected to forward a resume of experience and a portfolio or/and examples of their WordPress website design work.
Job Type: Contract
Pay: $25.00 - $30.00 per hour
Schedule:

 Self-determined schedule

Ability to commute/relocate:

 Dallas, TX 75207: Reliably commute or planning to relocate before starting work (Required)

Experience:

 Web design: 5 years (Required)
 UX: 3 years (Preferred)
 WordPress: 5 years (Required)

Work Location: One location",,"e2e12020a5074e05","Contract",,,"Dallas, TX 75207","WordPress Website Designer","Posted 3 days ago",,,"$25 - $30 an hour","2022-11-14T22:32:28.923Z","https://www.indeed.com/company/Belbosco/jobs/Wordpress-Website-Designer-e2e12020a5074e05?fccid=10a9728d9148ef6a&vjs=3"
"Deloitte","
 Senior Designer-Deloitte's Green Dot Agency 
  
  Are you a graphic designer with a track record of producing innovative print, digital, motion, and events display solutions in a fast-paced agency environment? Do you enjoy helping others succeed while learning, growing and elevating your craft? Deloitte's Green Dot Agency is looking for an experienced graphic designer who's inspired by new trends and emerging technologies. An ability to collaborate with creative and business teams to create stunning visuals that support their business goals is a must. The ideal candidate must have a strong visual aesthetic and the ability to work within a larger overall branding system, loves to tackle design challenges, teams well with people at all levels, and is ready to concept, execute, and deliver. 
  
  
 Please include a link to your online portfolio with your resume. 
  
  
 Work you'll do 
  
 
  Create distinctive visuals in a variety of media, including print, digital, and video, web design, visual identity and style guide creation 
  Provide ideas and input to campaign work that align to an overall strategy 
  Create custom imagery and layouts using Adobe creative cloud applications 
  Maintain the highest level of design and brand consistency and compliance throughout all projects 
  Be a proactive problem solver, communicate clearly, and have an enviable self-starting work ethic 
  Meet deadlines, ask questions, be curious 
  Use established project management systems to enhance collaboration, manage assets, and maintain visibility of project workflows 
  Stay up to date with industry developments, innovation, and trends 
 
  
 What you'll bring to the table 
  
 
  Proven work experience as a Graphic Designer for 3-5 years 
  Strong portfolio of completed design projects that delivered results for the client and accurately reflect your skills 
  Expert level experience with Adobe CC applications 
  Proficiency with Microsoft Office Suite, especially PowerPoint 
  Understanding of video editing with an emphasis on storyboarding and concepting motion graphics 
  Ability to drive the creative process to produce high-quality, original content 
  Strong aesthetic skills and typographic abilities 
  Incredible attention to detail and ability to focus 
  Ability to manage multiple projects, meet deadlines, and collaborate in a team environment 
  Outstanding interpersonal skills and ability to build relationships and trust 
  Excellent verbal and written communication skills 
  BFA, or BA degree in Design, Visual Communications or similar preferred. 
  Limiteed Immigration sponsorship may be available. 
 
  
 The team 
  
  Deloitte's Green Dot Agency is part of Marketing & Communications. We provide value to the U.S. Firms by differentiating the Deloitte brand, driving Deloitte's business priorities forward, innovating new marketing solutions, and delivering distinct client experiences. We develop cutting-edge marketing plans, creative assets, and unique experiences that engage our clients; deliver on the strategy of our businesses in the marketplace; and capture the hearts, minds, and loyalty of our clients. 
  
  
 Please include a link to your online portfolio with your resume. 
  
  For individuals assigned and/or hired to work in Colorado or Nevada, Deloitte is required by law to include a reasonable estimate of the compensation range for this role. This compensation range is specific to the State of Colorado and the State of Nevada and takes into account the wide range of factors that are considered in making compensation decisions including but not limited to skill sets; experience and training; licensure and certifications; and other business and organizational needs. The disclosed range estimate has not been adjusted for the applicable geographic differential associated with the location at which the position may be filled. At Deloitte, it is not typical for an individual to be hired at or near the top of the range for their role and compensation decisions are dependent on the facts and circumstances of each case. A reasonable estimate of the current range is $59035 to $121215. 
  
  You may also be eligible to participate in a discretionary annual incentive program, subject to the rules governing the program, whereby an award, if any, depends on various factors, including, without limitation, individual and organizational performance. 
  
  EA_GDA_ExpHire 
  
  ExperiencedMERoles 
  
  EA_ExpHire 
  
  EA_CMG_ExpHire
","https://www.indeed.com/applystart?jk=b2619598fb74856b&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXhMYiO1ljqCtu8dcMBvty_uXAwdulcUk0atwlDdDDqlBQ&vjfrom=serp&astse=aa23db76faa1826d&assa=9319","b2619598fb74856b","Full-time",,,"Dallas, TX 75201","Senior Designer-Deloitte’s Green Dot Agency","Posted 2 days ago","3.9","11026",,"2022-11-14T22:32:29.822Z","https://www.indeed.com/rc/clk?jk=b2619598fb74856b&fccid=9e215d88a6b33622&vjs=3"
"Artome","
 
  
   Artome is the most experienced Youth Art Show provider in the Country!. Our team has taken part in thousands of school Art Shows over the past 10 years and we LOVE what we do! We work with Pre-School, Private, Elementary, Middle and High Schools to showcase the student artwork in a professional gallery setting.
    
    
  
  
   
  
   As an Art Show Customer Service Representative:
    
    
  
  
   
  
   - You will be the Art Show Primary contact.
    
    
  
  
   - Organize the set-up and break-down of the Art Show displays.
    
    
  
  
   - Answer all questions, concerns and resolve issues.
    
    
  
  
   - Ensure accurate inventory counts are completed at the start/end of the event.
    
    
  
  
   - Promote Artome suggested products.
    
    
  
  
   - Assist the teacher, students and parents in locating art work.
    
    
  
  
   - Lead a team and/or volunteers to assist in setting up/breaking down
    
    
  
  
   - Must have valid Drivers License
    
    
  
   
   
  Benefits 
  
   Along with flexible scheduling, positive (and really fun) work environment, we offer our associate a great hourly rate with cross training and growth potential!
  
 
 
 0-1year",,"8bf3cce1dccd73e4","Part-time",,,"Arlington, TX 76013","Part-Time Art Show Customer Service - Will Train!!!","Posted 2 days ago","3.9","27","Up to $15 an hour","2022-11-14T22:32:30.038Z","https://www.indeed.com/rc/clk?jk=8bf3cce1dccd73e4&fccid=44c6f10d2601ed45&vjs=3"
"Cesani Arts","
 Job description 
 This is a key full-time position in the DFW area requiring strong business acumen. Position reports directly to the Operations Manager and requires the ability to handle a wide variety of responsibilities while meeting deadlines. 
 Benefit options currently include flexible hours, paid time off, base pay plus commission, and medical/ dental coverage. 
 COMPANY RESPONSIBILITIES 
 The Art Claims Manager must be comfortable handling a wide variety of tasks, including, but not limited to: 
 
  Oversee the lifecycle of multiple jobs
  
 
  Manage internal & external communications & expectations on project deliverables
  
 
  Establish relationships with carrier and contractor personnel
  
 
  Provide weekly project summaries to management
  
 
  Work with Sales to educated & explore opportunities with our customers
  
 
  Use of CRM software and documentation of Job Lifecycle activities
  
 
  Able to meet clients on-site. Many times at damaged properties after a fire or flood
  
 
  Other duties as required
  
 PERSONALITY REQUIRED 
 
  Enthusiastic, upbeat, and positive!
  
 
  Able to stay on top of multiple projects, adaptable to changing priorities,
  
 
  intellectually sharp,
  
 
  completes projects accurately,
  
 
  friendly, service oriented, proactive. Will go the extra mile for our clients,
  
 SKILLS AND QUALIFICATIONS 
 Applicant should be equipped with excellent administrative experience and high attention to detail, as well as organizational, mathematical, and communication skills. Applicant must function independently and creatively while demonstrating initiative and follow through. 
 
  Highly organized, motivated, able to work independently and as a team member
  
 
  Solid multi-tasking and prioritizing skills with strong attention to detail and accuracy
  
 
  Previous experience with insurance adjusters / working for a restoration contractor a plus
  
 
  PC Savvy; proficient with MS Office Suite including Outlook, Word, Excel, and Power Point
  
 
  Excellent phone manner; professional yet friendly and warm
  
 
  Strong interpersonal communication skills; effectively build trust with customers through written and oral correspondence
  
 
  Exhibit a professional, clean appearance that represents the Cesani Arts brand
  
 
  Valid driver's license with satisfactory driving record
  
 
  Occasional circumstances requiring overtime work and travel
  
 
  Available for non-scheduled work requirements as needed
  
 
  Successfully complete a pre-employment drug screen and criminal background check
  
 
  Bachelor's degree required; business, liberal arts, fine arts, or arts management degrees preferred; Master's degree a plus
  
 As a Project Manager, you will be expected to: 
 
  Be ethical, respectful and understand that our customers have an emotional connection to their art and photos and need to have them restored
  
 
  Abide by all rules, regulations, and policies contained in the Employee Handbook and Employment Agreement including active participation in identifying, reporting, and correcting situations affecting safety, quality, and customer satisfaction
  
 
  Properly operate any company vehicle(s) in accordance with manufacturer’s recommendations and company procedures
  
 
  Keep job or customer files neat, organized, secure and confidential
  
 About Us: 
 Our team is composed of highly talented and dedicated art experts. We are an ethical and transparent company who is focused on superb art handling, quality restoration, and lowering claim costs. This includes appraisals, re-location, storage, and management of art collections. 
 Job Type: Full-time 
 Salary: $16.00 - $20.00 per hour 
 Benefits:
  
  
 
  Dental insurance 
  Flexible schedule 
  Health insurance 
  Paid time off
 
  
  
 Schedule:
  
  
 
  8 hour shift 
  Monday to Friday
 
  
  
 Supplemental pay types:
  
  
 
  Commission pay
 
",,"5c0e5250b93fa38b","Full-time",,,"Dallas, TX 75234","Art Claims Coordinator","Posted 2 days ago",,,"$16 - $20 an hour","2022-11-14T22:32:30.441Z","https://www.indeed.com/rc/clk?jk=5c0e5250b93fa38b&fccid=5a32f88724616941&vjs=3"
"MAKE EXPRESSION","Make Expression in Frisco, TX is looking for one art teacher/customer service to join our 4 people strong team. We are located on 2995 Preston Road Suite 1535. Our ideal candidate is self-driven, punctual, and reliable.Are you looking for a fun and creative work environment? Do you enjoy being around people and helping them explore and create their very own artistic creations?Join us and become part of the success story.Make Expression is an art studio where people come to relax, have fun and enjoy Pottery painting, Glass fusing, Canvas painting, Mosaics and more. This is a one of a kind destination art studio with amazing creative options.Open Positions - Customer service/ Art TeacherResponsibilities
*An engaging and supportive personality. Our events are social and fun, so you must be comfortable speaking in front of a crowd and have an outgoing personality. *Individuals who are passionate and enthusiastic about art. *Must keep all public areas neat, clean and tidy. *Must be able to resolve any issues with customer or co-worker. *Must be punctual, organized and professional. *Must have reliable transportation and cell phone
*Qualifications*

 High School or Higher

We are looking forward to reading your application.Available shifts and compensation: Available shifts all days except Fridays. Compensation depends on your experience.About MAKE EXPRESSION: Make Expression is a hotspot for parties, camps, and painting classes in Frisco, TX.
By applying to this job, you agree to receive periodic text messages from this employer and Homebase about your pending job application. Opt out anytime. Msg & data rates may apply.
Powered by Homebase. Free employee scheduling, time clock and hiring tools.
Job Type: Full-time","https://www.indeed.com/applystart?jk=a1bb435b3594fe5d&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXiXuol1PUSHBasjk5-qKg5OQPTx7ack05kPwIeOSvQquQ&vjfrom=serp&astse=243fff9ec463e636&assa=996","a1bb435b3594fe5d","Full-time",,,"2995 Preston Road, Frisco, TX 75034","Art Teacher/Customer Service","Posted Today","3.8","5",,"2022-11-14T22:32:31.637Z","https://www.indeed.com/rc/clk?jk=a1bb435b3594fe5d&fccid=c41effcb04cff1e4&vjs=3"
