"company","description","externalApplyLink","id","jobType","jobType/0","jobType/1","location","positionName","postedAt","rating","reviewsCount","salary","scrapedAt","url"
"Primrose School of Richardson","
 Build a brighter future for all children. As the Food Service Teacher of Primrose School of Richardson, you’ll prepare delicious, nutritious food that helps fuel children as they explore, play and develop a lifelong love of learning. Your dedication to quality will ensure we deliver on our mission of bringing the best and most trusted early childhood education and care to the families we serve.
  
  You’ll join a team that is committed to creating a safe, healthy environment and a culture where all children and team members can thrive. 
 Make a difference every day.
  
  Encourage healthy eating habits through delicious and nutritious foods. 
  Maintain a keen awareness of children who have allergies and food restrictions. 
  Ensure food service area and food are free of nuts, nut products or food items that have been processed in a facility that also processes nut products. 
  Follow the daily menu prepared in collaboration with or by the Director. 
  Assist with ordering food and calculating the amount needed. 
  
 In order to inspire children to eat healthy, you need a school that inspires you.Primrose Schools is a mission-driven brand, and at Primrose School of Richardson, there are not only opportunities for professional development and growth but also for giving back to your local community through Spring Fling and charity events.As the leader in early education and care, our research-informed Balanced Learning® approach provides teachers with the tools and guidance to accommodate children’s natural curiosity and to fully support each child while building problem-solving skills and confidence. We are continuously working toward our mission of building a brighter future for all children—not only those who are able to attend a Primrose school—and every member of our organization plays a critical role in accomplishing that mission. 
 Let’s talk about building a brighter future together.
",,"4c0c34176264d99e",,"Full-time",,"Richardson, TX 75080","Food Service Teacher (Chef)","Posted 1 day ago","3.1","2108","$15 - $17 an hour","2022-11-14T22:40:04.262Z","https://www.indeed.com/rc/clk?jk=4c0c34176264d99e&fccid=1477923357cdf0a5&vjs=3"
"Esperanto Developments","
 Position: Chef - Holiday Inn, Bedford, Texas
  Mission Statement
  Esperanto Developments is a dynamic hospitality management company which brings success to all its stakeholders.
  We achieve this with a diverse and talented team by exceeding expectations of guests, associates and owners.
  We bridge the gap between risk and reward providing tools and confidence to take on bigger and bolder opportunities.
  We pride ourselves on building strong partnerships never losing sight that profitability begins with people and relationships.
  Vision Statement 
 Esperanto Developments Vision is to be recognized as an innovative market leader changing the hospitality industry. We lead on a path to meaningful growth and make positive impact in the lives of all. 
 Esperanto Development LLC. Is a leading hotel management company with a premier track record of maximizing profitability and improving asset values for hotel owners. From hotel operations and property management to electronic distribution and interactive marketing, Esperanto Development achieves superior operating results through its strong commitment to guests, associates and owners.
  Requirements:
 
   High School Diploma or GED
 
 
   1 - 3 years previous Hotel Executive Chef or Sous Chef experience.
 
 
   Serve Safe Certification
 
  Responsibilities 
 
  To supervise food preparation of all food outlets of the hotel ensuring all presentation, health and sanitation standards are maintained.
 
 
   Supervises all kitchen staff, to include hiring, training, counseling, disciplining, and completing performance evaluations.
   Schedule all employees under his/her supervision, maintaining adequate staffing levels while adhering to labor standards guidelines.
   Supervise all cooking operations, including methods, portioning, and garnishing.
   Plan meals and develops menus to include costing and recipe cards.
   Ensures training of staff in knife safety as well as proper use of gas and electric equipment
   Assist the Food and Beverage Manager and sales staff with banquets, parties, and other.
   Order and requisition food and equipment, giving specifications, quantities and quality descriptions, through approved suppliers whenever possible
   Ensures attractive presentation of all food and dishes
   Maintain health and sanitation standards
   Assist the Food and Beverage Director in developing the annual operating budget
   Monitor forecast and flex purchases and labor based on ever changing business levels
   Adhere to all Brand required food standards including menu specifications, brand signature breaks and menu requirements.
   Perform other duties as assigned by Supervisor
   Complete all required training by the brand and Richfield to ensure compliance of all brand standards.
   Take active role in development of a strong service culture, achieving guest satisfaction scores meeting the branded goal.
 
  At Esperanto Developments, we are dedicated to creating and sustaining meaningful hospitality careers for our associates. We support our associates with highly competitive salaries, outstanding health benefits, extensive training and development programs, promotion within the organization, and a positive team-based culture where people make the difference. 
 Esperanto Developments, is an equal opportunity employer with policies prohibiting unlawful discrimination on the basis of any protected classification under applicable local, state and/or federal laws, which can include race, color, creed, sex, national origin, age, veteran status or physical or mental disability unrelated to job requirements. 
 Esperanto Development policies also provide for a drug-free workplace, where the use, possession, or influence of illegal drugs or alcohol while on company time is generally prohibited. An employee's use (or abuse) of legally prescribed medication may also implicate company policy, where it impairs judgment or work performance or otherwise creates workplace safety risks.
",,"a918dfc8dbb0257c",,"Full-time",,"Bedford, TX 76021","Chef - Holiday Inn, Bedford, Texas","Posted Just posted","3.2","13","$20 an hour","2022-11-14T22:40:04.517Z","https://www.indeed.com/rc/clk?jk=a918dfc8dbb0257c&fccid=b60ec644957335cc&vjs=3"
"The Cheesecake Factory","
 Overview
 
   You are a seasoned leader, passionate about creating memorable dining experiences.
   We will utilize your talents to their fullest and provide an opportunity to advance your career.
 
 
   Our unique culture is one of the reasons we’ve been named to the Fortune 100 Best Companies to Work For® list since 2014. At The Cheesecake Factory, we know great things happen when passionate leaders gather around our table. Come join us!
 
 
 
   What we offer:
 
 
   Comprehensive healthcare including medical, dental and vision
   Flexible healthcare spending account
   Employee Assistance Programs
   Company-paid group life insurance, short term disability and long-term disability
   Paid time off including vacation and sick time
   401k plan and company match
   Quarterly Bonus program
   25% discount for your party when dining in as a guest
   Tuition assistance
   Career growth opportunities
 
 
   We follow local and CDC coronavirus guidelines to ensure the safety and wellbeing of our staff members and guests.
 
 
   What we’re looking for:
 
 
   At least 2 years of experience as a kitchen manager in a full-service, moderate to high volume restaurant
   Solid track record of success in previous roles, including demonstrated career growth
   Strong interpersonal and communication skills
   Dependable and motivated with a strong work ethic
   Able to stand, sit, squat or walk for extended periods of time
   Able to grasp, reach overhead, push, lift and carry up to 50 lbs
   Culinary school background is a plus
 
 
   Who we are:
 
 
   We’re one of Fortune’s 100 Best Companies to Work For® because we care for our staff like family, give back to our communities and work towards a sustainable future.
 
 
   The Cheesecake Factory Incorporated is made up of several unique restaurant concepts, including Grand Lux Cafe, North Italia and Social Monk, plus our California-based support center and bakeries on each coast – where our delicious cheesecakes our born! Our team of 40,000 operates more than 200 full-service, casual dining restaurants throughout the U.S., and we’re always looking for passionate people to join in on the fun.
 
 
   We are an equal opportunity employer. We are committed to creating an inclusive and welcoming workplace for all. We welcome applicants from a wide variety of identities, ideas, perspectives and experiences and encourage people from underrepresented backgrounds to apply. The Cheesecake Factory offers reasonable accommodations to job applicants with disabilities.
 
 
   #SoCheesecake #LifeAtCheesecake
 
  Qualifications ..
  Responsibilities ..
  About the Company ..
  Compensation Range $55000 - $70000 / year
",,"149cabcc9dadc880",,,,"Dallas, TX 75225","Kitchen Manager","Posted today","3.8","5748","$55,000 - $70,000 a year","2022-11-14T22:40:04.756Z","https://www.indeed.com/rc/clk?jk=149cabcc9dadc880&fccid=bbbd83274f4eef08&vjs=3"
"Rakko Sushi","We are looking for Sushi Chef / Helper

 Must know how to make sushi rolls
 Prep ingredients for sushi
 Keep the sushi bar area clean
 Knife skills
 Friendly attitude
 At least 1 year of experience in sushi chef

Text at 469-777-8727 (TEXT ONLY)
Job Types: Full-time, Part-time
Pay: $15.00 - $20.00 per hour
Benefits:

 Employee discount

Shift:

 10 hour shift
 Day shift
 Evening shift

Weekly day range:

 Monday to Friday
 Weekend availability

Experience:

 Restaurant experience: 1 year (Preferred)

Work Location: One location",,"d605055ad977800b",,"Full-time","Part-time","Plano, TX 75023","Sushi Chef / Helper","Posted 2 days ago",,,"$15 - $20 an hour","2022-11-14T22:40:05.332Z","https://www.indeed.com/company/Rakko-Sushi/jobs/Sushi-Chef-d605055ad977800b?fccid=4c87eb2053b02a88&vjs=3"
"CAVA - Flower Mound","
 
  
   
    Culinary Lead (Hourly Kitchen Manager) At CAVA, we love what we do, and we try and make every day as fulfilling as the last. Our restaurants need team members to make the magic happen every day. Everyone matters and we’re here to celebrate your growth.  We foster a culture built on five core values:
   
   
    
      Positivity – Every one of us can change someone’s day for the better.
      Transparency –We use transparency to help us make decisions through open dialogue
      Humility – We can always find ways to improve.
      Fanaticism – We are passionate about the opportunity to turn every guest into a fanatic.
      Thoughtfulness –We go above and beyond for our guests, our teams and communities.
    
   
  
  
   
      The Role: Culinary Leads are responsible for food quality and safety at CAVA. Our ideal Culinary Lead is hardworking, attentive to detail, and capable of leading and coaching a team.
   
   
      What You’ll Do:
   
   
    
      Lead and develop the grill and prep teams and Special Ops trainers
      Be responsible for opening or closing the restaurant
      Learn basic food and beverage management, including ordering and inventory organization
      Develop new leadership skills to lead the team
      Assist with any additional duties assigned
      Proven track record of coaching and developing team members
      Ability to cross train across the restaurant to ensure rapid growth
      May stand for long periods of time and lift up to 50 pounds
      Assist with any additional duties assigned
    
   
  
  
  
   
     Physical Requirements:
   
  
  
   
    
      Must be able to bend and reach overhead often
      Must possess dexterity to handle tongs, pots/pans, and other equipment
      Must be comfortable working in temperatures ranging from hot to cold
      Must be comfortable working near open flames
      May be required to work in tight spaces
      Must maintain near constant communication with multiple people
      Close vision, distance vision, and peripheral vision is required
      Must be able to sit, squat and kneel occasionally
      Must be able to work in a constant state of alertness and safe manner
      May be required to occasionally work in outdoor weather conditions
    
   
  
  
   
     Benefits at CAVA? We’ve got you covered. Here are just some of the benefits available to CAVA team members:
   
   
    
      Competitive pay
      Health, Dental, Vision, Telemedicine, Pet Insurance plus more!*
      401k enrollment with CAVA contribution*
      Paid sick leave, parental leave, and community service leave*
      FREE CAVA Meal for every shift worked
      The opportunity to be on the ground floor of a rapidly growing brand  
      
       indicates eligible qualifying positions
      
    
   
  
  
   
      As an equal opportunity employer, CAVA considers applicants for all positions without regard to race, color, sex, religion, national origin, disability, age, height, weight, marital status, sexual orientation, familial status, genetic information or any other characteristic or protected classes as defined by federal, state, or local law.
   
  
  
  
    Culinary Leader | Kitchen Leader | Shift Leader | Hourly Manager | Shift Manager | Customer Service | Restaurant | Part Time | Full Time | Team Member | Hourly Kitchen Manager | Assistant Kitchen Manager | Assistant Manager | Sous Chef | BOH Supervisor
  
 
  INDBOH
",,"bfaa0507188ec3f1",,"Full-time","Part-time","Flower Mound, TX 75028","Culinary Lead","Posted Today",,,,"2022-11-14T22:40:05.111Z","https://www.indeed.com/rc/clk?jk=bfaa0507188ec3f1&fccid=dd616958bd9ddc12&vjs=3"
"PF Changs","
 Hiring immediately for full-time hourly Sous Chefs or Assistant Kitchen Managers.
 
  Benefits We Offer:
 
   Eligible for medical, dental, 401(K) retirement plan and paid time off
   Competitive pay and bonus eligibility
   Paid management training program
   Opportunity to work with a growing brand with advancement opportunities and ongoing development – we promote from within
   Uniform (chef’s coat / hat) provided at no cost
   Food provided – free meal per shift
   Employee referral program - Refer a friend for a $250 referral bonus for Team Member positions and $500 for restaurant management positions (for locations other than home location)
   Exclusive employee discounts
   Closed on Thanksgiving and Christmas at most locations
   Financial support from the employee-funded Lucky Cat Fund Assistance during times of hardship for qualifying team members
 
 
  Job Summary:
 
  The Sous Chef assists in leading a culinary team managing daily restaurant culinary and food service operations to ensure high operating standards.
 
  Job Responsibilities:
 
   Lead a high volume, scratch kitchen culinary team with food prep and execution of menu items, procedures, and recipes, providing clear direction throughout the shift
   Ensure guest satisfaction through memorable culinary experiences
   Develop, mentor, and inspire your culinary team to continue to learn and teach
   Promote a fun and positive family-style work environment
   Assists with scheduling, interviewing, and hiring 
  Provides feedback to staff and recognition of staff
   Responsible for maintaining product quality standards by performing regular line checks
   Will engage in prep and line cooking activities as needed during the shift to ensure timely execution
   Accountable for following and executing all state safety and sanitation guidelines
   Contributes to building sales and maximize financial success for the restaurant
   Assists with cost control and food inventories as directed by the Executive Chef
 
 
  Job Requirements:
 
   2+ years of prior culinary or restaurant experience
   Exposure to managing inventory, cost of goods and overall control of financials
   Experience working in a hands-on, fast paced, high volume environment
   Experience mentoring and training hourly team members
   Must be able to stand and walk for periods of eight to ten hours in length each shift
   Must be able to reach, bend, balance and transport various objects weighing up to 30 lbs. repeatedly during a shift. At times it might be necessary to lift up to 50 lbs.
   Must be able to operate kitchen equipment including a wok, mixer, slicer, and buffalo chopper, as well as have the ability to use knives appropriately and maintain their integrity
   Must be able to work around various levels of temperature, including warm to very warm temperatures in the kitchen
 
 
  Preferences:
 
   Bilingual in English and Spanish
   Experience working in casual or upscale dining
   Experience working in a restaurant chain or franchise with established processes, systems, and accustomed to corporate structure and protocols
 
 
  Why work for us?
 
  Because it’s more than a job. We are passionate people doing meaningful work, motivated by our purpose: To celebrate life, family, and food.
 
  P.F. Chang’s is a unique concept like no other restaurant; a scratch kitchen and concept you can take pride in. We believe in P.F. Chang’s – 29 years strong and still growing, sharing, and celebrating each day!
 
  How We Protect Our Team Members:
 
  The Company reviews CDC guidelines and complies with Federal, State and local rules to keep our P. F. Chang’s team members and guests safe.
 
  Apply Now
 
   Search for jobs by keyword or location.
   Gather your work history, and if applicable prepare your resume for submission.
   Click “Apply Now” to submit your application.
 

","https://www.indeed.com/applystart?jk=26953af85e101cf1&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXieciG78TSCcblFIH8rRDyu2Lr7DfU83qy6ilMSvPFMEw&vjfrom=serp&astse=50f586b637d954b7&assa=5458","26953af85e101cf1",,"Full-time",,"Arlington, TX 76018","Sous Chef / Kitchen Manager","Posted 2 days ago","3.7","2948",,"2022-11-14T22:40:05.651Z","https://www.indeed.com/rc/clk?jk=26953af85e101cf1&fccid=ab647a400a530239&vjs=3"
"Upward Projects Restaurant Group","
 Description: 
  ABOUT THE ROLE
  As an Executive Chef your goal is to meet and exceed company financial results while maintaining a positive work environment, high levels of product quality, cleanliness, productivity and efficient use of company resources. Additionally, this position performs and enhances the completion of the daily functions of the assigned restaurant through delegation and development of the culinary managers and teams.
  TO BE SUCCESSFUL YOU MUST
 
   Deliver an outstanding food experience that guests will remember as unique and fulfilling.
   Provide direction, delegate and trust in your culinary team to complete all prep work, adhere to recipe standards, and follow cleanliness guidelines.
   You are an inventory BOSS.
   Ensures quality and safety of product in all aspects of production, storage, and presentation.
   You are detail oriented and won’t hesitate to provide financial accuracy of sales, expenses, and inventory.
   Work closely with your team to mentor and develop leadership skills.
   Guide your team to make the right choices that build trust and get the best results.
   Ensure that each shift is staffed with A-Players who know their role.
   Communicate to your team their personal development pathway and areas of responsibility.
   Document all issues to provide accountability for your team’s actions.
   Maintain a professional working relationship with all members that promote a supportive, respectful, and inclusive work environment.
 
  WHY YOU’LL LOVE POSTINO WINECAFE
 
   Recognition and rewards for your hard work
   Generous meal benefit program
   Access to Medical, Dental and Vision Benefits
   Mental wellness and life event management program
   Fitness discount program
   Telehealth services
   401K with company match
   Paid time off and earned paid sick time
   Company provided Holidays off
   Company paid life, accidental, and long-term disability benefits.
   Paid Parental Leave up to four weeks when eligible.
 
  WHO WE ARE
  We are a restaurant group that thrives on creating authentic and inspiring experiences for the communities we serve. Through the contributions of countless incredible people, past and present, we’re headed to the moon with a simple mission — to make people feel good.While no one on the team is quite like the other, it’s our common values that keep us united.
 
   Be Authentic and Humble
   Act with Integrity
   Bring Good Energy
   Achieve as a Team
   Get Extraordinary Results
   Inspire with Hospitality
 
  ABOUT POSTINO WINECAFE
  Postino WineCafe started with a simple vision to create a place where we could all come together and connect. Inspired by adventures in Northern Italy, Postino - “Postman” in Italian, made its home in a vacant, 1940’s brick post office. As we continue to grow, we look for historically relevant spaces to create one of kind gathering spaces that serve their communities.
  Postino is disrupting the wine bar segment. Our vibe is fun, eclectic, inspiring yet familiar surroundings, offering high quality yet approachable wines paired with fresh and colorful bruschetta boards built for sharing. The menu is designed for sharing and pairing with our amazing wines with options for everyone.
  Our mantra is come one come all. Our great service ambassadors are happy to walk our guests through our global wines, craft beer on tap, and awesome selection of Italian inspired small plates, panini’s, cheese and meat boards, and salads. Requirements: 
 
  The position requires 1 year of full-service restaurant Kitchen Manager experience or 3-5 years of service industry management experience. Internal candidates must be in good standing and free of performance issues within 1-year time-period. Combined work experience and education will be considered in decisions.
   Associate’s degree in Culinary, Hospitality, Management, or Business preferred.
   State Food Handler’s Management Certification is required
 
",,"30d53ca5f4bf59e9",,,,"Dallas, TX 75254","Executive Chef","Posted 3 days ago",,,"$70,000 - $75,000 a year","2022-11-14T22:40:06.246Z","https://www.indeed.com/rc/clk?jk=30d53ca5f4bf59e9&fccid=dd616958bd9ddc12&vjs=3"
"The Original Pancake House-DFW"," 
 Prepare and present all Catering Food products to the standards of The Original Pancake House by strictly following recipes and guidelines. 
 Maintains clean and sanitary food preparation and storage areas at all times 
 Prepares meals in accord with program. 
 Ensures that catering operations conform to local health department codes. 
 Assist in the preparation and execution of catering events 
 Clean and maintain all catering equipment 
 Fulfill all duties as assigned by supervisor 
 Attendance and being on time, ready to work your scheduled hours is an essential job function. 
 Maintains food on serving lines for appearance and quality. 
 Responsible for hot food production according to production needs 
 Must be able to work a flexible schedule including extended hours, weekends, and holidays. 
 Ability to function in a fast paced environment, under short time constraints, and within established deadlines. 
 Obtain/maintain food handlers certification in accordance with local health regulations 
 Must be able to work well with people, in a team environment, and to communicate effectively both written & oral. 
 Must be 18 years of age or older 
 A stable work history; no more than two jobs in the previous five years 
 Must possess a outstanding work ethic and drive to succeed 
 Ability to maintain high levels of food quality, hygiene, and consistency 
",,"8da4d34c0c1ffe63",,,,"2900 Lemmon Ave, Dallas, TX 75204","Catering Chef","Posted 2 days ago","3.6","363",,"2022-11-14T22:40:06.473Z","https://www.indeed.com/rc/clk?jk=8da4d34c0c1ffe63&fccid=65e399840ae8fa0d&vjs=3"
"The Original Pancake House-DFW","Directly responsible for all kitchen functions including food purchasing, preparation and maintenance of quality standards; sanitation and cleanliness; training of employees in methods of cooking, preparation, plate presentation, portion and cost control and sanitation and cleanliness for one restaurant unit. 
Accurately and efficiently prepare menu items as well portion food products prior to cooking. Also perform other duties in the areas of food and final plate preparation including plating cooked items according to OPH standards. 

 
 
 Assumes 100% responsibility for quality of products served. Ensure that all food and products are consistently prepared and served according to the restaurant’s recipes, portioning, cooking and serving standards. 
 Knows and complies consistently with our standard portion sizes, cooking methods, quality standards and kitchen rules, policies and procedures. 
 Stocks and maintains sufficient levels of food products at line stations to assure a smooth service period. 
 Portions food products prior to cooking according to standard portion sizes and recipe specifications. 
 Follows proper plate presentation for all dishes. 
 Handles, stores and rotates all products properly (FIFO). 
 Assists in food prep assignments during off-peak periods as needed. 
 Closes the kitchen properly and follows the closing checklist for kitchen stations. Assists others in closing the kitchen. 
 Attends all scheduled employee meetings and brings suggestions for improvement. Performs other related duties as assigned by the General Manager, Manager or Shift Leader. 
 Fill in where needed to ensure guest service standards and efficient operations. 
 Prepare all required paperwork, including forms, reports and schedules in an organized and timely manner. 
 Ensure that all equipment is kept clean and kept in excellent working condition through personal inspection and by following the restaurant’s preventative maintenance programs. 
 Ensure that all products are ordered according to predetermined product specifications and received in correct unit count and condition and deliveries are performed in accordance with the restaurant’s receiving policies and procedures. 
 Control food cost and usage by following proper requisition of products from storage areas, product storage procedures, standard recipes and waste control procedures. 
 Be knowledgeable of restaurant policies regarding personnel and administer prompt, fair and consistent corrective action for any and all violations of company policies, rules and procedures. 
 Oversee the training of kitchen personnel in safe operation of all kitchen equipment and utensils. 
 Responsible for training kitchen personnel in cleanliness and sanitation practices. 
 Responsible for maintaining appropriate cleaning schedules for kitchen floors, mats, walls, hoods, other equipment and food storage areas. 
 Check and maintain proper food holding and refrigeration temperature control points. 
 Provide safety training in first aid, CPR, lifting and carrying objects and handling hazardous materials. 
",,"f121e0ed505b4ccc",,,,"Dallas, TX 75204","Lead Chef","Posted 2 days ago","3.6","363",,"2022-11-14T22:40:06.671Z","https://www.indeed.com/rc/clk?jk=f121e0ed505b4ccc&fccid=65e399840ae8fa0d&vjs=3"
"Sodexo","
 UNIT DESCRIPTION: 
 
   Come join a dynamic team of Food Service Workers with International Leadership Texas District!!!
 
 
 
   Sodexo is seeking to hire Full-Time 
  Kitchen Supervisor for the 
  ILT LANCASTER K8 School Dist.
 
 
   The shifts will be 
  Monday-Friday between
   6
  :00 AM to 
  3
  :30 PM
   - 
  $21.00
   
  per/hour!
 
 
 
   Come prepare breakfast & lucnch to students of all ages!
 
 
 
   What We Offer:
 
 
   School Calendar Schedule – No Nights or Weekends
   Annual performance-based pay increase
   Advancement Opportunity
   Insurance Benefits: Medical, Dental, Vision & Life – Full-time employees are eligible for healthcare benefits with no waiting period
   401K (Match up to 1% - 6% of gross pay)
   Paid Professional Standards training
   Paid ServSafe training – Nationally Recognized Certification
   Complimentary meal during shift #RSRSOD
  Position Summary: 
 
   The Supervisor - Food may work in any type of food location on client premises. This individual provides oversight at the direction of management on site to coordinate routine work activities of workers and/or service employees engaged in food operations or services at either larger complex facilities or locations in the areas of commercial, health care, schools, universities or other establishments. This individual will provide support to management in the daily oversight of key functions and employees during the normal course of business. The general responsibilities of the position include those listed below, but Sodexo may identify other responsibilities of the position. These responsibilities may differ among accounts, depending on business necessities and client requirements.
 
 
 
   General Responsibilities:
 
 
   Understands and follows all policies and procedures.
   Assists in ensuring a safe working environment throughout the facility for all employees.
   Assists in monitoring employee productivity and provides suggestions for increased service or productivity.
   Responsible for the oversight of day-to-day activities of subordinates and assigns responsibility for specific work or functional activities as directed by on-site management.
   Responsible for orientation and training of employees.
   Performs day-to-day assignments in addition to oversight duties.
   Works with customers to ensure satisfaction in such areas as quality, service and problem resolution.
   Promote in the development of the food service team.
   Attends all allergy and foodborne illness in-service training.
   Complies with all Sodexo HACCP policies and procedures.
   Reports all accidents and injuries in a timely manner.
   Complies with all company safety and risk management policies and procedures.
   Participates in regular safety meetings, safety training and hazard assessments.
   Attends training programs (classroom and virtual) as designated.
   May perform other duties and responsibilities as assigned.
  Qualifications & Requirements: 
 
  Willingness to be open to learning and growing.
   Maturity of judgment and behavior.
   Maintains high standards for work areas and appearance.
   Maintains a positive attitude.
   Ability to work a flexible schedule.
   Must comply with any dress code requirements.
   Must be able to work nights, weekends and some holidays.
   Attends work and shows up for scheduled shift on time with satisfactory regularity.
 
 
   Experience/Knowledge:
 
 
   High School diploma, GED or equivalent experience.
 
 
   Skills/Aptitude:
 
 
   Must be able to coordinate the routine responsibilities of staff and resources.
   Presents self in a highly professional manner to others and understands that honesty and ethics are essential.
   Ability to maintain a positive attitude.
   Ability to communicate with co-workers and other departments with professionalism and respect.
   Maintains a professional relationship with all coworkers, vendor representatives, supervisors, managers, customers and client representatives.
   Ability to provide clear directions and respond accordingly to employees.
   Ability to use a computer.
 
 
   Physical Requirements:
 
 
   Close vision, distance vision, peripheral vision, depth perception and the ability to adjust focus, with or without corrective lenses.
   Significant walking or other means of mobility.
   Ability to work in a standing position for long periods of time (up to 8 hours).
   Ability to reach, bend, stoop, push and/or pull, and frequently lift up to 35 pounds and occasionally lift/move 40 pounds.
 
 
   Working Conditions (may add additional conditions specific to defined work location):
 
 
   Generally in an indoor setting; however, may supervise outside activities and events.
   Varying schedule to include evenings, holidays, weekends, and extended hours as business dictates.
   While performing the duties of this job, the employee is primarily in a controlled, temperate environment; however, may be exposed to heat/cold during support of outside activities.
   The noise level in the work environment is usually moderate to loud.
 
 
   Sodexo is an EEO/AA/Minority/Female/Disability/Veteran employer.
  Benefits Eligibility: Full Time Benefits: At Sodexo, we believe every employee should have the resources to be their best. As part of our overall rewards, we offer benefits programs designed to help you maintain a healthy lifestyle including health, dental and vision insurance. Eligible employees can enroll in their benefits, which will be effective beginning on their first day with Sodexo. We also offer other benefits like paid time off, financial and savings programs and access to our employee assistance program and other discounts (eligibility varies by unit and may not be available to all employees).
","https://www.indeed.com/applystart?jk=95d44ab39ffa7f5d&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXjGf4F8J0vP-RGNnFcsiHafQPTx7ack05kPwIeOSvQquQ&vjfrom=serp&astse=cdaf63b20b9d20be&assa=6671","95d44ab39ffa7f5d",,"Full-time",,"Irving, TX 75038","ILT LANCASTER K8 - Kitchen Supervisor","Posted 2 days ago","3.7","18386","$21 an hour","2022-11-14T22:40:07.144Z","https://www.indeed.com/rc/clk?jk=95d44ab39ffa7f5d&fccid=272c1d1b584def7a&vjs=3"
