"company","description","externalApplyLink","id","jobType","jobType/0","jobType/1","location","positionName","postedAt","rating","reviewsCount","salary","scrapedAt","url"
"Cerna Texas","The Personal Attendant performs assistance with daily living, companionship activities, meal preparation, and other such tasks that allow the clients to remain independent in their homes. These activities include bathing, dressing, feeding, exercising, personal hygiene, grooming, transferring, ambulating, positioning, toileting and incontinence care, assisting with medication that the clients administer, meal planning and preparation, clients' laundry, transportation, correspondence, making telephone calls, shopping for personal care or groceries, and light housekeeping of areas that are directly occupied by the clients.Qualifications

 Strong communication skills
 High school graduate or G.E.D. certificate preferred.
 Must have a compassion for caring for the elderly
 Must be able to lift at least 40 lbs. with or without reasonable accommodation.
 Must have a current and valid driver’s license and be able to safely operate a vehicle in compliance with all applicable laws and regulations with or without reasonable accommodations
 A reliable automobile and proof of auto insurance as travel may be required
 Current CPR & First Aid or BLS
 Hoyer lift experience

Job Duties

 Adheres to Company policies and procedures
 Performs work under the supervision of the Staffing Coordinator/Operations Manager.
 Spends at least 80% of time on tasks that directly benefit the clients.
 Prepares meals and snacks for client according to client/family and supervisor’s instructions. Provides companionship for the client including accompanying client on walks, trips to social/recreational activities, assistance with hobbies, etc.
 Completes necessary logs reflecting services provided.
 Refers all questions to the office.

Benefits

 Flexible schedule
 Employee Referral Bonus
 Monthly Employee Recognition and Award
 Competitive pay

COVID-19 considerations:To keep our care providers and consumers safe during this time due to COVID-19 care providers are being given masks, some gloves
Job Types: Full-time, Part-time
Pay: $17.00 per hour
Schedule:

 4 hour shift
 Day shift
 Monday to Friday

Work Location: One location",,"8e7eedb54a63bc47",,"Full-time","Part-time","Rockwall, TX","Caregiver / Personal Attendant in Rockwall","Posted today","3.5","28","$17 an hour","2022-11-14T22:38:21.386Z","https://www.indeed.com/company/Cerna-Healthcare/jobs/Caregiver-8e7eedb54a63bc47?fccid=ad137bd09af1e895&vjs=3"
"Planet Fitness - Excel Fitness","
 Job Summary 
  The Overnight Custodian will be responsible for the overall cleanliness of all areas of the facility to ensure a positive member experience. 
  Essential Duties and Responsibilities 
 
  Thoroughly clean and sanitize restrooms, locker room areas, fitness equipment and gym floor. 
  Stock locker rooms with proper supplies/paper products. 
  Report any broken or missing amenities or equipment (Toilets, faucets, showers, hair dryers, gym equipment etc.) to the Club Manager. 
  Follow “Lost and Found Policy” and turn in lost member property to the Club Manager/Assistant Club Manager immediately. 
 
 Qualifications/Requirements 
 
  Custodial experience is preferred. 
  Punctuality and reliability is a must. 
  Ability to work third shift is a must. 
  Honesty and exceptional work ethic. 
  Ability to solve problems independently. 
  Demonstrate diplomacy in all interactions while using appropriate behavior and language. 
  High School diploma/GED equivalent required. 
  Must be 18 years of age or older. 
 
 Physical Demands 
 
  Continual standing and walking during shift. 
  Continual reaching with hands/fingers/arms during shift. 
  Occasional climbing, balancing, kneeling and crouching during shift. 
  Must be able to occasionally lift over 80 pounds. 
  Will occasionally encounter toxic chemicals. 
  
 Employees at a franchise location are employed by the Franchisee and are not employees of PFHQ (the Franchisor). PFHQ neither dictates nor controls labor or employment matters for franchisees or their employees, and does not retain any reserved authority to control the terms and conditions of employment for franchisees or their employees. Each franchisee is responsible for ensuring compliance with local, state and federal law.
",,"b02657ef60895ceb",,"Full-time",,"Highland Village, TX 75077","Custodian","Posted today","3.4","5986","$9 - $11 an hour","2022-11-14T22:38:21.446Z","https://www.indeed.com/rc/clk?jk=b02657ef60895ceb&fccid=c03f7548b7ebe34d&vjs=3"
"AquaKids Swim School","
 Job Description
  
  We are looking for energetic outgoing people who are interested in bettering the lives of young children with the instruction of a lifelong skill. People with good communication skills who are enthusiastic, driven, and dedicated to children should apply.
  
  
  
 Overview
  
  AquaKids Swim Instructors teach swimming lessons in a fun non-stressful environment using our AquaSteps program. Other responsibilities include evaluating new students, ensuring safety, talking to customers about student progress, and ensuring the best experience for students, parents, and staff.
  
  
  Comprehensive 40-hour training program; Lesson plans provided!
  
  Flexible work schedules, college students welcome!
  
  Fun work environment
  
  Heated Indoor Pool
  
  Opportunity for advancement – we are growing!
  
  Only 3 students per class, maximum
  
  Paid 30 minute break when you work a 4 hour shift
  
  
  
 Requirements:
  
 
  Minimum of High School Diploma or equivalent required, some College preferred 
  Must be 16 years of age or older 
  Must have swimming experience 
  Lifeguard & CPR certification preferred, but not required (will certify right candidate) 
  Must be able to work nights and weekends 
  Must pass a drug test and background screen
 
  
  
 Qualifications:
  
 
  Love children and the water 
  Ability to set an example of excellence 
  Takes initiative 
  Has excellent verbal and written skills 
  Ability to recognize problems and problem solve 
  
 Member schools are independently owned and operated. Your application will go directly to the member school, and all hiring decisions will be made by the management of this school. All inquiries about employment at these schools should be made directly to the school location, and not to US Swim School Association.
",,"df7b74f87b733766",,"Part-time",,"Flower Mound, TX 75028","Swim Instructor","Posted today","4.2","29","$13.25 - $15.00 an hour","2022-11-14T22:38:21.566Z","https://www.indeed.com/rc/clk?jk=df7b74f87b733766&fccid=183fd8c70bd460db&vjs=3"
"YMCA of Metropolitan Fort Worth","POSITION SUMMARY:
This position supports the work of the Y, a leading nonprofit committed to strengthening community through youth development, healthy living and social responsibility. Instructs group classes in a safe, enjoyable, and positive environment that welcomes all people. Effectively builds community within the class. Modifies class as needed to meet varied health, ability and cultural needs.
ESSENTIAL FUNCTIONS:

 Leads energizing, fun, safe, and educational group classes, as directed by the supervisor, to accomplish the YMCA mission and goals.
 Asks and answers questions from program participants and members to support them in achieving their goals related to health and well-being.
 Maintains working knowledge of wellness and trends to provide effective information and support to members.
 Builds effective, authentic relationships with members; helps members and program participants connect with each other and the YMCA.
 Observes and adjusts approach to support all participants’ capabilities, physical conditions, health, and culture.
 Celebrates achievement of program participants related to program or personal goals, mastering of specific skills or overall health and well-being.
 Keeps accurate class attendance records.
 Follows YMCA policies and procedures; responds to emergency situations.
 Performs other duties as assigned.

YMCA COMPETENCIES (Leader):

 Community- Demonstrates a desire to serve others and fulfill community needs.
 Inclusion- Works effectively with people of different backgrounds, abilities, opinions, and perceptions.
 Relationships- Builds rapport and relates well to others.
 Influence- Seeks first to understand the other person’s point of view and remains calm in challenging situations.
 Communication- Listens for understanding and meaning; speaks and writes effectively.
 Developing Others- Takes initiative to assist in developing others.
 Innovation- Embraces new approaches and discovers ideas to create a better member experience.
 Quality Results- Strives to meet or exceed goals and deliver a high-value experience for members.
 Change Capacity- Demonstrates an openness to change, and seeks opportunities in the change process.

QUALIFICATIONS:

 18 years of age or older
 Certifications: ASHI Basic Life Support (ASHI CPR Pro), First Aid, a National Group Exercise Certification from YMCA approved certifying organization. It is the responsibility of the employee to maintain group exercise certifications.
 Ability to relate effectively to diverse groups of people from all social and economic segments of the community.
 Must complete required Y-USA trainings within first 30 days of employment.

WORK ENVIRONMENT & PHYSICAL DEMANDS:

 The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
 Ability to conduct classes and activities and perform all physical aspects of the position; including leading class, walking, standing, bending, reaching, and lifting.

Job Type: Part-time
Pay: $20.00 - $25.00 per hour
Benefits:

 Employee discount
 Flexible schedule
 Health insurance
 Paid time off

Schedule:

 Monday to Friday
 Weekend availability

Work Location: One location",,"8559ab6ac426ff64",,"Part-time",,"Bedford, TX 76021","Group Exercise Instructor","Posted today",,,"$20 - $25 an hour","2022-11-14T22:38:21.715Z","https://www.indeed.com/company/Benbrook-Community-Center-YMCA/jobs/Group-Exercise-Instructor-8559ab6ac426ff64?fccid=b242f911d4e4bd9c&vjs=3"
"RSG Group","
 Who We Are 
  What started out in 1965 as a small gym in Venice Beach, California has since become the most well-known and traditional fitness company in the world - Gold's Gym. Over the last 55 years, Gold's Gym has developed into a global brand with over 600 locations spanning 6 continents. Bodybuilding greats such as Arnold Schwarzenegger, Lou Ferrigno and Franco Columbu worked out at the original Gold's Gym, which went on to become the most legendary gym in the world. In the fitness industry, the brand enjoys cult status and universal appeal with 96% aided brand awareness. In 2020, the RSG Group acquired Gold's Gym and integrated the company into its global leading fitness and lifestyle portfolio. 
 With more than 1,000 locations across 48 countries, 41,000 employees, and 6.4 million customers across gyms, studio spaces and digital services. RSG Group's future-oriented portfolio comprises of 17 innovative brands including HEIMAT, McFit, The JOHN REED Family and beyond, encompassing the areas of art, fashion, design, and lifestyle in addition to its core competency: fitness. With global headquarters in Berlin and continuous expansion across the world, RSG's concepts consistently set new benchmarks and develop new areas of activity. 
  We attribute much of our success to our company culture. We're down-to-earth, reliable, and entrepreneurial - but also enthusiastic, collaborative, and creative. 
 If this feels like you, we can't wait to get your application 
  
 Who We are Looking For 
 We are looking for passionate fitness professionals to grow their career with the most iconic brand in the industry. As a Gold's Gym Personal Trainer, you will be the front line to maximize our member's training potential. The Personal Trainer will create programs based on member's individualized needs including education and guidance on proper nutrition, cardiovascular exercise, resistance training, and other fitness programs offered at Gold's Gym. This role will report directly to the Member Experience Manager. 
 Key Responsibilities: 
  
  Conduct fitness service appointments with both new and existing members to design a personalized fitness game plan to help members achieve their goals 
  Process new member intake questions to best understand fitness goals, relevant constraints, and other pertinent information to ensure their success at Gold's Gym 
  Develop individualized exercise programs that are effective, challenging, and consistent with our members' personal fitness and exercise goals 
  Maintain professional support for our club members with different fitness experience and backgrounds to assist all in achieving their training success 
  Utilize floor hours to assist members with exercises and/or equipment demonstrations, maintain a safe and clean workout floor, and build professional relationships with our member base 
  Apply expert-level fitness knowledge to keep members engaged to motivate their workouts, try new challenges, test out different Gold's Gym class offerings 
  Conduct thorough gym walkthroughs to clean and re-rack weights to ensure facility is up to Gold's Gym standards 
  Responsible for assisting club in achieving monthly revenue goals set by management 
  Any other duties as assigned 
  
 
 What We Are Looking For: 
  
  National fitness certification (NASM, ACE, ISSA, or NCCA accredited equivalent) must be current or obtained 
  Experience in designing and implementing fitness programming based on varying individual needs 
  CPR/AED certification must be current 
  Bachelor's degree in Kinesiology or Exercise Science is a plus 
  Organized and reliable with an approachable attitude 
  Must have excellent communication skills and adaptable coaching methods to different exercise experience levels 
  Must be able to quickly determine program changes to keep members engaged regardless of experience or fitness ability 
  Must be able to lift upwards of 50 lbs 
  Must be able to stand or sit for up to 8 hours throughout the workday 
  
 Why Us? 
 Despite our rapid development, our founder and CEO Rainer Schaller has never lost sight of the fact that the focus is on people and their individual strengths. As an employer, we live out our family values every single day and are proud of our employees. Join us and make a mark with your ideas and input. For more information about our company, please visit our website: https://www.goldsgym.com/ 
  At Gold's Gym, we believe that our diversity fuels innovation and benefits our team members as well as our club members. All qualified applicants will be considered for employment without attention to race, color, ethnicity, ancestry religion, sex sexual orientation, gender identity, national origin, age, genetic information, veteran, martial or disability status.

","https://www.indeed.com/applystart?jk=bc43ef6c2ab85fd1&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXjQjYLy5-71sJIp0OtpVokb2Lr7DfU83qy6ilMSvPFMEw&vjfrom=serp&astse=fdb9503357488723&assa=1650","bc43ef6c2ab85fd1",,,,"Richardson, TX 75080","Personal Trainer - Gold's Gym","Posted today","3.6","3057",,"2022-11-14T22:38:22.384Z","https://www.indeed.com/rc/clk?jk=bc43ef6c2ab85fd1&fccid=b8278de5d1f989f2&vjs=3"
"Victoria Gardens of Frisco","RESPONSIBILITIES: To develop and provide a comprehensive activity program that meets the individual interests and capabilities of the resident population. Activities will encompass the cognitive, physical, social, spiritual and educational.
QUALIFICATIONS:
Per the Texas Administrative Code Title 40, Part I, Chapter 19, Subchapter H, Rule 19.702, the activity program must be directed by a qualified professional who:

 Is a qualified Therapeutic Recreation Specialist or Activities Professional licensed in Texas and eligible for certification as a Therapeutic Recreation Specialist, Therapeutic Recreation Assistant, or an Activity Professional recognized by an accrediting body (National Council for Therapeutic Recreation Certification); or
 has two (2) years of experience in a social or recreational program within the last five(5) years, one of which was full-time in a patient activities program in a health care setting; or
 is a qualified Occupational Therapist or Occupational Therapy Assistant; or
 has completed an Activity Director training course approved by any state
 Completes continuing education each year, per the requirements of licensure / certification
 Ability to understand, remember and carry out verbal and written instructions in English
 Ability to speak clearly and hear well enough to communicate effectively
 Ability to physically participate in and conduct the programs on the Activity Calendar
 Ability to work with physically disabled and chronically ill individuals of all ages
 Ability to remain tactful, pleasant and friendly when working with residents, guests, co- workers and the community
 Ability to identify signs / symptoms of a change of condition in the residents such as fatigue, irritability, level of alertness
 Ability to complete resident evaluations, assessments and documentation in a timely manner
 Ability to work flexible hours

ESSENTIAL FUNCTIONS:

 To assure resident safety.
 Advocates daily on behalf of all residents to ensure that their rights are maintained
 Reports abuse, neglect or exploitation per state reporting guidelines
 Maintains professional boundaries with facility residents and maintains a positive and professional rapport with facility interdisciplinary team, volunteers and community
 Consistently abides by the National Certification Council for Activity Professionals Code of Ethics and strives to represent Senior Care Centers (SCC) by exhibiting professionalism and quality work
 Completes Activity Evaluations with newly admitted residents within 14 days
 Completes MDS Section F upon admission, upon change of condition and annually with all residents
 Utilizes the information obtained from residents Activity Evaluations and MDS Section F responses to create individualized comprehensive activity care plans for each resident
 Documents the resident’s abilities and needs based on resident evaluation and records each resident’s participation in activities (e.g. group activity involvement, self-initiated activities, one on one activities, etc.)
 Maintains quarterly documentation of each resident
 Assists facility residents in forming / scheduling and conducting Resident Council Meetings and assists resident’s family members in forming / scheduling and conducting Family Council Meetings and utilizes the Complaint / Grievance reports to follow up on issues presented at these meetings
 Operates within a monthly budget and provides receipts to reflect all activity expenses
 Attends morning meetings, care plan meetings, quality assurance meetings, standards of care meetings and other meetings as necessary, confers with other facility personnel regarding the residents interests, needs and limitations as well as available resources and follows up on all activity related issues discussed
 Actively participates in positively marketing the facility in the community
 Schedules social programs for the facility including educational programs, entertainment programs, special events, group programs and spiritual services and coordinates programs with other departments in the facility
 Creates a monthly Activity Calendar with direct input from the residents and that utilizes community / local resources and distributes printed calendars to resident rooms, facility personnel, guests and the community
 Actively recruits volunteers from the community, facilitates criminal history checks on all volunteers over the age of 18 who plan to provide one on one or in-room activities with the residents, provides orientation and support to new volunteers and shows recognition appreciation to the volunteers
 Uses tactful, appropriate communications in sensitive and emotional situations
 Promotes positive public relations with patients, residents, family members and guests
 Use appropriate work place behavior and adhere to dress code all times
 As this job description is not intended to be all-inclusive, the employee is expected to perform other duties as assigned

WORK SCHEDULE:
As assigned, including some weekends, evenings and holidays; non-exempt position
PHYSICAL REQUIREMENTS:
Able to lift 50 pounds for routine performance of essential functions
AA/EEO/M/F/D/V
BENEFITS:
At Senior Care Centers we believe in providing our patients with a well-trained staff in a positive and encouraging environment. We provide each of our team members with opportunities for personal and professional growth in a team-oriented working environment. We offer competitive pay, excellent benefits and the chance to grow professionally in the healthcare industry.
Other benefits of the Wellness / Life Enrichment Director role include:

 Medical, Dental and Vision Insurance
 Life Insurance
 Short Term Disability
 Long Term Disability
 Vacation and Paid Time Off
 Sick
 401(k) Retirement Plan
 Paid Holidays
 Training for CEU’s Credits

Job Type: Full-time
Pay: $46,000.00 - $50,000.00 per year
Benefits:

 401(k)
 Dental insurance
 Health insurance
 Paid time off
 Vision insurance

Schedule:

 8 hour shift
 Monday to Friday

COVID-19 considerations:Follows CDC Guidelines
Application Question(s):

 How many years of social or recreational program experience do you have?

Work Location: One location",,"f48565b401e93209",,"Full-time",,"Frisco, TX 75035","WELLNESS / LIFE ENRICHMENT DIRECTOR","Posted today",,,"$46,000 - $50,000 a year","2022-11-14T22:38:22.531Z","https://www.indeed.com/company/Winters-Park-Rehabilitation-Center/jobs/Wellness-f48565b401e93209?fccid=18bb5d7808af0de7&vjs=3"
"Planet Fitness - Excel Fitness","
 Job Summary 
  The Overnight Closer (Member Services Representative) will be responsible for creating a positive member experience by providing a superior level of customer service to Planet Fitness members, prospective members and guests. The Overnight Closer will be responsible for creating a positive member experience by providing a superior level of customer service to Planet Fitness members, prospective members and guests. You will also be responsible for closing that day’s shift for that business day as well as creating an accurate bank deposit. 
  Essential Duties and Responsibilities 
 
  Greet members, prospective members and guests, providing exceptional customer service. 
  Handle all front desk related activities including: 
   
    Answer phones in a friendly manner and assist callers with a variety of questions. 
    Check members into the system. 
    New member sign-up. 
    Take prospective members on tours. 
   
 
 
  Facilitate needed updates to member’s accounts. 
  Respond to member questions and concerns in a timely and professional manner and elevate to Assistant Manager or Manager as needed. 
  Assist in maintaining the neatness and cleanliness of the club. 
  Close shift for that business day. 
  Create a bank deposit for next day. 
 
 Qualifications/Requirements 
 
  Customer service background preferred. 
  Basic computer proficiency. 
  A passion for fitness and health. 
  Upbeat and positive attitude! 
  Punctuality and reliability is a must. 
  Exceptional customer service skills; able to interact in a positive and professional way with members and co-workers, exceeding the member’s expectations. 
  Strong listener with the ability to empathize and problem solve. 
  Demonstrate diplomacy in all interactions while using appropriate behavior and language. 
  High School diploma/GED equivalent required. 
  Must be 18 years of age or older. 
 
 Physical Demands 
 
  Continual standing and walking during shift. 
  Continual talking in person or on the phone during shift. 
  Ability to work 3rd shift (overnights). 
  Must be able to occassionally lift up to 50 lbs. 
  Will occasionally encounter toxic chemicals during shift. 
  
 Employees at a franchise location are employed by the Franchisee and are not employees of PFHQ (the Franchisor). PFHQ neither dictates nor controls labor or employment matters for franchisees or their employees, and does not retain any reserved authority to control the terms and conditions of employment for franchisees or their employees. Each franchisee is responsible for ensuring compliance with local, state and federal law.
",,"f4bd0182233f157d",,"Full-time",,"Highland Village, TX 75077","Weekend Overnight Closer","Posted today","3.4","5986","$10 - $12 an hour","2022-11-14T22:38:22.602Z","https://www.indeed.com/rc/clk?jk=f4bd0182233f157d&fccid=c03f7548b7ebe34d&vjs=3"
"Soccer Shots Dallas Ft. Worth","
 THE CHALLENGE:Leader wanted. Only the committed should apply. 
 WHAT IT TAKES:Being on time. That means early. Every day.Carrying heavy equipment bags. Every day.Sweating through your clothes. Every day. Memorizing 100’s of children’s names. Every season.Greeting every child to the field with a smile, and every family, and every school director with a positive attitude, no matter what else has happened that day.Being responsible, and doing what you said you would, and being accountable to yourself, your team, and the All-Stars in your care. Every day.Sacrifice. Hard work. Discipline. Commitment. Every day.Leaving excuses at the door. Owning your work. Every day.Your best effort. Every day.
  
 WHAT YOU GET:Ant bites.Sore throat.Dirt. Sand. Grime. On your clothes and in your car.Support and challenge. Equal measure of both. That leads to a culture of empowerment and opportunity.GiANT leadership training.Book club for entrepreneurship.Most supportive team, and best culture, you’ve ever experienced.Fulfillment – you are a leader and role model to the children in your care.A life changing experience. Full stop. 
 COMPENSATION: $20 per 30-45 minute sessionUp to 35 sessions per weekCareer and growth opportunitiesMedical benefits for full-time employeesCompetitive gas reimbursement 
 WHAT YOU NEED:Soccer Shots Coaches must love children and soccer. They should have reliable transportation and a valid Driver’s License, a soccer background, preferably coaching or childhood education experience, and must be at least 18 years of age. Not a seasonal position. 
 OUR CORE VALUES:
  
  We care 
  We own it 
  We pursue excellence 
  We are stronger together 
  We are candid 
  We grow 
  
 WHO WE ARE:We’re an engaging children’s soccer program (ages 2-8) with a focus on character development. Though we continue to grow, we are still a family business at heart. We treat our employees like a team and the children we coach like our own. We train our coaches in leadership development, communication skills, early childhood education, and sports management. We provide high-quality, foundational soccer training that prepares children for a lifetime of soccer. You in? 
 HOW TO APPLY:Visit us: soccershots.com/DFW and click “Join Our Team”Email us: dfw@soccershots.comCall us: (214)-245-5144
",,"4c94b220935b0dbc",,"Part-time",,"Dallas, TX 75230","Early Childhood Soccer Coach","Posted today","4.2","192","$20 an hour","2022-11-14T22:38:23.018Z","https://www.indeed.com/rc/clk?jk=4c94b220935b0dbc&fccid=b55d5b1b4721e3d5&vjs=3"
"ASI Gymnastics","A FUN place to work! PLAYING with children while CREATING athletes.
Power Tumbling coaches help children grow in confidence and find a love of tumbling. Connecting with kids while having fun is the best!
Do you like to have fun?
Do you love working with kids?
Are you energetic?
Do you like to be creative?
Do you like to be challenged?
If you answered “Yes!” to these questions, this is the job for you!
We offer a power tumbling program for boys and girls, 5 and older, to basic tumbling skills through advanced tumbling skills.
Perks:

 Fun!


 Flexible Hours


 Incentive Pay


 Tuition Reimbursement


 Employee Discounts


 Fitness Reimbursement


 401K


 Insurance Benefits*


 Holiday/Vacation Pay*

*Full-time employees (30+ hours)
Requirements:

 Must be fun


 Must love kids


 Must be able to stand for long periods of time


 Must be able to lift more than 20 lbs.


 Evenings and weekend availability is preferred

Please visit the following URL to submit an application:
https://asigymnastics.com/asi-careers/
Job Type: Part-time
Pay: $9.00 - $16.00 per hour
Benefits:

 401(k)
 401(k) matching
 Employee discount
 Flexible schedule
 Referral program
 Tuition reimbursement

Schedule:

 Day shift
 Monday to Friday
 Night shift
 Weekend availability

Supplemental pay types:

 Commission pay

COVID-19 considerations:ASI still follows COVID-19 safety protocols.
Work Location: One location",,"abc378e2d1b8142e",,"Part-time",,"Dallas, TX 75214","Power Tumbling Coach","Posted today",,,"$9 - $16 an hour","2022-11-14T22:38:23.121Z","https://www.indeed.com/company/ASI-Gymnastics/jobs/Power-Tumbling-Coach-abc378e2d1b8142e?fccid=c09b5f11f65946bb&vjs=3"
"Workout Anytime Arlington","
 NOW INTERVIEWING PERSONAL TRAINER /SMALL GROUP INSTRUCTOR! Workout Anytime Arlington
  
  NOW HIRING a personal trainer / Group Trainer to work in one of the fastest growing Fitness Franchise on the planet, Workout Anytime! We are hiring at Workout Anytime Arlington ! This is a unique and powerful opportunity if you have the desire to build a CAREER in Fitness! If you are a TEAM player and you are looking for opportunity for advancement…. READ ON!
  
  This is an AMAZING opportunity FOR YOU to work for a RESULTS FOCUSED organization with over 20 years of experience in building and growing personal training clientele inside a supporting fitness club that will assist you to build your schedule!
  
  Candidate Requirements:
  
 
  NATIONALLY CERTIFIED PERSONAL TRAINERS (ACE, ISSA, NASM etc.) PREFERRED 
  OUTGOING PERSONALITY 
  EXCELLENT CUSTOMER SERVICE SKILLS 
  ENJOYS INTERACTING WITH A DIVERSE GROUP OF PEOPLE 
  PASSION FOR FITNESS AND CHANGING LIVES 
  MOTIVATED TRAINER WHO IS A TEAM PLAYER 
  EXPERIENCE AND/OR RELATED DEGREES ARE ENCOURAGED BUT ON THE JOB TRAINING WILL BE PROVIDED 
  SALES BACKGROUND IS A PLUS! 
 We are looking for Group Training candidates who are PASSIONATE about fitness and helping others achieve their goals. We are interested in hardworking and committed individuals who can thrive in a team environment and want to build a solid career in changing lives! The customer service of a Workout Anytime trainer must be absolutely outstanding! We are not only taking these individuals through one-on-one training, but we are also teaching them to implement HIIT cardio, weight training and a whole food nutritional program to provide consistently amazing results! We are VERY passionate about helping our clients achieve any and all of their goals in a healthy and effective way. Our entire TEAM of trainers will work together to provide support and a cheering section for each client.
  
  If you are selected to join the Workout Anytime team in your area you will be trained on our training philosophies and how to implement our nutritional program with your clientele.
  
  ***Future promotional opportunities will be available to those who demonstrate excellence and leadership capabilities***
",,"7d49b81ca8a6638c",,"Full-time",,"Arlington, TX 76017","Group Trainer","Posted Just posted",,,"$15 - $30 an hour","2022-11-14T22:38:23.507Z","https://www.indeed.com/rc/clk?jk=7d49b81ca8a6638c&fccid=661c5f8e46893e75&vjs=3"
