"company","description","externalApplyLink","id","jobType","jobType/0","jobType/1","jobType/2","location","positionName","postedAt","rating","reviewsCount","salary","scrapedAt","url"
"Accenture","

 
  
   
    
     We Are: Accenture's Transmission and Distribution practice, and we’re powering the progress to a safe, connected, and sustainable planet. Every day, we work with the largest electric, gas, and water utilities to produce cutting-edge solutions that help them become more efficient, reliable, environmentally friendly, and safer places to work. Our utility clients are looking for bold solutions in the era of rapidly changing technology, policy, and workforce innovations. We exist to bring the future to life in the core of our clients’ operations, working with them at Accenture Innovation Hubs around the world and at their sites locally. As the marketplace leader in modernizing the Transmission and Distribution network, we’re looking for leaders to help us make it more resilient, secure, and flexible to include new distributed energy resources. Will you join us in co-creating the future Visit our site to learn more about Utilities Consulting Services | Accenture 
      You Are: A skilled utility industry practitioner who has ideas about how to reinvent Transmission and Distribution in the new digital world. You have experience designing and implementing smart infrastructure to modernize the next-gen grid: your bread and butter are smart meters, grid sensors, distributed energy resources, and the like. You are not afraid to imagine next-gen control systems powered by artificial intelligence, blockchain, and robotics. In fact, every day you are looking for opportunities to challenge the status quo and you are not satisfied with step change. You are a relentless storyteller, inspiring teams with your vision and new way of thinking. You have a proven track record of assembling diverse, high-octane teams that harness people's strength and deliver radical insight. You understand that co-location with clients and teams is critical to innovation and you are ready to partner at client sites.
      The Work:
     
       Grasp the challenges Accenture clients are facing, offer solutions, and describe the value of transformation in terms of business outcomes.
       Bring thought leadership to shed light on most critical issues utilities face today and in the future.
       Keep learning and bringing new technologies and innovative solutions such as [role specific] to our clients.
       Serve as a role model and coach for the next generation of Accenture analysts and consultants.
       Champion other team members for professional and personal success.
       Nurture a wide range of trusted advisor relationships with clients, from strategy to technology, from the C-suite to the front line, and from business and IT.
       Use your powers of persuasion in interactions within Accenture if you think there’s a better way to solve a problem.
       Promote evidence-based business decisions by blending in business data and domain expertise to discover new insights.
       Travel: For now, all Accenture business travel, international and domestic, is currently restricted to client-essential sales/delivery activity only. Please note: The safety and well-being of our people continues to be the top priority, and our decisions around travel are informed by government COVID-19 response directives, recommendations from leading health authorities and guidance from several infectious disease experts.
     
     
      Applicants for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States and with Accenture.
    
   
  
 
 
 

 Basic Qualifications:
 
   Minimum 7 years of professional experience within Utility Industry and/or consulting as a trusted client advisor
   Minimum 2 years designing, implementing or deploying Utilitiy Industry solutions
   Bachelor's Degree Required or equivalent 12 yrs work experience
 
 
  Preferred Skills Requirements:
 
 
   Experience with utility business processes around work & resource planning, scheduling, dispatching, and field execution enabling connected digital field operations
   Experience in defining and implementing solutions leveraging SAP FSM platform to address business challenges in the work management and field service management capability areas
 
 
  Professional Skills Requirements:
 
   Proven success in contributing to a team-oriented environment
   Proven ability to work creatively and analytically in a problem-solving environment
   Desire to work in an information systems environment
   Excellent leadership, communication (written and oral) and interpersonal skills
 
 
  Our Commitment to You:
  Your entrepreneurial spirit and vision will be rewarded, and your success will fuel opportunities for career advancement. You’ll make a difference for some pretty impressive clients. Accenture serves many of the Fortune Global 100 on high-profile projects. Opportunities to learn daily through training, assignments, and collaborating with experts across the company. Access to leading-edge technology.
  Along with a competitive salary, Accenture offers a comprehensive package including generous paid time off, an employee healthcare plan and a competitive 401K program. Learn more about our extensive rewards and benefits: Your Future Rewards & Benefits
 
  Compensation for roles at Accenture varies depending on a wide array of factors including but not limited to the specific office location, role, skill set and level of experience. As required by local law, Accenture provides a reasonable range of compensation for roles that may be hired in California, Colorado, New York City or Washington as set forth below and information on benefits offered is here.
 
  Role Location: Range of Starting Pay for role
  California: $140,900 to $336,900
  Colorado: $140,900 to $291,100 
 New York City: $163,100 to $336,900
  Washington: $150,100 to $309,900
 
   COVID-19 update:
   The safety and well-being of our candidates, our people and their families continues to be a top priority. Until travel restrictions change, interviews will continue to be conducted virtually.
   Subject to applicable law, please be aware that Accenture requires all employees to be fully vaccinated as a condition of employment. Accenture will consider requests for accommodation to this vaccination requirement during the recruiting process.
   What We Believe
   We have an unwavering commitment to diversity with the aim that every one of our people has a full sense of belonging within our organization. As a business imperative, every person at Accenture has the responsibility to create and sustain an inclusive environment.
   Inclusion and diversity are fundamental to our culture and core values. Our rich diversity makes us more innovative and more creative, which helps us better serve our clients and our communities. Read more here
   Equal Employment Opportunity Statement
   Accenture is an Equal Opportunity Employer. We believe that no one should be discriminated against because of their differences, such as age, disability, ethnicity, gender, gender identity and expression, religion or sexual orientation.
   All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law.
   Accenture is committed to providing veteran employment opportunities to our service men and women.
   For details, view a copy of the Accenture Equal Opportunity and Affirmative Action Policy Statement.
   Requesting An Accommodation
   Accenture is committed to providing equal employment opportunities for persons with disabilities or religious observances, including reasonable accommodation when needed. If you are hired by Accenture and require accommodation to perform the essential functions of your role, you will be asked to participate in our reasonable accommodation process. Accommodations made to facilitate the recruiting process are not a guarantee of future or continued accommodations once hired.
   If you would like to be considered for employment opportunities with Accenture and have accommodation needs for a disability or religious observance, please call us toll free at 1 (877) 889-9009, send us an email or speak with your recruiter.
   Other Employment Statements
   Applicants for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States.
   Candidates who are currently employed by a client of Accenture or an affiliated Accenture business may not be eligible for consideration.
   Job candidates will not be obligated to disclose sealed or expunged records of conviction or arrest as part of the hiring process.
   The Company will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. Additionally, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the Company's legal duty to furnish information.
 
","https://www.indeed.com/applystart?jk=9bba7c418bba7410&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXj07KLeWrdHO5sd9j5bBOV-wsdLqiuaGy5Gw05HfKNzLw&vjfrom=serp&astse=bb649a6609d70bfa&assa=2144","9bba7c418bba7410",,"Full-time",,,"Irving, TX 75039","Utilities Industry Consulting Sr Manager","Posted today","4","22531",,"2022-11-14T23:23:32.359Z","https://www.indeed.com/rc/clk?jk=9bba7c418bba7410&fccid=a4e4e2eaf26690c9&vjs=3"
"Encore Theme","
 
  
   Irving, Texas 
   2933984 
  
 
 
 
  Job Description
  
    
   Role Purpose
    The purpose of this role is to provide solutions and bridge thegap between technology and business know-how to deliver any clientsolution
   
    Do
   
   
    
      Bridging the gap between project and support teams throughtechno-functional expertise 
     
      
       For a new business implementation project, drive the end to endprocess from business requirement management to integration &configuration and production deployment 
      
      
       Check the feasibility of the new change requirements and provideoptimal solution to the client with clear timelines 
      
      
       Provide techno-functional solution support for all the newbusiness implementations while building the entire system from thescratch
      
      
        Support the solutioning team from architectural design, coding,testing and implementation
      
      
        Understand the functional design as well as technical design andarchitecture to be implemented on the ERP system
      
      
        Customize, extend, modify, localize or integrate to the existingproduct by virtue of coding, testing & production
      
      
        Implement the business processes, requirements and theunderlying ERP technology to translate them into ERP solutions
      
      
        Write code as per the developmental standards to decide upon theimplementation methodology
      
      
        Provide product support and maintenance to the clients for aspecific ERP solution and resolve the day to day queries/ technicalproblems which may arise
      
      
        Create and deploy automation tools/ solutions to ensure processoptimization and increase in efficiency
      
      
        Sink between technical and functional requirements of theproject and provide solutioning/ advise to the client or internal teamsaccordingly
      
      
        Support on-site manager with the necessary details wrt anychange and off-site support
      
     
    
    
      Skill upgradation and competency building
     
      
        Clear wipro exams and internal certifications from time to timeto upgrade the skills
      
      
        Attend trainings, seminars to sharpen the knowledge infunctional/ technical domain
      
      
        Write papers, articles, case studies and publish them on theintranet
      
     
    
   
   
    Stakeholder Interaction
   
   
    
      Stakeholder Type
      Stakeholder Identification
      Purpose of Interaction
    
    
      Internal
      Lead Consultant
      Reporting & updates
    
    
      Onsite Project Manager/ Project Teams
      To provide off-site support and inputs as per client requirements
    
    
      External
      Clients
      For solutioning and provide support
    
   
   
    Display
   
    Lists the competencies required to perform this role effectively:
   
     Functional Competencies/ Skill
     
       Systems Thinking – Understanding of the Wipro system(interrelatedness, interdependencies and boundaries) and perform problemsolving in a complex environment - Competent
       Leveraging Technology – In-depth knowledge of and mastery overtechnology domain that commands expert authority respect–Master
       Functional/Technical Knowledge - Specific to the functional and ERPsystem in depth knowledge of the function processes and system and ERPfunctionality-Master
     
   
   
   
    
      Competency Levels
    
    
      Foundation
      Knowledgeable about the competency requirements. Demonstrates (inparts) frequently with minimal support and guidance.
    
    
      Competent
      Consistently demonstrates the full range of the competencywithout guidance. Extends the competency to difficult and unknownsituations as well.
    
    
      Expert
      Applies the competency in all situations and is serves as a guideto others as well.
    
    
      Master
      Coaches others and builds organizational capability in thecompetency area. Serves as a key resource for that competency and isrecognised within the entire organization.
    
   
   
   
     Behavioral Competencies
     
       Formulation & Prioritization
       Innovation
       Managing Complexity
       Client centricity
       Execution Excellence
       Passion for Results
     
   
   
    Deliver
   
   
    
      No.
      Performance Parameter
      Measure
    
    
      1.
      Contribution to customer projects
      Quality, SLA, ETA, no. of tickets resolved, problem solved, # ofchange requests implemented, zero customer escalation, CSAT
    
    
      2.
      Automation
      Process optimization, reduction in process/ steps, reduction in no.of tickets raised
    
    
      3.
      Skill upgradation
      # of trainings & certifications completed, # of papers, articleswritten in a quarter
    
   
    
    Infra Cloud Computing Architecting
  
 
","https://www.indeed.com/applystart?jk=48e02f683e2531b6&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXgSKOx-QBPr-a0EpGV3HO4F-BhdrQogdzP3xc9-PmOQTQ&vjfrom=serp&astse=e4ada9b521d3ac5f&assa=2184","48e02f683e2531b6",,,,,"Irving, TX","Techno Functional Consultant","Posted today",,,,"2022-11-14T23:23:32.403Z","https://www.indeed.com/rc/clk?jk=48e02f683e2531b6&fccid=68467f8543d168c0&vjs=3"
"CORE Safety Group","CORE Safety Group is a nationwide safety management and loss control consultant. We are currently seeking a Safety Advisor for a 1 month assignment in Dallas, TX to provide oversite on a construction project. The Safety Advisor will be responsible for identifying issues regarding safety matters at the project site and ensure compliance with Federal, State, Local and owner safety requirements.
Successful candidate should demonstrate the following: 
Applicant should have excellent communication skills with the ability to communicate in speech and writing with members at all levels throughout an organization; strong writing skills with the ability to interpret safety standards; excellent interpersonal skills with the ability to interface with diverse personalities. Demonstrated ability to work independently, prioritize workload, and display a high-level of organizational skills.
Job Requirements: 

 5+ years construction safety experience
 OSHA 30
 First Aid/CPR/AED
 Able to pass drug test & background check
 Dallas, TX (No per diem available)
 Available to start early November

Physical Requirements: 
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
While performing the duties of this position, employees are frequently required to stand, walk, sit, climb, use hands and arms, reach, and talk or hear. They are regularly required to balance, stoop, kneel, or crouch. They must frequently lift and/or move up to 25 pounds, and occasionally lift or move up to 75 pounds. Specific vision abilities include accurate near and distant vision.
CORE Safety Group offers competitive pay and benefits.
AA/EOE. E-Verify employer
Job Type: Full-time
Pay: From $35.00 per hour
Schedule:

 Monday to Friday

Ability to commute/relocate:

 Glendale, KY 42740: Reliably commute or planning to relocate before starting work (Preferred)

Experience:

 construction safety: 5 years (Preferred)

License/Certification:

 FA/CPR/AED card (Preferred)
 OSHA 30 (construction) (Preferred)

Work Location: One location","https://www.indeed.com/applystart?jk=785b0ac96fb7b75c&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXiC5aQaMZomwNOyiRoXICk9kiS-2XS_43VyhyRGICpJaw&astse=f4a1b36bff672857&assa=2289","785b0ac96fb7b75c",,"Full-time",,,"Dallas, TX 75201","Safety Advisor","Posted today","3.8","28","From $35 an hour","2022-11-14T23:23:32.462Z","https://www.indeed.com/company/CORE-Safety-Group/jobs/Safety-Advisor-785b0ac96fb7b75c?fccid=e279abded78a31d0&vjs=3"
"Signet Jewelers","Qualifications

 At least one year of retail experience is required, preferably with a jeweler or specialty retailer


 Knowledge of operating POS terminals and scanners, using basic computer software and hardware


 Ability to interpret a variety of instructions in written, oral, diagram, and schedule form

Job Types: Part-time, Seasonal
Pay: From $15.00 per hour
Benefits:

 401(k)
 Dental insurance
 Employee discount
 Health insurance
 Paid time off
 Vision insurance

Shift:

 10 hour shift
 4 hour shift
 8 hour shift
 Day shift
 Evening shift
 Morning shift
 Night shift

Weekly day range:

 Every weekend
 Monday to Friday
 Weekend availability
 Weekends only

Work Location: One location",,"3555ab0290ccf1c2",,"Part-time","Temporary","Seasonal","Arlington, TX 76015","Jewelry Consultant","Posted today","2.9","965","From $15 an hour","2022-11-14T23:23:33.387Z","https://www.indeed.com/company/Signet-Jewelers/jobs/Jewelry-Consultant-3555ab0290ccf1c2?fccid=4a1076c699e1befc&vjs=3"
"Audi Dallas","
 We are company that cares about our employees and we work to ensure your continued growth and success. We are a family owned and operated dealership in Dallas for over 30 years with an outstanding culture and growing team. If you feel you would be a great fit with our amazing team, please carefully review what we have to offer, and what we expect from our employees below: 
 Why Audi Dallas: 
 
  Family Owned and Operated – We Treat You As A Member Of The Family, Not A Number 
  Outstanding Culture, Facilities and Work Environment 
  Your Work/Life Balance Is Very Important To Us 
  Hands On Management Staff 
  We Believe In Promoting From Within 
  Opportunity for Your Career Growth 
 
 
 Benefits: 
 
  Excellent Medical, Dental & Vision Plans With Company Contribution Towards Premiums 
  401k Company Match (Fully Vested After 5 Years Of Employment) 
  Referral / Bonus Program 
  Paid Vacation 
  Paid Training for Technicians 
  Ongoing Training and Development 
  Competitive Compensation 
  Annual Bonuses Paid At End Of Year 
  Company Provided Life Insurance 
  Company Provided Long Term Disability 
  Discounts On Vehicle Purchases, Parts and Service 
  Length Of Company Service Recognition Includes Rings, Diamonds & Even A Rolex Watch For 25 Years Of Service 
 
 
 RESPONSIBILITIES: 
 
  Approach, Greet, and Offer Assistance or Direction To Any Customer Who Enters The Dealership Showroom or Sales Lot 
  Maintain and/or Exceed Sales Goals As Required By Dealer 
  Assist Customers In Selecting The Right Vehicle By Asking Open-Ended Questions and Listening Carefully To Their Needs 
  Explain Product Performance, The Application Process, Technology and Dealership Benefits To All Prospects 
  Take All Guests On A Tour Of The Facility 
  Describe Upgrades, Accessories and Optional Equipment Available for Customer Purchase 
  Build Strong Rapport With Customers and Work To Develop Long-Term Relationships 
  Work To Efficiently and Successfully Overcome Objections, Close Sales, and Perform All Steps Of The Sales Process In Accordance With Dealership Requirements 
  Report To Your Sales Manager On A Daily Basis Regarding Your Contact and Sales Objectives, Planned Activities, Reviews, and Analysis Of Prospects 
  Manage Your Customer Database and Contact In The Provided CRM (Client Relationship Management) Tools 
  Maintain Requirements for Acura CSI (Customer Satisfaction Index) 
  Other Duties or Tasks As Requested or Required 
 
 
 REQUIREMENTS: 
 
  Prior Automotive Experience Preferred 
  Comfort Level With Commission Based Pay Structure 
  Minimum High School Diploma or GED Equivalent Required 
  Valid Driver’s License 
  Proficiency With Standard Microsoft Software and Ability To Learn Other Computer-Based Tools for Client-Facing and A Majority Of Roles 
  Excellent Communication and Customer Service Skills 
  Professional Appearance and Work Ethic 
  Self-Motivated 
  Ability To Work In A Fast Paced Environment 
  Solid Work Ethic Around Attendance and Punctuality 
  Complete A Pre-Employment Drug Screen and Background Check
 
",,"58429832c6387fcc",,"Full-time",,,"Dallas, TX 75209","Sales Consultant - Audi Dallas","Posted today","4.3","10",,"2022-11-14T23:23:33.460Z","https://www.indeed.com/rc/clk?jk=58429832c6387fcc&fccid=d89e40a543954701&vjs=3"
"Stanley Automotive","
 Seeking Spanish Speaking Talented Individuals for Our Management Training Program at our Mesquite Texas location! Must be bilingual in Spanish and English 
 Are you looking for more than a JOB? Do you desire to have an opportunity CREATE a great life for yourself? 
 Come Join the Stanley Family! TEXT ""SALES10"" TO 972-630-4473 TO APPLY NOW 
 Opportunity to create annual income from $48,000 to $80,000 and beyond! 
 We pay you while you train! No Experience Necessary! 
 Competitive Compensation Package including Employer sponsored Healthcare benefits, Paid Time Off, 401k Participation, Opportunity to Grow! 
 Qualified candidates will have the opportunity to learn the business from the ground up by starting their program as an Automotive Sales Consultant. They will have an opportunity to participate in industry leading training programs as they develop their skills through formal and on the job dealership training they will receive as they are mentored through the program. 
 Top performers may be considered for our manager trainee program. 
 Our Group is dedicated to investing time and resources in our people. Come Grow with Us! 
 Strong Internet Skills are a plus! 
 Job Perks! 
 
  Employer sponsored benefits after probationary period 
  Paid Time Off after probationary period 
  401k participation eligibility after 6 months of service 
  
 Job Requirements 
 
  Digital and Social Media Marketing Experience a Plus! 
  Self-Starter 
  Ability to invest a significant amount of personal time and energy outside business hours to the education and training process 
  Strong Auto Sales and/or Customer Service Experience is a Plus but not required 
  Strong Ethics and Values 
  Excellent Leadership and Communication Skills 
  Excellent People Skills 
  Must Pass Background and Drug Screen 
  Must have valid driver’s license and pass motor vehicle record test 
 
 
  Come Join the Stanley Family!
 
",,"4203a6024c5a8ecd",,,,,"Mesquite, TX","Automotive Sales Consultant","Posted Just posted","3.3","40","$48,000 - $80,000 a year","2022-11-14T23:23:33.474Z","https://www.indeed.com/rc/clk?jk=4203a6024c5a8ecd&fccid=40993c168e72efff&vjs=3"
"Boardworks","
 About Boardworks: 
  Founded in 2000 by a classroom teacher in London looking to support fellow teachers with engaging content, Boardworks provides a turn-key library of interactive resources to enrich K-12 instruction in over 1,000 school districts in the US. Teachers will always have a pivotal role in learning and achievement for students no matter the advancements in technology and at Boardworks we strive to foster that all important teacher/student connection. 
  About the Position: 
  This is an opportunity to join a team of established outbound callers in a very friendly and welcoming remote working environment! 
  The ideal candidate is an energetic self-starter with the ability to identify influencers and key decision makers within K-12 School Districts. The successful applicant will be required to make warm and cold calls to Superintendents, Principals, and Curriculum Administrators across the country to schedule product demonstrations for our two market leading products, PASS (Universal Screener for SEL) and Boardworks (Interactive instructional content). You would work as part of a team with two Field Sales Representatives to help generate new opportunities in growing regions. 
  There is a genuine and real to possibility of quick progression within the company for talented employees who are fast learners, enjoy extra responsibility and who exceed their sales targets. You will discover qualified opportunities by responding to inbound interests and targeted outbound prospects to build rapport and establish long-term relationships. 
  This is a part-time position averaging 30-40 hours per week. Pay will be at an hourly rate plus commissions. 
  Responsibilities: 
 
  Core understanding of product features and how they can benefit districts
  
 
  Generate meetings through extensive cold calling (100+ calls a day)
  
 
  Consultative sales pitch and discussion with prospective customers
  
 
  Consistently achieving weekly and monthly targets set by your manager
  
 
  Regular meetings with Field Sales reps to best understand calling strategy
  
  Other responsibilities include: 
 
  Maintaining an up-to-date knowledge of the K-12 education market
  
 
  Updating district information into the company CRM (Close.io)
  
 
  Previous telephone-sales, SDR or lead generation experience (preferred)
  
 
  Energetic, organized, reliable, self-motivated and commission-driven
  
  Qualifications: 
 
  Excellent written and verbal communication skills
  
 
  Ability to multi-task, organize, and prioritize work
  
 
  1 year of previous outbound sales experience
 
",,"575f1eb486f63c0c",,"Full-time","Part-time","Remote","Dallas, TX","K-12 Education Consultant","Posted today","3.3","3",,"2022-11-14T23:23:34.546Z","https://www.indeed.com/rc/clk?jk=575f1eb486f63c0c&fccid=320990b1156e6299&vjs=3"
"Diversified","Project Development Consultant 

 What part will you play? 

 The Project Development is a crucial component to the success of the organization. He or she combines information they have gained by leveraging their network of contacts who are knowledgeable about upcoming construction projects with diligent prospecting habits to establish substantive meetings with key decision makers. As an opportunity matures, the PDC is responsible for working with the design engineering team to produce a comprehensive proposal that encompasses the system and facility design. The PDC remains nominally engaged as the solution is implemented so that challenges can be skillfully resolved, and field operations people can have the input they need to be successful. 

 What do we require from you? 

 Educational Background 

 
 
 Four-year college degree 
 Experience Desired 

 
 
 Five plus years of technology-centric sales in the mainstream Command & Control vertical market 
 Experience in one or more of the following industries: 
 Utilities 
 State and local government 
 Transportation 
 Federal Government 
 Familiarity with decision makers in the industries being served 
 Skills Required 

 
 
 Intermediate technical writing 
 Proficiency in Microsoft Word, Excel, PowerPoint, and Outlook 
 Familiarity with interpreting architectural construction documents 
 Basic understanding of data networking architecture 
 Essential Qualities 

 
 
 Team mentality 
 Professionalism 
 Commitment to consistently conducting eight business meetings per week 
 To learn more about becoming part of the Diversified team, visit us at http://diversifiedus.com/about/careers/ or email us at careers@diversifiedus.com. 

 Diversified is an equal employment opportunity employer and all aspects of employment will be based on job requirements, individual qualifications, merit, performance and business needs. We provide equal employment opportunities to all employees and applicants without regard to race, color, religion, national origin, gender, sexual orientation, gender identity, veteran status, age, disability or genetic information, or any other applicable characteristic protected under federal, state or local law. We celebrate diversity and encourage people of all backgrounds to apply for available positions. Individuals needing assistance or an accommodation to complete an application due to a disability, may contact Human Resources at 800.811.2771.",,"9c0a6f0993c5b095",,"Full-time","Remote",,"Dallas, TX","Project Development Consultant - Remote","Posted today","2.4","26",,"2022-11-14T23:23:34.521Z","https://www.indeed.com/rc/clk?jk=9c0a6f0993c5b095&fccid=942fa164afd388e2&vjs=3"
"Swarovski","
 
  At Swarovski, where innovation meets inspiration, our Sales Consultants are our ultimate advocates, providing our customers with extraordinary service and an awe-inspiring brand experience.
 
 
   We are searching for a curious and charismatic Sales Consultant to help us place crystal into the hearts and hands of our customers, to join a team with passion and enthusiasm and make the dreams of our customers come true.
 
 
   Join us if you are looking for a rewarding role within a diverse team that is pushing boundaries and shares your real passion for fashion and jewelry.
 
 
   Be part of a truly iconic global brand, learn and grow with us. A world of wonder awaits you.
 
 
 
   About the job
 
 
   You are our brand advocate. In this role and together with the team, you will:
 
 
   Accompany our customers during their mesmerizing Swarovski journey through our world of wonder
   Create an emotional connection with our customers and provide a spellbinding experience
   Anticipate our customers’ needs and share inspiring styling tips
   Showcase and present our legendary products
 
 
 
   About you
 
 
   You are an amazing Sales Consultant and bring along the following:
 
 
   An excellent sense of fashion and a real passion for our brand and our products
   Experience / keen interest in attainable luxury Fashion/Cosmetics/Lifestyle brands.
   Highly motivated and with a strong customer service orientation
   Dedication and target driven attitude
   Willingness to develop your career and grow with us
   Previous retail experience
 
 
 
   About Swarovski
 
 
   Swarovski unifies all parts of its organization under one spellbinding idea and brings forward a wondrous new world of crystal craftsmanship. Founded in 1895 in Austria, the company designs, manufactures and sells the world’s highest quality crystal, genuine gemstones, Swarovski Created Diamonds and zirconia, jewelry, and accessories, as well as crystal objects and home accessories. Together with its sister companies Swarovski Optik (optical devices) and Tyrolit (abrasives), Swarovski Crystal Business forms the Swarovski Group.
 
 
   A responsible relationship with people and the planet has always been an integral part of Swarovski’s heritage. This manifests today in the company’s well-established sustainability agenda with youth-focused education programs and foundations to promote human empowerment and conserve natural resources to achieve positive social impact.
 
 
   Swarovski is an equal opportunity employer. We give our people the guts to celebrate individuality and pride ourselves on creating a workplace where people feel involved, respected, valued, connected, and heard. A place where anyone/everyone belongs. All aspects of employment including the decision to hire, promote, discipline, or discharge, will be based on merit, competence, performance, and business needs. We do not discriminate based on race, color, religion, marital status, age, national origin, physical or mental disability, medical condition, pregnancy, gender, sexual orientation, gender identity or expression, veteran status, or any other status protected under law in countries we operate.
  Swarovski is committed to Equal Employment Opportunity for all employees and will take Affirmative Action in those appropriate employment situations. All employment decisions will be made without regard to race, color, religion, age, national or ancestral origin, gender, sexual orientation, marital status, citizenship status, veteran status and disability.
","https://www.indeed.com/applystart?jk=502f4a7b54907429&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXiOl-TEqpmRLUSWTQ4fSwXonUUKYs5yKqp3Fg7KgmoxhA&vjfrom=serp&astse=ce216d18ef1c3751&assa=4344","502f4a7b54907429",,"Part-time",,,"Plano, TX 75093","Retail Sales Consultant - Seasonal - Willow Bend - Plano, TX - SWAROVSKI","Posted today","3.9","1063",,"2022-11-14T23:23:34.703Z","https://www.indeed.com/rc/clk?jk=502f4a7b54907429&fccid=85cc50fea8fe89d4&vjs=3"
"GL Education","This role is perfect for a high achieving candidate who has a passion for education, loves edtech and enjoys sales!The successful candidate will be a quick learner, emotionally intelligent and possess a strong desire to achieve personal and team sales goals. They will be able to deliver high level, in depth K-12 product demonstrations and communicate and network with districts leaders in an engaging manner. They enjoy work the most when working as an integral part of a talented and dynamic team that is shaping the future of the business.There is a genuine and real possibility of quick progression within the company for talented employees who are fast learners, enjoy extra responsibility and who exceed their sales targets.Our team consists of many wonderful and highly talented former educators_ - we welcome teachers and administrators to apply with no sales experience - if they consider themselves as driven and high achieving individuals, who would enjoy a fast paced sales environment*._*

 Open up new sales regions for Boardworks with pioneering sales
 Conduct face to face and online demonstrations to K-12 Admin
 Attend network, county and state wide meetings and conferences
 Hit and surpass set sales revenue targets on a consistent basis
 Manage the full sales cycle from lead generation to closing sales
 Build a network of district references, case studies and contacts
 Use the company database to manage and track sales leads
 Create successful e-mail campaigns to generate sales leads
 Potential to train and manage sales consultants for new regions

Boardworks is a rapidly growing EdTech company that provides highly interactive and supplemental K-12 resources to help enhance teaching and learning. Our goal is to empower every teacher to engage students and improve learning outcomes across all educational environments
Job Type: Full-time",,"360c924bf0f06e9f",,"Full-time","Remote",,"Dallas, TX","K-12 Education Consultant","Posted today",,,,"2022-11-14T23:23:34.731Z","https://www.indeed.com/rc/clk?jk=360c924bf0f06e9f&fccid=d937096ea41b972a&vjs=3"
