"company","description","externalApplyLink","id","jobType","jobType/0","jobType/1","jobType/2","jobType/3","location","positionName","postedAt","rating","reviewsCount","salary","scrapedAt","url"
"Diagnostic Laboratories & Radiology","

 Location: Carrollton,TX 
  SHIFT: MONDAY- FRIDAY 10PM-6:30 AM 
  Role for the Lab Accessioner/ Specimen Processor 
  
  Receives specimens from Phlebotomists, couriers, and outer areas. 
  Enters patient demographic and testing information into laboratory information system. 
  Labels specimens using labels produced by laboratory information system. 
  Screens laboratory specimens for adequacy. 
  Deliver specimens to proper laboratory department for analysis. 
  Prepares specimens and requisitions for delivery to reference labs. • Assists with other date entry and clerical functions as assigned. 
 
 Qualifications: 
 
  High School Graduate or GED 
  Must consistently demonstrate high level of attention to detail and focus. 
  Knowledge of Medical Terminology Preferred 
  Basic Knowledge of Microsoft Office Software 
  Experience in clinical laboratory setting preferred.
 
 
  Experience Preferred
 
   1 year(s): Clinical Laboratory setting preferred
 
  Education Required
 
   High School or better
 
  Behaviors Preferred
 
   Team Player: Works well as a member of a group
   Detail Oriented: Capable of carrying out a given task with all details necessary to get the task done well
 
  Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities
  The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)
",,"489f36cff8be2a96",,"Full-time",,,,"Carrollton, TX 75006","Specimen Processor/ Lab Accessioner","Posted today","3.2","73",,"2022-11-14T23:20:28.921Z","https://www.indeed.com/rc/clk?jk=489f36cff8be2a96&fccid=93c270075fc2724a&vjs=3"
"Breckenridge Surgery Center","Breckenridge Surgery Center is a privately owned ASC that specializes in plastic, cosmetic, reconstruction and hand. We have an immediate need for a full time Certified Scrub Tech.
Job Description Job Summary:
Anticipates the needs of the surgical team. Establishes and maintains sterile field during surgical procedures in the operating room.
Reporting Relationship: Reports to OR Director
Essential Job Duties and Responsibilities: Include the following:
1. Ensures sterility of all supplies and instruments during set up of surgical procedures.
2. Assists circulating nurse and surgical team in maintaining sterile environment.
3. Assists circulating nurse in gathering necessary surgical supplies and equipment. Is responsible for doing sponge, needle, and instrument count pre-operatively and intra-operative with the circulating nurse.
4. Gowns and gloves surgeons and assistants.
5. Retains all specimens to be sent to pathology, confirming source/name of specimen with surgeon.
6. Transports all surgical equipment to appropriate cleaning areas. Assists in sterile supply with cleaning and reprocessing of instrument sets.
7. Interacts appropriately and effectively with all patients/others regardless of age or ethnic background.
8. Uses Standard Universal Precautions, appropriate hand hygiene, personal protective equipment, and safe practices to ensure personal safety and a safe environment.
9. Assists with environmental hazard and infection control surveillance and participates in emergency preparedness drills.
10. Follows all equipment and safety guidelines and is responsible for knowledgeable use and care of equipment.
11. Serves as a resource to other members of the health care team.
12. Communicates effectively and courteously with visitors, physicians, and their office staffs, patients, and employees. Maintains patient, physician, and employee privacy and confidentiality per policy.
13. Maintains designated certifications such as CPR, as offered by the center.
14. Complies with Policies and Procedures, and adheres to safety guidelines to ensure a safe work and patient care environment.
Qualifications: To perform this job successfully, an individual shall be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skills, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Education and/or Experience:

 High School Diploma / GED; completion of a Scrub Technician Program. Certification required.


 Two years experience as a Scrub Tech in plastic/cosmetic

Reasoning Ability: * Able to apply common sense understanding to carry out detailed written or oral instructions. * Able to deal with problems involving a few concrete variables in standardized situations.
Other skills and abilities: * General familiarity with medical terminology as it pertains to anatomy and surgical procedures for an operating room.''Work Remotely

 No

Job Type: Full-time
Benefits:

 401(k) matching
 Dental insurance
 Disability insurance
 Employee discount
 Health insurance
 Life insurance
 Paid time off
 Vision insurance

Schedule:

 Day shift
 Monday to Friday

Supplemental pay types:

 Bonus pay

Experience:

 plastic surgery: 1 year (Required)

Work Location: One location",,"5a799b395dbe936b",,"Full-time",,,,"Richardson, TX 75082","Full Time Certified Scrub Tech","Posted Just posted",,,,"2022-11-14T23:20:29.437Z","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A9LFccPUSzsATkVZG0iEeB-eJJ2tBdVoJGIA9qA1-EbUs2qrfnjMOY0PnK5eDBHBJj40LNf6oH487NCXnut7NsdyGB5dnm6muLmAaocnKLQzoqGduZ_ANXCq-1xfVDh2ZBd9Dlgc9s2hnPH0LSBMYITd-MCHKWszGpUsKSpYkt-djZNeYrsKmHRmY5J9_xhGkw1QWM0aFhSRjsGE6S6vV19YEaVt1hHbQ0H-0h_RGBpLETMyVTH3jvzwkPaz_JNfk7K3LW6WwLWH3qdv5UJPDp6THW1v2wDD7UifJp2fTXFx0q6zH2I-KNSc647eKhJbij3RmmDviFrFBXv2grz_DaZlOfnwA4uCioN-R-p7CWr9WK9QTaXhwGfhxBCZxsZuQ2PBDLGHXwFAQfAPWXTsxGl20d41gVivBsd5P7eNMO9vDZTHFS7JFjd7G9FWFUkXlCC210_A4soi6lpYeMSQkabcafMkIYnzRyo3O7nsHMD_RxxeQ75dLaT4IDuPY3RZ0=&xkcb=SoAm-_M3X8GCpKQTKB0KbzkdCdPP&p=1&fvj=1&vjs=3"
"The Legacy at Home","$$$$RETENTION BONUS$$$$
POSITION SUMMARYThe Hospice Certified Nursing Assistant (CNA) provides personal healthcare and related services to the client in their place of residence. Assists in providing a safe and clean environment, work cooperatively with patient and family, and share observations and problems with the supervisor. This position functions under the direction, instruction and supervision of the staff Registered Nurse and the Nurse Manager and/or appropriate supervisor.
ESSENTIAL DUTIES AND RESPONSIBILITIESThe following duties are normal for this position. This list is not to be construed as exclusive or all inclusive. Other duties may be required and assigned.

 Bathes, dresses, and undresses residents.
 Assists with toileting of residents/patients
 Serves and collects food trays and feeds residents requiring help.
 Transports residents or assists residents to walk.
 Turns and repositions bedfast residents, alone or with assistance, to prevent bedsores.
 Changes bed linens, runs errands, directs visitors, and answers telephone.
 Takes and records temperature, blood pressure, pulse and respiration rates, and food and fluid intake and output, as directed.

QUALIFICATIONSTo perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skills, and abilities required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
EDUCATIONAL REQUIREMENTS AND EXPERIENCE

 Nurse’s Aide certification in the state of Texas.
 Minimum 6 months of work experience in hospice.

Job Type: Full-time
Pay: From $16.50 per hour
Benefits:

 403(b)
 403(b) matching
 Dental insurance
 Disability insurance
 Health insurance
 Health savings account
 Life insurance
 Paid orientation
 Paid time off
 Paid training
 Retirement plan
 Vision insurance

Medical specialties:

 Hospice & Palliative Medicine

Standard shift:

 Day shift

Weekly schedule:

 Monday to Friday

Education:

 High school or equivalent (Preferred)

Experience:

 Hospice care: 1 year (Preferred)

License/Certification:

 Driver's License (Required)
 CNA License (Required)

Work Location: On the road",,"14db47ee710e1813",,"Full-time",,,,"Plano, TX","CNA (FT) - Hospice (Collin & Dallas County)","Posted today",,,"From $16.50 an hour","2022-11-14T23:20:29.546Z","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Db9qOE6ZPk7wDWajiR4ThoyMhKJ8QDSEIrUIA-jrm5gz4hzxyjOHwKeDiTHmrYD4VidY-kemITpY5ZIR0SUKU_7a5dkR9Vd9azk0R_cLEGXDxILRauBTBKVzRTdgpEhXoqBj45rJVyBxUQwJrnUA5BBjYhNkAtpGkuS0EiFoLCSHmFQgzb1PmJZkWAA7ObVIwO06MwgkbnB9OtHvw0YqvnqHQgOKQpYgufBpRlfGNl_goFumdqnqHWvkcY7YbuyyXlJj5vSEjyvd0ye9XBFLbd-O6QnowM0wOB4SeBuJIPRMnzFPEAZ4G62sDFNmazZDmwX-X1TZ2IEA6219wp1UDTm2tTsnzHms6SmdvdWQzK7Orf0VE-rp7eslfnISHrfu2SB9_zgj606GgpIblcIvVwKvghKJE9uPXp-4f-wud4QxcuD3IxGochWjucO0xL6-Ej5XYUeHd_MxWOM0QPNl1Hzq81uKNmQURVp62fR4ogv5sAH-gwUHjFFaIkqzaXIawqzP1Pz7eyrg==&xkcb=SoC7-_M3X8GCpKQTKB0JbzkdCdPP&p=2&fvj=1&vjs=3"
"VillageMD","

 Join Village Medical as a Practice Manager in Dallas, TX. 
  Clinic Location: 10152 Lake June Rd., Dallas, TX 75217 
  Join the frontlines of today's healthcare transformation. 
  Why Village Medical? 
  At Village Medical, we are committed to helping patients achieve greater health by delivering the most effective, accessible and efficient healthcare in the world through physician-led, patient-first primary care. We're looking for a Practice Manager to help us transform the way primary care is delivered and how patients are served. As a national leader on the forefront of healthcare, we've partnered with many of today's best primary care physicians. We're equipping them with the latest digital tools. Empowering them with proven strategies and support. Inspiring them with better practices and consistent results. 
  We're creating care that's more accessible. Effective. Efficient. With solutions that are value-based, physician-driven and patient-centered. To accomplish this, we're looking for individuals who share our sense of excellence, are ready to embrace change, and never settle for the status quo. Individuals who have the confidence to lead but the humility to never stop learning. 
  Could this be you? 
  The Practice Manager facilitates day-to-day clinical operations within the practice, including managing patient, staff and provider interactions and maintaining a service-based approach to issue resolution. This leader collaborates across clinic leaders, staff, and providers to promote the highest standards of quality of patient care by appropriately managing patient flow and championing excellent patient experience. Providing support and training to staff is critical, while also encouraging their abilities to effectively address triage calls and service recovery. 
  How you can make a difference as a Practice Manager: 
  
  Ensure the practice’s performance in effective value-based care, including completion of AWVs, care gap closures, accurate coding capture, and appropriate access and follow up for patients 
  Educate and communicate with staff and providers on the “why” behind the importance of value-based care and ensure all members of the care team feel directly involved and accountable to providing high quality care to patients 
  Oversee all clinical support staff including Medical Assistants and Patient Reception Specialists 
  Receive and understand direction on clinical processes and competencies from clinical operations leadership and disseminate updates and new protocols to staff 
  Assist with the onboarding, launch and integration of new Village Medical clinics 
  Function as key communication point within the practice and among providers 
  Act as initial point of escalation for any staff, provider, or patient concern 
  Ensure success on practice Key Performance Indicators (KPIs) 
  Lead clinical staffing assignment and alignment 
  Provide clear and consistent communication with employees 
  Ensure clinical staff meetings and huddles are performed successfully 
  Develop strong relationships with staff and leverage relationships to assist staff with understanding and interpreting organizational and clinical changes positively 
  Supply management and delegation as required 
  Ensure appropriate orientation of new employees and facilitate on-going training and development of clinical staff to meet changing needs and organizational demands 
  Complete annual and mid-year employee evaluations for clinical staff, as directed 
  In conjunction with Talent Acquisition, lead the recruitment, selection and hiring process for clinical positions 
  Proactive involvement in employee mentoring, coaching, and discipline 
  Accountable for understanding and executing again the Practice Operating Plan 
  Responsible for performance against practice budget 
  Responsible for bi-weekly completion of clinical employee payroll 
  Assist the provider in delivery of patient care, works with provider to resolve all emergent patient or clinical issues in a timely manner 
  Monitor the patient flow to identify gaps and partner with nursing leadership to address appropriately 
  
 Skills for success as a Practice Manager: 
  
  High emotional intelligence, the ability to forge meaningful relationships, and success navigating diverse stakeholder groups 
  A keen sense of personal accountability for delivering individual and team results 
  Experience performing under pressure with a sense of urgency, attention to detail, and a commitment to doing what you say you will do 
  Highly relationship oriented and ability to serve complex patient populations 
  A passion for mentoring others and fostering teamwork with a desire to drive outcomes 
  A hands-on, solution-oriented leader who drives change through building and leveraging trust 
  A low ego and humility; an ability to gain trust through effective communication and doing what you say you will do 
  
 Experience to drive change as a Practice Manager: 
  
  High School Diploma/Equivalency 
  3 years minimum clinical or clerical experience in primary care or similar practice setting 
  1 year direct supervisory experience preferred 
  
 How you will thrive as a Practice Manager: 
  In addition to competitive salaries, a 401k program with company match, bonus and a valuable health benefits package, Village Medical offers paid parental leave, pre-tax savings on commuter expenses, and generous paid time off. You work in a highly-collaborative, conscientious, forward-thinking environment that welcomes your experience and enables you to make a significant impact from Day 1. 
  Most importantly, you make a difference. You see a clear connection between your daily work on Village Medical products and services and the advancement of innovative solutions and improved quality of healthcare for providers and patients. 
  Our unique Village Medical culture – how inclusion and diversity make the difference: 
  At Village Medical, we see diversity and inclusion as a source of strength in transforming healthcare. We believe building trust and innovation are best achieved through diverse perspectives. To us, acceptance and respect are rooted in an understanding that people do not experience things in the same way, including our healthcare system. Individuals seeking employment at Village Medical are considered without regard to race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. 
  Explore your future with VillageMD as a Practice Manager today!
",,"f740d91bed2a803a",,,,,,"Dallas, TX 75201","Practice Manager - Dallas, Pleasant Grove","Posted Just posted","3.1","99",,"2022-11-14T23:20:29.576Z","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BhetQ0WZcPsiD86nUabJ7R7XVNhXOSO_Czt_i7pxvBQvNvVKRcO7a9tU37nA6iYjM4PJYhcnQLlJWux5PCPqZYQfIsON6Jd3mqT5JAjkDv7T_q8JThhzKSL8GDAh5hqII_GVu_WYjekUUa8__AJsO-1s4ALM5s9ydZWDPJDQ1Azdir-mKI_bqmINvNf0SgoiG0v6xTAgcc5jAz2gikLuhRqrB09X0JKmEE5qC1LhNW_qso0vlqUbz7G64_wnYymyIqs56QhYeFbZ-1FhpuziEJ7etLo1UcIAzrOlbNNcPBtwXeILXXiKu5n0XFSoc0nfy6rxa3kOr-bZLXlEXGkOefFh3ZX_l5E7e_MZv5_20Bnz8M62qSzTcuAlCulQGe5VSQzUoi1Z21_p6PhaI3FHunM6EZxkPmaMneWZJiIkj5lY2Ih4kqRno8iaMSNfcmXUyo_MqOlwxGS66U5VLTJ6W--egDjyx0P_cYwW2R2JbJdIKQP_ULIqLvjXpasTm7llA=&xkcb=SoCS-_M3X8GCpKQTKB0LbzkdCdPP&p=0&fvj=0&vjs=3"
"Monarch Dental","
 Overview 
 
  Are you passionate about supporting a team dedicated to providing top notch dental care, and helping patients understand their treatments? Are you ready to be a big part of giving our patients an exceptional dental care experience? If these questions make you smile, read on! We’ve got the ideal job for you at the Monarch Dental Garland office in Garland, TX. 
  Your Role as a Treatment Coordinator 
  You’ll be an important member of the office, helping patients to gain a greater understanding of their treatment and their dental health plans. You’ll help them manage the financial commitments associated with their care, along with any future appointments they may need to manage their dental health. You’ll also be: 
  
   Effectively communicating treatment plans, and any changes in treatment plans 
   Answering questions related to treatment plans to get approval on services 
   Coordinating insurance benefits and making financial arrangements, including verifying insurance options and limitations 
   Booking appointments, answering general questions, and offering other associated support 
  
  What’s It Like to Work at Monarch Dental? 
  We believe in building a happy, harmonious work environment where you love what you do—and our culture supports that. You’ll have room for growth, the opportunity to advance in your career, and even the chance to explore new professional options both locally and nationally. 
 
 Responsibilities
  
 
  What We Need From You 
  
   A minimum of 1 year related experience 
   Knowledge of dental treatments, terminology, and dental insurance processes 
   Strong customer service and communication skills 
  
  What We’ll Offer You 
  
   Unparalleled support to grow your career 
   A culture that celebrates success and diversity 
   Benefits and perks for you, your family and even your pets! 
   Medical (including HSA and FSA), Dental, Vision, 401K, and paid time off for applicable full-time positions 
  
 
 Smile Brands Inc. and all relevant Affiliates are Equal Opportunity Employers. We are proud to celebrate diversity and provide an inclusive workplace for all employees.

",,"6a89d3f954ca6359",,"Part-time",,,,"Garland, TX","Treatment Coordinator","Posted today","3.4","1120",,"2022-11-14T23:20:30.152Z","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DcNbQtVDx3DUCLSH-bSUdFLy88KIr4AWllF_VMvaQMvL7eKAMC6H8O4XI1Gt7FU-FBANuFEICASJbpv0bKXxdbwWiGJOuVPA_1tq86izlzB7g0mIjZApD0e97gX0NR275uHvQGOcfHFJ0b7123wRUVhUc-XCGLe-lT0BfPE-zUsWludaDfvL-QN4iL-PBZc2y7Q3eZe5KKZMAY1GpBdIDHqiZ2uNJlxpGola7sXCMAYh-UMqVHevzvYLsyPXsiS6p2ogDAp6wESK3XhR5TzuTzwt_G3GWzngYEhfOFSzZ7xDBr2If40VT-cg7WXx7GXTUz8RGT-xW5F6iiW_Tg_0THo7nJ6JVaLzVe5L6XoqLrxuGgrIG6hHUqsNkD-m4-O0_nGH0O7Ce_FAH5Jsa0IzgxaDmGMj3_Jc8QMCCPItvABzW2T1iJ6fdqiEW6apO9vZy2DmZaHSWMi1wfghx8oFTx-WFbNl-xC5-kgQrZ0407smrJ19XA14moeznH6xuYribGGWeIm0Ro7VtKqkMtimtpkoCXv_v6iQuErKIcn2DLwr56J1vQu4Tz&xkcb=SoCI-_M3X8GCW1QTKB0PbzkdCdPP&p=14&fvj=0&vjs=3"
"Royal Family Dentistry","DENTAL OFFICE Receptionist Needed.
Our ideal candidate is a team player who likes to work hard, does well with correction, enjoys interacting with other people, and is a responsible team member.
We are willing to train the right person!
Pay based on experience!
Job Type: Full-time
Pay: $13.00 - $22.00 per hour
Schedule:

 8 hour shift
 Monday to Friday
 No weekends

Experience:

 Dental office: 1 year (Preferred)
 Dental receptionist: 1 year (Preferred)
 Open Dental: 1 year (Preferred)

Work Location: One location",,"e1f6d1e9216bed7d",,"Full-time",,,,"Lancaster, TX 75146","Dental Office Receptionist","Posted today",,,"$13 - $22 an hour","2022-11-14T23:20:30.571Z","https://www.indeed.com/company/Dental-Zania-Plano/jobs/Dental-Office-Receptionist-e1f6d1e9216bed7d?fccid=75bd6950f24a9c54&vjs=3"
"Signify Health","
 
  Starting hourly rate $15.00, with unlimited monthly commission potential. 
 
 
  3 weeks of required paid training (Monday-Friday, 8AM-4:30PM) 
 
 
  Call center hours of operation are Monday-Sunday 7AM – 9PM, actual shift will be determined at time of hire. 
 
 
  Competitive benefits, PTO, tuition reimbursement, and more! 
  
 How will this role have an impact? 
  At Signify Health, we value and seek exceptional thinkers with the heart and humility to match. Join us on a mission to improve lives and make a lasting difference. 
  As part of the Signify Health's Member Engagement team, you will contact members of various Medicare Advantage and Medicaid health plans by phone to offer, explain, and schedule a free in-home or virtual healthcare evaluation. You will work diligently to meet department productivity, quality, and customer service goals. 
  This role will report to a Member Engagement Manager. 
  What will you do? 
  
  Make an average of 50 outbound calls per hour placed by an automatic dialer system to offer, explain, and schedule a free in-home or virtual health evaluation with a provider. 
  Follow 20+ approved scripts, ensure members understand and are comfortable with the terms, and respond to rebuttals persuasively and with professional courtesy. 
 
 
  Present a positive, professional, and high energy approach to clients, health plan members, and team members. 
  Meet daily goals set by the department (i.e., 300-400 outbound dials per day, 24 appointments set per day, shift and attendance policy adherence, quality targets, etc.) in an office or remote environment. 
  Adjust, reschedule, and cancel appointments with both members and contracted providers, as requested. 
  Monitor performance results including appointments, calls, handle time, and productivity using designated reporting systems. 
  Report member complaints and escalations immediately to Member Engagement Managers. 
  Participate in peer side-by-side coaching as needed. 
  Follow HIPAA and other security and privacy guidelines when handling protected health information accessed during normal work activities. 
  
 We are looking for someone with: 
  
  A High School Diploma or equivalent is preferred. 
  1+ year call center experience OR 2+ years general work experience required. 
  Previous outbound call center or high volume experience working in a metrics driven environment, with an auto dialer, and/or using scripts is preferred. 
  A desire to work in an efficient, results-oriented outbound call center environment. 
  Persuasive with the ability to rebuttal while treating all health plan members with professional courtesy. 
  Good communication skills, friendly and conversational. 
  Ability to adhere to a fixed daily schedule, including start, breaks, lunch, and end times. 
  Strong computer skills and the ability to use multiple systems at the same time, while making calls. 
  
 Benefits: 
  
  Medical, Dental and Vision plans, Insurance starts the 1st of each month after the start date 
  Bi-weekly pay with monthly commission bonus potential 
  401K, employee stock purchase program and tuition reimbursement 
  Employee discount programs 
  
 Work From Home Requirements: 
  To qualify, you must have verified and reliable internet service with 10MB upload/download ability available in your home. 
  The company will provide equipment (keyboard, monitor, computer, headset, etc.). All applicants must provide their own workspace furniture and ensure a quiet workspace. 
  Conditions of Employment: 
  
  Successful completion of background check is required for this position. 
  
 About Us: 
  Signify Health is helping build the healthcare system we all want to experience by transforming the home into the healthcare hub. We coordinate care holistically across individuals' clinical, social, and behavioral needs so they can enjoy more healthy days at home. By building strong connections to primary care providers and community resources, we're able to close critical care and social gaps, as well as manage risk for individuals who need help the most. This leads to better outcomes and a better experience for everyone involved. 
  Our high-performance networks are powered by more than 9,000 mobile doctors and nurses covering every county in the U.S., 3,500 healthcare providers and facilities in value-based arrangements, and hundreds of community-based organizations. Signify's intelligent technology and decision-support services enable these resources to radically simplify care coordination for more than 1.5 million individuals each year while helping payers and providers more effectively implement value-based care programs. 
  To learn more about how we're driving outcomes and making healthcare work better, please visit us at www.signifyhealth.com/our-story.
",,"26248018c0acaddb",,"Remote",,,,"Dallas, TX","Outbound Call Center Rep - Remote","Posted today","3","427","$15 an hour","2022-11-14T23:20:30.799Z","https://www.indeed.com/rc/clk?jk=26248018c0acaddb&fccid=7f3af35993e7f09f&vjs=3"
"Pediatric Associates","

 WELCOME TO MD MEDICAL GROUP!
  MD Medical Group’s commitment to the highest level of care is our driving force. We are dedicated to improving our patients’ health through compassion and empathy. Our practices are located throughout Texas:
 
   Dallas
   El Paso
   Houston
   Corpus Christi
   San Antonio
 
  Patients have been choosing MD Medical Group for their family’s healthcare for more than 15 years. We are proud of our unwavering commitment to provide quality healthcare that is both affordable and accessible with on-site services such as lab, chronic disease management assistance, educational and safety classes and events. 
 Opportunity Highlights
 
   Flexible schedule - pick up shifts when convenient for you!
   Morning, afternoon, and/or weekend shifts available
   Great pay in awesome locations!
   Helpful support staff to get you acclimated to the practice 
  Thorough onboarding process
 
  Essential duties 
 To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. 
 
  Delivers and directs patient care within scope of practice.
   Communicates effectively with staff.
   Consults and coordinates with health care providers working at other locations.
   Works with all other staff in office as a member of the office and the clinic system.
 
  Education / Licensure / Certification / Experience
 
   TX license - current & unrestricted
   Pediatric Advanced Life Support (PALS) - current
 
","https://www.indeed.com/applystart?jk=6333d7f0ff5fb262&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXhGNMUK-_OisY1hO8V8gWiPMIfcMu539kP3i1FMxIq2rA&vjfrom=serp&astse=ad9b72faa8023245&assa=557","6333d7f0ff5fb262",,,,,,"Dallas, TX","Family Medicine APP","Posted today","3.5","274",,"2022-11-14T23:20:31.009Z","https://www.indeed.com/rc/clk?jk=6333d7f0ff5fb262&fccid=d3aa253ac8feceed&vjs=3"
"Kris Anderson Consulting","
 Reviews patient bills for accuracy and completeness; obtains missing information.
 Knowledge of insurance, especially Medicare and Medicaid, rules and guidelines. Identify insurance company or proper party (patient) to be billed; identify and bill secondary or tertiary insurances.
 Utilize a combination of electronic health record (EHR) and paper patient records to perform billing duties; maintain an accurate, legally compliant medical record.
 Process claims as they are paid and credit accounts accordingly and review insurance payments for accuracy and compliance with contract discounts.
 Review denials or partially paid claims and work with the involved parties to resolve the discrepancy.
 Manage assigned accounts ensuring outstanding/pending claims are paid in a timely manner and contact appropriate parties to collect payment.
 Communicate with health care providers, patients, insurance claim representatives and other parties to clarify billing issues and facilitate timely payment.
 Prepare reports and forms as directed and in accordance with established policies. Perform a variety of administrative duties including but not limited to: answering phones; faxing and filing of confidential documents; and basic Internet and email utilization.
 Provide excellent and professional customer service to internal and external customers.

This Company Describes Its Culture as:

 Detail-oriented -- quality and precision-focused

Work Remotely

 No

This Job Is Ideal for Someone Who Is:

 Adaptable/flexible -- enjoys doing work that requires frequent shifts in direction
 Detail-oriented -- would rather focus on the details of work than the bigger picture
 Autonomous/Independent -- enjoys working with little direction

Job Type: Full-time
Pay: $15.00 - $28.00 per hour
Schedule:

 Day shift

Ability to commute/relocate:

 Dallas, TX: Reliably commute or planning to relocate before starting work (Required)

Experience:

 ICD-10: 1 year (Preferred)

Work Location: One location",,"b661baa69fd264df",,"Full-time",,,,"Dallas, TX","Medical Collector","Posted today",,,"$15 - $28 an hour","2022-11-14T23:20:31.036Z","https://www.indeed.com/company/Kris-Anderson-Consulting/jobs/Medical-Collector-b661baa69fd264df?fccid=192edbcd8572cfd2&vjs=3"
"Quest Diagnostics","AP Client Service Call Center - M- F 8:00am - 4:30pm

 Communicate with and educate clients in order to expedite patient results
 Resolve problematic Histology and Cytology cases
 Pull and monitor worklists and pending lists
 Locate missing patient samples
 Enter TIQ problems into the LIS
 Provide priority handling of patient samples with limited stability and problems impacting their processing
 Research, investigate and resolve incoming client faxes/phone calls
 Provide necessary notification to external and internal clients of any problems or resolutions affecting patient test results
 Resolve and process Name Mismatches and provide proper notification to clients along with follow-up documentation for reporting purposes
 Demonstrate and convey an understanding of the compliance policies relating to test ordering, test reporting, add-on tests, TNP’s, reflex tests and custom panels. This will require the ability to research test ordering information
 Demonstrate proficiency and understanding of all job duties and SOPs related to problem resolution
 Other duties as assigned

Physical and Mental Requirements: 

 The normal performance of duties may require lifting and carrying objects: Objects 1 to 10 pounds are lifted and carried frequently; objects 11 to 25 pounds are lifted and carried occasionally; objects 36 to 50 pounds are seldom lifted or carried and objects over 50 pounds are not to be lifted or carried without assistance.
 Ability to stand and work at the bench for long periods of time.
 Frequent walking and/or standing.
 May be required to use a wide variety of manual tools and laboratory instruments and apparatuses all of which demand significant manual dexterity

Knowledge: 
Functional knowledge of medical terminology
Skills: 

 PC skills, including working knowledge of MS Office
 Strong Data Entry skills
 Excellent clerical, organizational, phone and communication skills
 Strong problems solving skills

EDUCATIONHigh School Diploma or Equivalent(Required)
Job Type: Full-time
Benefits:

 401(k)
 401(k) matching
 Dental insurance
 Health insurance
 Life insurance
 Paid time off
 Vision insurance

Schedule:

 8 hour shift
 Day shift
 Monday to Friday

Work Location: One location",,"e99c7dad3d44ce8a",,"Full-time",,,,"Irving, TX 75063","AP Client Service Call Center","Posted today","3.6","6341",,"2022-11-14T23:20:31.238Z","https://www.indeed.com/company/Quest-Diagnostics/jobs/Account-Payable-Client-Service-Call-Center-e99c7dad3d44ce8a?fccid=d92b4bd583ab3ea9&vjs=3"
