"company","description","externalApplyLink","id","jobType","jobType/0","jobType/1","jobType/2","location","positionName","postedAt","rating","reviewsCount","salary","scrapedAt","url"
"Stream IT","Role : - Desktop Support Engineer
Location : - Wichita(KS) , Fort Lauderdale(FL) , Dallas(TX) , Windsor Locks(CT) , Des Plaines(IL) , Tucson(AZ) ,Washington(WA) , Bridgeport(WV) , Red Oak(TX) - Day one form onsite – No remote
Full time
Desired Competencies (Technical/Behavioral Competency)
Must-Have
1. Knowledge on End User Computing Devices (Laptop / Desktop / VDI)
2. Expertise on windows 7/ 10 administrations
3. Good troubleshooting skills on MS Office, O365, Internet Explorer and other Operating system related issues
4. Knowledge on PC and peripheral Hardware troubleshooting (including print & scanning devices)
5. Hands on Experience on MS Office upgrades / deployments
6. Working knowledge on Dell laptops/Desktops hardware issues
7. Troubleshooting of Office 2016 issues
8. Knowledge in troubleshooting VPN related issues
9. Mobile Device Management support
10. Experience on Windows Imaging process using SCCM
11. Experience on Data Migration tools and O365 One drive
12. knowledge on windows server operating system, DNS and DHCP
13. knowledge on Switches and Routers
14. Good communication skills.
Good-To-Have
1. Knowledge on Application packaging and Imaging
2. SCCM Knowledge
3. Experience on Office 2016 upgrades / Deployments
4. Microsoft windows Certification
Job Type: Full-time
Salary: Up to $60,000.00 per year
Benefits:

 401(k)
 Dental insurance

Schedule:

 8 hour shift

Experience:

 Desktop support: 3 years (Preferred)
 SCCM: 3 years (Preferred)
 Windows: 3 years (Preferred)
 troubleshooting: 3 years (Preferred)

Willingness to travel:

 100% (Preferred)

Work Location: On the road
Speak with the employer+91 +1-2483134298",,"6e7463af076d60e1",,"Full-time",,,"Dallas, TX","Desktop Support Engineer","Posted today",,,"Up to $60,000 a year","2022-11-14T23:00:30.295Z","https://www.indeed.com/company/Stream-IT/jobs/Desktop-Support-Engineer-6e7463af076d60e1?fccid=779e2313f54ee932&vjs=3"
"Wylie ISD","Primary Purpose:
Respond to work order requests by diagnosing computer hardware and software, and repairing same as appropriate. Perform on-site technical work to install and maintain computer equipment and network and software applications throughout the district. Perform routine maintenance and bulb replacement on ceiling-mounted projectors. This position supports all technologies that the end user touches.
Qualifications:
Education: High school diploma or GED CompTIA A+ certification a plus
Special Knowledge/Skills: Knowledge of computer workstation setup (primarily Windows Operating Systems; Mac knowledge a plus) Knowledge of computer hardware and software applications Ability to install, maintain, and repair computers and peripherals, including printers, scanners and document cameras Ability to install and maintain client-side network cables and hardware Ability to diagnose problems and perform repairs Ability to effectively plan and control projects Strong organizational, communication, and interpersonal skills Experience: 1-2 years of work experience installing, maintaining, and repairing computers and peripherals
Job Type: Full-time
Pay: From $21.61 per hour
Benefits:

 Dental insurance
 Health insurance
 Vision insurance

Schedule:

 8 hour shift
 Monday to Friday

Ability to commute/relocate:

 Wylie, TX 75098: Reliably commute or planning to relocate before starting work (Required)

License/Certification:

 Driver's License (Preferred)

Work Location: One location",,"eb703a4892642c2e",,"Full-time",,,"Wylie, TX 75098","Computer Technician","Posted today","4.2","56","From $21.61 an hour","2022-11-14T23:00:30.571Z","https://www.indeed.com/company/Wylie-ISD/jobs/Computer-Technician-eb703a4892642c2e?fccid=92f109a41e4510ab&vjs=3"
"Longfinch Technology","1. Knowledge on End User Computing Devices (Laptop / Desktop / VDI)
2. Expertise on windows 7/ 10 administrations
3. Good troubleshooting skills on MS Office, O365, Internet Explorer and other Operating system related issues
4. Knowledge on PC and peripheral Hardware troubleshooting (including print & scanning devices)
5. Hands on Experience on MS Office upgrades / deployments
6. Working knowledge on Dell laptops/Desktops hardware issues
7. Troubleshooting of Office 2016 issues
8. Knowledge in troubleshooting VPN related issues
9. Mobile Device Management support
10. Experience on Windows Imaging process using SCCM
11. Experience on Data Migration tools and O365 One drive
12. knowledge on windows server operating system, DNS and DHCP
13. knowledge on Switches and Routers
14. Good communication skills.
1. Knowledge on Application packaging and Imaging
2. SCCM Knowledge
3. Experience on Office 2016 upgrades / Deployments
4. Microsoft windows Certification
Job Type: Full-time
Salary: $55,000.00 - $60,000.00 per year
Benefits:

 401(k)
 Dental insurance
 Health insurance
 Paid time off

Schedule:

 8 hour shift

Ability to commute/relocate:

 Red Oak, TX 75154: Reliably commute or planning to relocate before starting work (Required)

Experience:

 End User Computing Devices: 8 years (Preferred)
 iOS: 8 years (Preferred)
 Windows: 6 years (Preferred)

Work Location: One location",,"b536a7ae9ac0ce67",,"Full-time",,,"Red Oak, TX 75154","Desktop Support","Posted today",,,"$55,000 - $60,000 a year","2022-11-14T23:00:30.684Z","https://www.indeed.com/company/Longfinch-Technology/jobs/Desktop-Support-b536a7ae9ac0ce67?fccid=81526d198cd5b816&vjs=3"
"National Veterinary Associates","

 Description: 
 Provides support to end users for computer, application, system, device, access and hardware issues via phone. Responds to telephone, email and on line requests for technical support. Identifies, researches and resolves complex technical problems. Escalates vendor specific issues to vendors supports teams as necessary. Creates knowledge base articles for use but end-users to address common problems. Technical area of responsibility includes standardized technologies and systems. Documents, tracks, and monitors the problem using applicable systems and tools. May coordinate with other teams or departments to resolve user problems. Gains or has attained full proficiency in a specific area of discipline. Works under moderate supervision. This hours for this position are Monday through Friday from 7 am to 4 pm CT, and requires being located within or near the Dallas area.
  
  
 Experience: 
 
   Helpdesk and desktop support experience supporting users at all levels
  
 
   ITSM/Ticketing system experience
  
 
   Experience with desktop and server operating systems, including experience with Windows 7, Windows 10, Windows Server/Terminal Server 2008r2/2012/2016.
  
 
   Application support experience with Active Directory, Group Policy Management, Remote Desktop Management and Licensing, DNS and DHCP
  
 
   Supporting/troubleshooting MS Office (Excel, Word, Powerpoint, Outlook)
  
 
   Printer configuration and troubleshoot (Direct Connected & Networked)
  
 
   Familiarity with PC imaging software such as Acronis, Fog, Ghost
  
 
   Switches/routers/wireless networks (basic troubleshooting - Onsite & remote) - ability to traverse the first three layers of the OSI model in effectively troubleshooting
  
 
   Basic connectivity of laptops, PCs, etc.
  
 
   Mobile Device Configuration/Support (smart phone, tablet)
  
 
   Active Directory & Exchange (Accounts, Logins, Password Resets etc.)
  
 
   Strong documentation skills.
 
  
  
 Attributes: 
 
   Demonstrates good customer service skills and empathy.
  
 
   Professional presentation 
 
 
   Great communication skills with users of all ages/skill levels/etc. (Customer base may not be technically savvy)
  
 
   Ability to multi task
  
 
   Strong desire to solve problems and make things better
  
 
   Thinks clearly in difficult situations and know when to escalate and ask for help
  
 
   Ability to work calmly in urgent or stressful situations (Supporting hospitals where the end users could be in a panic/angry)
  
 
   Highly Self-motivated and directed.
  
 
   Keen attention to detail.
  
 
   Proven analytical and problem-solving abilities.
  
 
   Ability to effectively prioritize and execute tasks in a high-pressure environment.
  
 
   Experience working in and contributing to a team-oriented, collaborative environment.
 
  
 Soft Skills: 
 
   Professional presentation – the executives work in this office
  
 
   Great communication skills with users of all ages/skill levels/etc. (main user base is vets who may not have any technical knowledge)
  
 
   Ability to multi task well 
 
 
   Ability to think out of the box, troubleshoot and resolve/know when to escalate
  
 
   Able to work calmly in urgent situations 
 
 
   Highly self-motivated 
 
 
   Keen attention to detail
  
 
   Proven analytical and problem-solving abilities.
  
 
   Ability to effectively prioritize and execute tasks in a high-pressure environment
  
 
   Exceptional customer service orientation.
  
 
   Experience working in a collaborative team environment.
  
 
   Take initiative to make things better.
  
 
   Lead by example.
 
  
 NVA is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, protected veteran or disabled status, or genetic information. This role is not eligible for visa sponsorship. Hiring is contingent on candidate verifying their eligibility to work in the United States and passing a complete background check and drug screen.
 
 
   This role is not open to receiving agency candidates and any contingent submissions will not be honored.#LI-Remote
 

","https://www.indeed.com/applystart?jk=11d9ed44061e2d81&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXisCQNETGsbGdWYVitO3VyK2Lr7DfU83qy6ilMSvPFMEw&vjfrom=serp&astse=f6a35c4566f09ead&assa=604","11d9ed44061e2d81",,"Remote",,,"Dallas, TX","Service Desk Technician II","Posted today","3.3","151",,"2022-11-14T23:00:30.832Z","https://www.indeed.com/rc/clk?jk=11d9ed44061e2d81&fccid=aae2a27b439cadd3&vjs=3"
"UPPER LLC","As a data center engineer you perform work on server and network equipment in data centers in your region. UPPER is a nationwide provider of remote-hands services and as such, our clients hit us up to get work done by us on their behalf.
UPPER holds a database of qualifying engineers. Whenever work is ordered through UPPER, a suitable Engineer is selected to get the job done. Whether it’s a short and sweet order to push a button, rack/stack, etcetera or a larger project, UPPER selects the Engineers based on criteria like quality, accuracy availability and location.
Note carefully, as a qualifying Engineer, you are offering your services to UPPER as an independent contractor. That means that you have a lot of freedom. It also means that you have a lot of responsibility. Because when you accept an order, we expect you to execute the order in accordance with our guidelines. In short, these guidelines describe how important a professional demeanor is.
We are always looking to add smart and hard-working Engineers to our team. Because thanks to our Engineers we form a nationwide, 24×7 workforce of professionals. The word ‘professional’ is key and paramount with everything that our Engineers do.
If this is for you, we welcome you to go ahead and apply.
Job Types: Part-time, Temporary
Pay: $35.00 - $45.00 per hour
Schedule:

 On call

Application Question(s):

 This job is subject to a thorough background check.

Experience:

 data center: 1 year (Required)

Work Location: On the road",,"c91fe6ae1a400833",,"Part-time","Temporary",,"Dallas, TX","Data center Engineer (contractor)","Posted today",,,"$35 - $45 an hour","2022-11-14T23:00:31.706Z","https://www.indeed.com/company/UPPER-LLC/jobs/Data-Center-Engineer-c91fe6ae1a400833?fccid=fe2c9da655bd0dc8&vjs=3"
"Talent4health","1. Knowledge on End User Computing Devices (Laptop / Desktop / VDI)
2. Expertise on windows 7/ 10 administrations
3. Good troubleshooting skills on MS Office, O365, Internet Explorer and other Operating system related issues
4. Knowledge on PC and peripheral Hardware troubleshooting (including print & scanning devices)
5. Hands on Experience on MS Office upgrades / deployments
6. Working knowledge on Dell laptops/Desktops hardware issues
7. Troubleshooting of Office 2016 issues
8. Knowledge in troubleshooting VPN related issues
9. Mobile Device Management support
10. Experience on Windows Imaging process using SCCM
11. Experience on Data Migration tools and O365 One drive
12. knowledge on windows server operating system, DNS and DHCP
13. knowledge on Switches and Routers
Good communication skills.
Job Type: Full-time
Salary: $55,000.00 - $60,000.00 per year
Benefits:

 Dental insurance
 Health insurance
 Vision insurance

Schedule:

 8 hour shift

Experience:

 Customer support: 2 years (Preferred)
 iOS: 1 year (Preferred)
 Windows: 1 year (Preferred)

Work Location: On the road",,"d58f5f1f2c2df280",,"Full-time",,,"Red Oak, TX","Desktop Support Engineer","Posted today",,,"$55,000 - $60,000 a year","2022-11-14T23:00:31.784Z","https://www.indeed.com/company/Talent4health/jobs/Desktop-Support-Engineer-d58f5f1f2c2df280?fccid=1485f805c429fa31&vjs=3"
"Univision communications inc","

 
  ABOUT THE ROLE
 
 
   Welcome to TelevisaUnivision Dallas! TelevisaUnivision Dallas is seeking a talented highly motivated, experienced, hands-on Director of Technology (DOT) to manage and support the market’s TV/Radio stations.
 
 
   The Director of Technology participates in and directs the installation, maintenance and repair of TV/Radio transmitters and production systems to maintain competitive signals in the market while complying with all FCC technical requirements. Responsibilities include maintaining telecommunications equipment, computers, networking systems and integrating platforms for online content.
 
 
   The Engineering Team culture is one of responsiveness to internal and external customers.
 
 
 
   ABOUT YOU:
 
 
 
   The ideal candidate will have the opportunity to work with and motivate the TelevisaUnivision Dallas Engineering team while helping to maintain top-notch signals in a Major Market. Ongoing opportunities to learn and work on systems such as RF transmission systems, Avid, Axia, Zetta, Evertz, and new cutting-edge technology like ATSC 3.0 on our Dallas station KSTR.
 
 
 
   YOUR DAY-DAY:
 
 
   Rapidly assess, troubleshoot and work to correct technical problems and/or employ viable and timely alternatives to facilitate operational objectives.
   Maintain quality station operation through ongoing preventive and corrective maintenance, and the establishment and tracking of maintenance schedules for the Engineering Team.
   Maintain high-power RF transmitters, transmission antennas, satellite antenna systems, signal distribution systems, encoders, and routing systems.
   Install, document, and maintain production systems, control consoles, video/audio routers, recording equipment, microphones, digital audio systems, control systems, remote equipment, etc.
   Provide maintenance and support of IT/Telephony networks and related IT/Telephony equipment infrastructure.
   Provide basic troubleshooting and maintenance of facility infrastructure systems such as generators, UPS systems, HVAC, and BMS control systems.
   Work closely with the News, Operations and Radio Programming Teams to maintain current systems and to develop and integrate future systems.
   Ensure station compliance with rules and regulations applicable to FCC, local, state, and federal laws.
 
 
   YOU HAVE:
 
 
   Associates degree or higher in electronics, or computer related field.
   SBE Certification of CBRE, CBTE, CSRE, CSTE, or CPBE desired.
   Ability to work in a high-pressure environment, and to maintain professional composure and provide critical thinking to problem resolution in high stress and time sensitive environments.
   Working knowledge of Television/Radio production, transmission, and broadcast IT equipment and systems.
   Ability to troubleshoot broadcast equipment to the component level.
   Ability to troubleshoot and repair high-power TV and FM transmission equipment.
   Good understanding of applicable FCC rules and regulations
   Computer literacy in applicable software packages and operating systems (Microsoft, iOS, Linux, TV/Radio automation, CAD, Avid, Adobe, etc.)
   Ability to read, interpret and create design documentation, including elevations, connection drawings and schematics.
   A valid Drivers License
   Ability to work any shift, as dictated by the needs of a 24/7 business.
   Spanish a plus.
 
 
   OUR BENEFITS:
 
 
   TelevisaUnivision believes that a happy, well-balanced employee is what makes our culture thrive. We offer a wide selection of perks and benefits including PTO; tuition reimbursement; wellness and employee support programs; 401K; and life and other insurance plans. This is all in addition to our comprehensive and competitive health benefits package featuring medical, dental and vision coverage options.
 
 
 
   Univision requires that all U.S. and Puerto Rico employees be vaccinated against COVID-19. This position will require the successful candidate to submit proof of vaccination. The Company is an equal opportunity employer, and will reasonably accommodate a qualified candidate, who may be unable to be vaccinated, consistent with federal, state, and local law.
 
 
 
   Univision is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.
 
","https://www.indeed.com/applystart?jk=0d07787059c97c0a&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXjDE5sdVMHUJL3SsShLJmg-5Z_dA0xndw9ylAW4Hz2CAQ&vjfrom=serp&astse=eeb5bf132ecbf5a4&assa=1742","0d07787059c97c0a",,"Full-time",,,"Dallas, TX","Director of Technology","Posted today","3.8","533",,"2022-11-14T23:00:32.051Z","https://www.indeed.com/rc/clk?jk=0d07787059c97c0a&fccid=a94ccb35abbf24d8&vjs=3"
"Cisco Systems","
 Why you'll love Cisco 
 We change the World, we are passionate about our employer and the brand we represent. Everything is converging on the Internet, making networked connections more meaningful than ever before in our lives. Our employees' groundbreaking ideas impact everything. Here, that means we take creative ideas from the drawing board to dynamic solutions that have real world impact. You'll be part a team that cares about its customers, enjoys having fun, and you'll take part in changing the lives of those in our local communities. Come prepared to be encouraged and inspired.
  
 What You'll Do 
 
  o You will be part of Cisco's Technical Services team of technical authorities whose #1 focus is to help customers deploy and operate their networks effectively while delivering the best possible customer experience. Our success is validated through excellent financial results, increasing customer satisfaction metrics, industry recognition, and employee satisfaction scores.
  
 
  o You will be part of Cisco's Digital Network Architecture technology team consists of the industry's brightest minds, developing and deploying today's most advanced Internet technologies. You'll gain insight on the detailed functionality of Cisco products and partners with all distributed elements of the service chain.
 
  
 Who You'll Work With 
 The Global Technical Center, Americas provides both premium and highly technical support to customers in the Americas Region. Through collaborative tools, Intellectual Capital and world-class technical expertise, we deliver hardware and software solutions to our most critical customers. As hybrid cloud enables more choice in consumption models and addresses real business outcomes on top of infrastructure availability needs, the technical experts in GTC Americas are also evolving - to customer-centric, software-knowledgeable innovators, leveraging scripting, software and traditional network engineering troubleshooting methodologies.
  
 Who You Are 
 
  o You will provide 2nd/3rd level technical support for Digital Network Architecture technologies to Cisco customers, partners, account teams, and other Technical Assistance Center engineers
  
 
  o You can apply your analytical skills and technical knowledge to take on product and network problems of moderate to high complexity.
  
 
  o You will also provide technology/product training and intellectual property material as required
  
 
  o You'll act as focal point for large account network problem resolution.
  
 
  o You can effectively utilize moderate to complex lab setups to recreate and solve problems.
  
 Cisco Services strives to create value for Cisco customers by providing outcomes that solve key business problems. We do this through a focus on driving growth in our current portfolio while investing in new business models that create lasting differentiation for Customers, Partners, Employees and Shareholders.
  
 Roles and Responsibilities: 
 
  o Provide technical support for Cisco Digital Network Architecture products to Cisco customers, partners, account teams, and other internal technical support teams.
  
 
  o Handle a wide variety of technical support problems—from simple application or network configuration fixes to extremely complex troubleshooting and problem resolution.
  
 
  o Utilize moderate to complex lab setups to recreate and solve problems.
  
 
  o Submit complete and correct defect reports with collaboration and supervision.
  
 
  o Work with minimal supervision and exercise judgment within defined procedures to determine appropriate action.
  
 
  o Collaborate with other TAC engineers across technology boundaries to help drive quicker resolution where multiple technologies may be involved.
  
 
  o
  
 Technical Qualifications: 
 
  Bachelor’s degree and/or 3-6 years equivalent experience in related fields.
  
   Excellent written & verbal communication skills and can present/communicate ideas effectively across different audiences, such as Sales, Customers, or Engineering.
   Excellent time management & customer management.
   Leverages software skills and tools to configure, deploy and/or troubleshoot Cisco products and solution
   Ability to drive customer satisfaction and take ownership for customer success.
   Produces and shares intellectual capital (including documentation and training) within technology and adjacent areas for internal audiences, Global Delivery Partners, and customers.
   Contributes to the development of diagnostic signatures through regex and automation
   Has advanced knowledge of global customer issues and can think about and recognize impacts at a large scale
   Can Design, Build and utilize complex lab setups across multiple technologies to duplicate and resolve problems, including use of traffic generators.
   Recognizes and submits bugs with all required related information. Mentors others to file bugs.
  
   • Work with engineering to improve product quality by filing enhancements and testing fixes • Submits effective escalations with Engineering teams.
  
   Frequently assists other TCEs and Global Delivery Partners with problem resolution.
   Ability to mentor junior level engineers in the technology area.
   Active CCNP (equivalent or higher) Enterprise Certification desired
   Expert in at least one of the Layer 2 Protocols with a broad knowledge for others
   Expert in at least one of the Layer 3 Protocols with a broad knowledge of those remaining - OSPF, EIGRP, BGP, PBR and MPLS
   Advanced Knowledge of WireShark and can analyze traffic flows to properly root cause network and/or application issue
   Competent user of Linux/Windows/MacOS and Microsoft Office Suite
   Is an expert in at least one platform architecture, with broad knowledge of other platforms and software architectures they support.
   Has site level impacts potentially spanning multiple teams. Thinks beyond just problem resolution and leverages ways to automate or other methods to advance outcomes.
   Effectively collaborates across technology silos to drive customer success and builds cross-technology knowledge.
  
 
  
 
 Desired Skills: 
 
  o None indicated
 
  
 Why Cisco 
 At Cisco, each person brings their unique talents to work as a team and make a difference. 
 Yes, our technology changes the way the world works, lives, plays and learns, but our edge comes from our people. 
 
  o We connect everything – people, process, data and things – and we use those connections to change our world for the better.
  
 
  o We innovate everywhere - From launching a new era of networking that adapts, learns and protects, to building Cisco Services that accelerate businesses and business results. Our technology powers entertainment, retail, healthcare, education and more – from Smart Cities to your everyday devices.
  
 
  o We benefit everyone - We do all of this while striving for a culture that empowers every person to be the difference, at work and in our communities.
  
 
  Colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Be you, with us! #WeAreCisco
 
 

Cisco COVID-19 Vaccination Requirements The health and safety of Cisco's employees, customers, and partners is a top priority. Our goal is to protect and mitigate the spread of COVID-19 infection for strong business resiliency during the pandemic. Therefore, Cisco may require new hires to be fully vaccinated against COVID-19 if the role requires business-related travel, meeting with customers/partners (including visiting third-party sites on behalf of Cisco), attending trade events, and Cisco office entry, unless otherwise prohibited by applicable law, and in countries where COVID-19 vaccination is legally required. The company will consider legally required accommodations/exceptions for medical, religious, and other reasons as per the requirements of the role and in accordance with applicable law. Additional information will be provided to candidates about the requirements and accommodation process at the offer time based on region.","https://www.indeed.com/applystart?jk=a887d7382de9e494&from=vj&pos=bottom&mvj=0&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXiPD6pPP_ExeZbErBqH43kmIv02HSGSZoWequxOEmCHqw&vjfrom=serp&astse=a32645683f1edf67&assa=2159","a887d7382de9e494",,,,,"Richardson, TX","Technical Consulting Engineer","Posted today","4.1","6175",,"2022-11-14T23:00:32.439Z","https://www.indeed.com/rc/clk?jk=a887d7382de9e494&fccid=dfc44f3b8c44a6db&vjs=3"
"Titan Chair LLC","Customer Service and Warranty Support The Titan Chair Company is the largest manufacturer and distributor of massage chairs in North America. We are looking for experienced, motivated, and talented support team members that can assist our valued customers with product support and warranty questions.
Job duties and tasks will consist of (but not limited to):

 Handling inbound calls and emails to provide customer service solutions efficiently
 Scheduling and coordinating field technicians based on service approved work orders
 Live troubleshooting with customers over technical and mechanical issues that have to do with our products
 Packaging and shipping parts to customers when needed
 Hours of operation will be weekdays from 9:30 AM to 6:30 PM in office located in Carrollton, TX
 Comfortable communicating with customers over the phone and handling escalated situations.

Potential candidates for this job should poses the following skillsets:

 A high school diploma or G.E.D.
 Highly effective communicator in both verbal and written forms
 Experience with case/support management software
 Works well in team settings
 An effective problem-solver and well organized
 The nature of these support cases will typically be mechanical &technical in nature and therefore candidates with a mechanical background or experience will be preferred (but not required).

Starting rate will be $18 an hour with potential to move up. Monthly bonus awards (up to $500 per month) will also be paid based on the team’s ability to maintain overall service level KPI’s.
There is plenty of room for career growth and advancement within our company and always place value on hardworking talent.
You can check out our main website here : www.titanchair.com
Job Type: Full-time
Pay: $18.00 per hour
Benefits:

 Employee discount
 Paid time off

Schedule:

 8 hour shift

Supplemental pay types:

 Bonus pay

Ability to commute/relocate:

 Carrollton, TX 75006: Reliably commute or planning to relocate before starting work (Preferred)

Education:

 High school or equivalent (Preferred)

Experience:

 Customer service: 1 year (Preferred)

Work Location: One location",,"d1a7487b04b9f810",,"Full-time",,,"Carrollton, TX 75006","Technical Support","Posted today",,,"$18 an hour","2022-11-14T23:00:32.755Z","https://www.indeed.com/company/Titan-Chair-LLC/jobs/Technical-Support-d1a7487b04b9f810?fccid=a95c220bbb531c41&vjs=3"
"Pomeroy","Job description
Pomeroy is seeking a Dell Laptop Repair Technician in the Dallas,TX area.
The Laptop Repair Technician that will provide Dell OEM hardware component replacement support to multiple residential and commercial locations each day.
Essential Duties & Responsibilities: 
· Disassembly and reassembly of Dell OEM laptop/desktop computers using various types of hand tools.· Includes system boards, LCD screens, plastics, and anything else that may require full teardown and reassembly.· Pickup/drop-off replacement parts at designated locations.· Monitor assigned service calls to ensure timely completion.· Escalate problems to appropriate next level of support when necessary.· Keep records of repairs and replacements for future reference.· Use of dispatch software to receive and respond to service calls, document problem/resolutions, and track time spent completing hardware service.· Always ensure professional attitude and appearance.· Perform overtime work as required.
Required Knowledge, Skills, and Abilities: 
· High school diploma or equivalent qualification is required.· Two (2) years of hands-on work experience as a computer technician in the field.· Prior hardware experience is required.· CompTIA A+ Certification highly preferred.· Excellent communication and interpersonal skills.· Ability to handle pressure within client facing situations.· Ability to both work independently and within a team environment.· Ability to multi-task and adapt to changes quickly.· Self-motivated with the capacity to work in a fast-moving environment.· Physical ability to sit, stand, walk, kneel, squat, twist, bend, and/or climb during a workday.

 Clean driving record.
 Must have reliable transportation and ability to travel to client sites within a 60-mile radius.

Job Type: Full-time
Pay: $22.00 - $25.00 per hour
Benefits:

 401(k)
 Dental insurance
 Health insurance
 Health savings account
 Life insurance
 Paid time off
 Retirement plan
 Vision insurance

Schedule:

 8 hour shift
 Day shift
 Monday to Friday
 No nights

Experience:

 Computer hardware: 1 year (Required)
 laptop repair: 1 year (Preferred)

License/Certification:

 CompTIA A+ (Preferred)

Willingness to travel:

 100% (Preferred)

Work Location: On the road",,"62035683c7e06086",,"Full-time",,,"Dallas, TX","IT Field Service Technician","Posted today","3.2","518","$22 - $25 an hour","2022-11-14T23:00:33.420Z","https://www.indeed.com/company/Pomeroy/jobs/IT-Field-Service-Technician-62035683c7e06086?fccid=e21c375a70111548&vjs=3"
